train/RL_loss,time/fps,train/critic_loss,train/MSE_losses,train/MSE_loss,train/Main_losses,time/total_timesteps,train/Beta,train/ent_coef_loss,train/n_updates,time/time_elapsed,train/critic_los,train/loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef,rollout/ep_len_mean
16.689132690429688,87,0.45638877153396606,2.2134013175964355,2.2134013175964355,16.689132690429688,18400,0,0.6948966383934021,18299,209,0.45638877153396606,16.689132690429688,-152.04656520652176,92,0.001,16.689132690429688,0.014055232517421246,200.0
13.50262451171875,87,0.4757935404777527,2.00319504737854,2.00319504737854,13.50262451171875,19200,0,0.21452489495277405,19099,218,0.4757935404777527,13.50262451171875,-155.62853436458332,96,0.001,13.50262451171875,0.011018110439181328,200.0
19.49702262878418,87,0.37413516640663147,1.7688407897949219,1.7688407897949219,19.49702262878418,20000,0,0.2911054790019989,19899,227,0.37413516640663147,19.49702262878418,-155.74642673999998,100,0.001,19.49702262878418,0.00899127870798111,200.0
12.497062683105469,87,0.27822408080101013,2.1932013034820557,2.1932013034820557,12.497062683105469,20800,0,-0.9030860662460327,20699,236,0.27822408080101013,12.497062683105469,-140.25928245,104,0.001,12.497062683105469,0.008073769509792328,200.0
18.089576721191406,87,0.42725032567977905,2.4333910942077637,2.4333910942077637,18.089576721191406,21600,0,0.3735542595386505,21499,245,0.42725032567977905,18.089576721191406,-136.59335605,108,0.001,18.089576721191406,0.00941423699259758,200.0
16.02656364440918,87,0.28311023116111755,2.0622451305389404,2.0622451305389404,16.02656364440918,22400,0,-0.21070528030395508,22299,254,0.28311023116111755,16.02656364440918,-137.11399459999996,112,0.001,16.02656364440918,0.008936841040849686,200.0
15.449713706970215,87,0.3575162887573242,2.3796627521514893,2.3796627521514893,15.449713706970215,23200,0,-0.309590220451355,23099,263,0.3575162887573242,15.449713706970215,-138.18353486,116,0.001,15.449713706970215,0.0075368392281234264,200.0
17.896255493164062,87,0.4406522810459137,2.2097911834716797,2.2097911834716797,17.896255493164062,24000,0,1.5692460536956787,23899,272,0.4406522810459137,17.896255493164062,-137.99166972999998,120,0.001,17.896255493164062,0.006591601762920618,200.0
13.801011085510254,87,0.2556992173194885,2.0772175788879395,2.0772175788879395,13.801011085510254,24800,0,-0.23901236057281494,24699,282,0.2556992173194885,13.801011085510254,-135.14788529999998,124,0.001,13.801011085510254,0.00646138796582818,200.0
13.562947273254395,87,0.5219327211380005,2.2557692527770996,2.2557692527770996,13.562947273254395,25600,0,0.9820371270179749,25499,291,0.5219327211380005,13.562947273254395,-138.26550268,128,0.001,13.562947273254395,0.010070571675896645,200.0
