time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/Beta,train/MSE_loss,train/n_updates,train/MSE_losses,train/RL_loss,train/learning_rate,train/loss,train/Main_losses,train/critic_loss,train/critic_los
84,48016,-41.11220913095239,255,188,571.6190476190476,1.0900454212576733,0.836,6.7383646965026855,37660,5.599614439904689,1.0315135717391968,0.001,6.6647868156433105,5.771323250979185,0.8489274975826155,0.6611437201499939
88,50480,-36.67821739772727,276,182,573.6363636363636,-0.033816604144298115,0.828,2.273116111755371,41013,5.765644777738131,-2.1623010635375977,0.001,-0.28016090393066406,4.740137322132404,0.5652214960410045,0.2529987692832947
92,52665,-32.80011139130434,292,180,572.445652173913,-0.5363158980408349,0.82,6.298451900482178,43327,4.943463526729845,0.7891273498535156,0.001,5.953857898712158,3.5173241389103427,1.3893810718869553,0.5258873701095581
96,57260,-18.67758457291667,316,180,596.4583333333334,-1.094183657974031,0.812,2.500546932220459,46879,5.2795699949648665,-2.8760509490966797,0.001,-0.845606803894043,3.1928270506148997,0.9791631482789479,0.29138004779815674
100,61456,-9.5088599,342,179,614.56,-1.6642787214752113,0.804,5.378497123718262,50818,5.511174601048677,-3.726771116256714,0.001,0.5975406169891357,2.7667057580638446,0.9873142189452492,0.8284101486206055
104,65469,4.69660347,372,175,627.42,-2.244233680772184,0.796,4.000543594360352,55285,5.138377269565427,-0.7975361347198486,0.001,2.3868966102600098,1.845914643244693,0.7617899781033766,0.5894262790679932
108,69879,20.64203089,400,174,607.52,-3.028865743343275,0.788,3.603985548019409,59614,4.9643829762316045,-3.0900485515594482,0.001,-0.250108003616333,0.8830679788906708,0.6737028170729775,0.8176435828208923
112,73338,32.7552305,424,172,611.41,-3.6329991123110976,0.78,1.608612060546875,63163,4.764653500822401,-4.384308338165283,0.001,-3.1295909881591797,0.08343049177189463,0.6577453304504611,1.0089285373687744
116,76532,41.47471872,445,171,589.86,-4.226584926247597,0.772,3.5226550102233887,66378,5.221525467187166,-4.165848255157471,0.001,-1.4463584423065186,-0.19556718915700913,0.5374954409897328,0.2583720088005066
120,79020,48.67819884000001,466,169,592.55,-4.559635666958299,0.764,0.9621391892433167,69507,5.197137849158551,-4.611658096313477,0.001,-3.8765838146209717,-0.5890223659185999,0.5244243888553971,0.22407078742980957
