rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/MSE_loss,train/MSE_losses,train/Beta,train/n_updates,train/critic_loss,train/critic_los,train/loss,train/actor_loss,train/RL_loss,train/Main_losses
469.02,160,469.02,47068,293,108,0.001,0.2659975290298462,0.26013547617197036,0.788,46483,0.6665236693322658,0.43624889850616455,-62.999542236328125,-66.7835280456543,-65.0956039428711,-64.73366041564941
479.18,160,479.18,49068,306,112,0.001,0.2465546727180481,0.2667468069791794,0.78,48483,0.8669125727415085,0.37283140420913696,-66.48931121826172,-69.23633950805664,-68.41243743896484,-67.15571432495118
480.25,160,480.25,51032,318,116,0.001,0.38375675678253174,0.3134807569384575,0.772,50483,1.3406687341928483,1.2908625602722168,-73.09925079345703,-73.78959335327148,-76.06185150146484,-71.36952194213868
481.5,160,481.5,52896,330,120,0.001,0.31569793820381165,0.2650296416352777,0.764,52311,1.210825215435136,0.4353904724121094,-72.9852523803711,-75.53167489858774,-75.39718627929688,-73.50684839999514
478.42,159,478.42,54588,342,124,0.001,0.37523841857910156,0.35523827040195466,0.756,54212,2.115232582271099,2.3187484741210938,-75.52042388916016,-78.25721957397461,-78.35722351074219,-75.5716181640625
472.45,159,472.45,55991,350,128,0.001,0.2540385127067566,0.2826822725294521,0.748,55574,1.9048823376871504,1.6347014904022217,-76.76171875,-78.55395003984559,-78.66192626953125,-76.43948652159493
468.03,159,468.03,57549,361,132,0.001,0.4150255024433136,0.4214859720468521,0.74,57208,1.9099785580039024,3.1689019203186035,-78.4972152709961,-81.59630755615234,-81.56840515136719,-78.47731115722657
464.91,159,464.91,59237,370,136,0.001,0.3033929467201233,0.2663723752498627,0.732,58652,2.003471094071865,1.5418331623077393,-78.98013305664062,-81.83032446289063,-81.20096588134766,-79.88047836303711
464.91,159,464.91,61237,382,140,0.001,0.2551942765712738,0.26206880843639374,0.724,60652,1.4295975286364555,0.5569512248039246,-79.702880859375,-81.50680584716797,-81.55048370361328,-79.60942770385742
464.46,159,464.46,63192,395,144,0.001,0.30573904514312744,0.25978536081314085,0.716,62607,0.9073413686454296,0.39335897564888,-79.5882568359375,-81.33481332397461,-81.77735137939453,-79.47475006103515
462.56,159,462.56,65002,407,148,0.001,0.22105079889297485,0.2582803526520729,0.708,64607,0.7680116404294968,0.7561352252960205,-79.83501434326172,-81.37533987426758,-81.40005493164062,-79.54671481323243
462.24,159,462.24,66970,419,152,0.001,0.2533603608608246,0.2721338337659836,0.7,66417,0.8622839111089706,0.5055134296417236,-78.86930084228516,-81.71675155639649,-80.642822265625,-79.81181466674805
459.67,159,459.67,68713,430,156,0.001,0.2511141896247864,0.2707240207195282,0.692,68219,1.1919634236097336,0.45819956064224243,-80.93557739257812,-82.42217904663086,-82.67328643798828,-80.54876898193359
456.56,159,456.56,70195,440,160,0.001,0.23714366555213928,0.26010587343336206,0.684,69719,1.0343439280657842,0.5521895289421082,-80.29844665527344,-82.63776917584174,-81.9205093383789,-80.8586447724199
460.24,159,460.24,72195,452,164,0.001,0.2813834249973297,0.2644158117175102,0.676,71610,0.9649535651803016,0.3359498381614685,-81.6172103881836,-82.87575112915039,-83.51936340332031,-81.08830014038087
461.67,159,461.67,74195,464,168,0.001,0.2659186124801636,0.2672692732810974,0.668,73610,0.8266571882367134,0.9412382245063782,-83.65841674804688,-83.79199670410156,-85.43475341796875,-82.00663809204102
460.93,159,460.93,75979,476,172,0.001,0.2537481486797333,0.27162029328090803,0.66,75442,1.170706852139639,0.7099834680557251,-80.0716552734375,-85.10300043651036,-81.74639129638672,-83.31030634471348
460.93,159,460.93,77979,488,176,0.001,0.3811175525188446,0.26044049167633054,0.652,77394,1.0810996543765068,1.200068712234497,-80.84516906738281,-84.71858142089843,-83.3300552368164,-83.02050955200195
459.19,159,459.19,79805,501,180,0.001,0.43171536922454834,0.32703310865163804,0.644,79394,1.300177837729454,1.8584601879119873,-85.22865295410156,-85.61178060913086,-88.00890350341797,-83.50568725585937
457.27,159,457.27,81509,511,184,0.001,0.24977949261665344,0.262440980553627,0.636,80924,1.2373084005117416,0.5408648252487183,-85.71783447265625,-86.71631170654297,-87.30643463134766,-85.0471869506836
453.71,158,453.71,82868,521,188,0.001,0.31458595395088196,0.2633677236104416,0.628,82582,1.2086271931516364,0.7873657941818237,-84.23925018310547,-86.24797989150225,-86.21485137939453,-84.59403086516816
439.65,158,439.65,83462,525,192,0.001,0.2742273509502411,0.2847578407495053,0.62,83241,1.7727389101059206,1.309628963470459,-83.92694854736328,-87.14542943781072,-85.62715911865234,-85.37993096686029
