time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/RL_loss,train/Beta,train/critic_los,train/loss,train/n_updates,train/MSE_losses,train/learning_rate,train/Main_losses,train/MSE_loss
284,5.81,10,5.81,167,1714,-2.9406763712565103,0.034257888048887256,-3.013357162475586,0.0,0.028964050114154816,-3.013357162475586,1614,1.6284064849217732,0.001,-2.9406763712565103,1.5751912593841553
288,5.83,10,5.83,167,1738,-2.874520699183146,0.04552543722093105,-2.73681640625,0.0,0.05281009525060654,-2.73681640625,1638,1.6389893293380737,0.001,-2.874520699183146,1.6924468278884888
292,5.84,10,5.84,167,1762,-3.0510365962982178,0.051539975528915725,-3.1423821449279785,0.0,0.022407088428735733,-3.1423821449279785,1662,1.550654411315918,0.001,-3.0510365962982178,1.4952433109283447
296,5.84,10,5.84,167,1786,-2.7978641986846924,0.0447423942387104,-2.800769567489624,0.0,0.051773861050605774,-2.800769567489624,1686,1.6710970004399617,0.001,-2.7978641986846924,1.6972206830978394
300,5.86,10,5.86,167,1810,-2.961677312850952,0.03178728651255369,-3.1361711025238037,0.0,0.03544244170188904,-3.1361711025238037,1710,1.6417198578516643,0.001,-2.961677312850952,1.5869300365447998
304,5.85,10,5.85,167,1833,-2.9546426932017007,0.025493817403912544,-2.8552255630493164,0.0,0.022729486227035522,-2.8552255630493164,1734,1.618606170018514,0.001,-2.9546426932017007,1.6451843976974487
308,5.84,11,5.84,167,1856,-2.867145299911499,0.037463708966970447,-3.0038061141967773,0.0,0.031994953751564026,-3.0038061141967773,1756,1.6680306990941365,0.001,-2.867145299911499,1.57746422290802
312,5.85,11,5.85,167,1880,-2.908738692601522,0.03594150270024935,-2.9319965839385986,0.0,0.038144923746585846,-2.9319965839385986,1780,1.6677658160527546,0.001,-2.908738692601522,1.6497901678085327
316,5.87,11,5.87,166,1904,-2.99027951558431,0.031980229852100216,-2.8172783851623535,0.0,0.04156672954559326,-2.8172783851623535,1804,1.6319363117218018,0.001,-2.99027951558431,1.7337441444396973
320,5.88,11,5.88,166,1928,-2.924328565597534,0.0636956716577212,-2.959299325942993,0.0,0.12288954108953476,-2.959299325942993,1828,1.6807150840759277,0.001,-2.924328565597534,1.638808250427246
324,5.87,11,5.87,166,1951,-2.9665683110555015,0.04662699997425079,-3.1087663173675537,0.0,0.04680684208869934,-3.1087663173675537,1851,1.6479376554489136,0.001,-2.9665683110555015,1.6453531980514526
328,5.87,11,5.87,166,1974,-3.075782219568888,0.033952003344893456,-3.1872453689575195,0.0,0.026657994836568832,-3.1872453689575195,1874,1.5952367782592773,0.001,-3.075782219568888,1.530578851699829
332,5.88,11,5.88,166,1998,-2.9986154238382974,0.03188076987862587,-3.072197198867798,0.0,0.024911262094974518,-3.072197198867798,1898,1.6450422604878743,0.001,-2.9986154238382974,1.601866364479065
336,5.89,12,5.89,166,2022,-3.0534977118174234,0.08449807328482468,-3.042118549346924,0.0,0.034282952547073364,-3.042118549346924,1922,1.6301216284434001,0.001,-3.0534977118174234,1.6468132734298706
340,5.92,12,5.92,166,2047,-2.874579429626465,0.03671623872859137,-2.8326196670532227,0.0,0.03636323660612106,-2.8326196670532227,1947,1.7021646896998088,0.001,-2.874579429626465,1.6968847513198853
344,5.93,12,5.93,166,2071,-3.005970319112142,0.04771008218328158,-2.913985013961792,0.0,0.06015452742576599,-2.913985013961792,1971,1.6439838409423828,0.001,-3.005970319112142,1.6506807804107666
348,7.0,12,7.0,173,2201,-3.1616331338882446,0.050224514944212775,-3.1258394718170166,0.0,0.09694814682006836,-3.1258394718170166,1996,0.98325976729393,0.001,-3.1616331338882446,0.7653196454048157
352,7.23,13,7.23,166,2247,-3.5109010140101113,0.07527233598132928,-3.622034788131714,0.0,0.20536550879478455,-3.622034788131714,2139,1.1704254349072774,0.001,-3.5109010140101113,1.0993374586105347
356,7.42,13,7.42,166,2290,-3.6704257011413572,0.05414048872060246,-3.538975238800049,0.0,0.04294551536440849,-3.538975238800049,2186,1.0976802468299867,0.001,-3.6704257011413572,1.2537517547607422
360,7.74,14,7.74,166,2346,-3.711824825831822,0.08398608987530072,-3.684912919998169,0.0,0.03453673794865608,-3.684912919998169,2239,0.9886372174535479,0.001,-3.711824825831822,1.018810510635376
364,8.64,14,8.64,166,2460,-3.8494139909744263,0.09949314413648663,-4.366625785827637,0.0,0.05270873382687569,-4.366625785827637,2339,0.9592556357383728,0.001,-3.8494139909744263,0.67058926820755
368,9.36,15,9.36,166,2556,-4.138117604785496,0.11289674455398008,-4.129425525665283,0.0,0.04279247298836708,-4.129425525665283,2437,0.9284384118186103,0.001,-4.138117604785496,0.9203075766563416
372,10.16,15,10.16,166,2659,-4.259335245404925,0.10728762844311339,-4.491163730621338,0.0,0.15513217449188232,-4.491163730621338,2534,0.9594156273773738,0.001,-4.259335245404925,0.8568640947341919
