time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
156,437,466.29,466.29,69145,158,0.29292162996530535,0.23250812292099,-80.73246765136719,0.8332191143333912,0.692,-79.1235122680664,-81.79548947143554,-79.76847171020508,0.5763004422187805,68553,0.001
160,449,466.29,466.29,71145,158,0.2982567152380943,0.21802140772342682,-82.8861312866211,0.6462863145768643,0.684,-81.39486694335938,-82.14142468261718,-80.10134890747071,0.4340188801288605,70553,0.001
164,458,457.0,457.0,72216,157,0.268509470844922,0.2841140627861023,-82.78343200683594,0.9235578535558426,0.676,-80.86282348632812,-82.0339227441239,-80.21879849368578,0.5685005784034729,71911,0.001
168,468,455.96,455.96,74112,158,0.25927023094892504,0.28443586826324463,-81.71372985839844,0.5361759616732598,0.668,-79.8136978149414,-82.34240872192383,-80.6104835510254,0.3243485689163208,73520,0.001
172,481,455.96,455.96,76112,158,0.27764784824848177,0.3526194989681244,-82.16780090332031,0.6158107742369175,0.66,-79.84051513671875,-82.88449157714844,-81.05201593017578,0.5553202629089355,75520,0.001
176,494,453.38,453.38,77854,157,0.2810381659865379,0.22821952402591705,-83.06427764892578,1.2356441034376622,0.652,-81.57628631591797,-83.54825799560547,-81.71588928222656,0.6561981439590454,77520,0.001
180,502,448.63,448.63,79379,158,0.2744936371445656,0.2800043523311615,-84.60919952392578,0.7201946263313294,0.644,-82.80596923828125,-83.55330505371094,-81.78556625366211,0.23689278960227966,78787,0.001
184,514,448.63,448.63,81379,158,0.2739566031098366,0.21684768795967102,-85.35018157958984,0.7061532760858535,0.636,-83.97103118896484,-83.97152880859375,-82.22916470336914,0.3569351136684418,80787,0.001
188,527,448.63,448.63,83379,157,0.2726296910047531,0.24248194694519043,-85.40249633789062,0.6527287286072969,0.628,-83.87970733642578,-83.83507318115234,-82.12295874023438,0.8740718364715576,82787,0.001
192,540,448.63,448.63,85379,157,0.2708093552589417,0.3397497236728668,-82.4462661743164,0.6762923657000065,0.62,-80.3398208618164,-83.59706253051758,-81.91804470825195,0.16994908452033997,84787,0.001
196,553,447.45,447.45,87261,157,0.26537371921539304,0.24493125081062317,-83.01093292236328,0.5135908416509628,0.612,-81.51195526123047,-83.61076379394531,-81.9866764831543,0.7934544682502747,86787,0.001
200,564,446.71,446.71,89187,157,0.2642693966627121,0.28488463163375854,-83.08171081542969,0.5779460250736682,0.604,-81.36100769042969,-83.9872085141464,-82.39102144196559,0.46789419651031494,88595,0.001
204,577,454.56,454.56,91187,157,0.26059296613931654,0.2670421302318573,-84.84528350830078,0.7166676223278046,0.596,-83.25371551513672,-84.47945056152344,-82.9263165588379,0.21728292107582092,90595,0.001
208,590,466.92,466.92,93187,157,0.26075844663381575,0.2110108584165573,-84.88861083984375,0.5463253849744797,0.588,-83.64786529541016,-84.70411004638672,-83.17085009765626,0.16334545612335205,92595,0.001
212,602,480.42,480.42,95187,157,0.2535638239979744,0.23150008916854858,-84.9808349609375,0.5122858219444751,0.58,-83.63813781738281,-85.05044314575196,-83.5797728881836,0.12475559115409851,94595,0.001
216,615,480.42,480.42,97187,157,0.2556900728940964,0.2763770818710327,-83.99050903320312,0.5344100070595741,0.572,-82.40962982177734,-85.15550729370118,-83.6929603881836,0.16835862398147583,96595,0.001
220,628,480.42,480.42,99187,157,0.2765142436027527,0.3043920397758484,-86.49923706054688,0.7682394213825464,0.564,-84.78246307373047,-86.07938864135743,-84.51984844970703,1.0250927209854126,98595,0.001
224,641,480.42,480.42,101187,157,0.27447244071960447,0.27949953079223633,-87.3541030883789,0.7820606065094471,0.556,-85.80008697509766,-86.83103833007813,-85.30497143554688,0.5347927212715149,100595,0.001
228,653,480.42,480.42,103187,157,0.2591245846152306,0.27126818895339966,-88.29048919677734,0.6487517152428627,0.548,-86.80393981933594,-87.30186056518555,-85.88185781860352,0.2873242497444153,102595,0.001
232,666,480.42,480.42,105187,157,0.26598850333690643,0.21060813963413239,-89.52210998535156,0.5020148170441389,0.54,-88.38482666015625,-87.97509481811524,-86.53875674438477,0.2642139494419098,104595,0.001
236,679,480.42,480.42,107187,157,0.2586518152952194,0.24798758327960968,-88.41651916503906,0.6495952780991793,0.532,-87.09722900390625,-88.46141067504882,-87.08538287353515,0.5138368606567383,106595,0.001
240,692,480.42,480.42,109187,157,0.2582219575047493,0.2177247554063797,-88.80829620361328,0.4844500814303756,0.524,-87.66741943359375,-88.52885418701172,-87.17577114868165,0.16530808806419373,108595,0.001
244,705,480.42,480.42,111187,157,0.25310452830791474,0.3037712574005127,-88.13310241699219,0.31231995221972464,0.516,-86.56564331054688,-88.63074295043945,-87.32472341918945,0.4835202097892761,110595,0.001
248,717,480.42,480.42,113187,157,0.2629632952809334,0.26220959424972534,-90.48876953125,0.5114511497020722,0.508,-89.15674591064453,-88.92820141601563,-87.59234790039062,0.19488778710365295,112595,0.001
252,730,480.42,480.42,115187,157,0.2531026785373688,0.2260705828666687,-89.81310272216797,0.3453043933734298,0.5,-88.68274688720703,-89.12360507202149,-87.85809170532227,0.1462724208831787,114595,0.001
256,743,480.42,480.42,117187,157,0.25896639400720595,0.25167495012283325,-89.24115753173828,0.5661198082342744,0.492,-88.00291442871094,-88.869857421875,-87.59574264526367,0.14570066332817078,116595,0.001
260,756,480.42,480.42,119187,157,0.25488361090421674,0.2841641306877136,-89.82015228271484,0.6351407687216997,0.484,-88.4448013305664,-88.91507431030273,-87.68143759155274,0.1322532743215561,118595,0.001
264,769,489.71,489.71,121187,157,0.26420486336946486,0.26556673645973206,-89.58675384521484,0.5255314126089216,0.476,-88.3226547241211,-88.97957452392578,-87.72195916748046,0.3167235255241394,120595,0.001
268,781,490.75,490.75,123187,157,0.261233757853508,0.23368693888187408,-89.1256103515625,0.7533539715707303,0.468,-88.03195190429688,-88.75012731933593,-87.52755346679687,0.2063659131526947,122595,0.001
272,794,490.75,490.75,125187,157,0.2649600119590759,0.2811216413974762,-88.77227020263672,0.6298770539462566,0.46,-87.47911071777344,-88.77449075317382,-87.55567498779297,0.5582678318023682,124595,0.001
276,807,493.33,493.33,127187,157,0.2586044529676437,0.256862610578537,-89.5073013305664,0.5799919154942036,0.452,-88.34628295898438,-88.88534796142578,-87.71645596313476,1.0479872226715088,126595,0.001
280,819,498.08,498.08,129187,157,0.2547122861742973,0.24190284311771393,-87.38755798339844,0.61785768635571,0.444,-86.31350708007812,-89.10113714599609,-87.97021481323242,0.07405274361371994,128595,0.001
284,832,498.08,498.08,131187,157,0.2573873339295387,0.21678058803081512,-89.24589538574219,0.29938526698201895,0.436,-88.30073547363281,-89.07625860595704,-87.95404977416992,0.0620541125535965,130595,0.001
288,845,498.08,498.08,133187,157,0.2588510464429855,0.21989311277866364,-89.83120727539062,0.543862861700356,0.428,-88.89006805419922,-89.09694827270508,-87.98906573486327,0.13222002983093262,132595,0.001
