time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/RL_loss,train/critic_los,train/n_updates,train/ent_coef,train/ent_coef_loss,train/MSE_losses,train/critic_loss,train/MSE_loss,train/Beta,train/Main_losses,train/loss,train/learning_rate,train/actor_loss
88,48,38,71.10416666666667,3413,71.10416666666667,-15.70241928100586,0.12053142488002777,3312,0.05281392112374306,-2.892155170440674,1.352698564529419,0.12053142488002777,1.352698564529419,0,-15.70241928100586,-15.70241928100586,0.001,-15.70241928100586
88,52,46,79.36538461538461,4127,79.36538461538461,-17.968124389648438,0.38263094425201416,4026,0.030011359602212906,-2.48582124710083,1.3046135902404785,0.38263094425201416,1.3046135902404785,0,-17.968124389648438,-17.968124389648438,0.001,-17.968124389648438
89,56,52,83.19642857142857,4659,83.19642857142857,-19.61371612548828,0.1984366625547409,4558,0.022093435749411583,-1.792845368385315,1.473097324371338,0.1984366625547409,1.473097324371338,0,-19.61371612548828,-19.61371612548828,0.001,-19.61371612548828
89,60,61,91.95,5517,91.95,-22.1798152923584,0.28267621994018555,5416,0.013744375668466091,-1.3802562952041626,1.3665719032287598,0.28267621994018555,1.3665719032287598,0,-22.1798152923584,-22.1798152923584,0.001,-22.1798152923584
89,64,68,95.453125,6109,95.453125,-23.39134979248047,0.458852082490921,6008,0.010701742023229599,-0.9934990406036377,1.5919160842895508,0.458852082490921,1.5919160842895508,0,-23.39134979248047,-23.39134979248047,0.001,-23.39134979248047
89,68,74,97.30882352941177,6617,97.30882352941177,-25.768325805664062,0.11531136929988861,6516,0.009621198289096355,-1.1129302978515625,1.4576791524887085,0.11531136929988861,1.4576791524887085,0,-25.768325805664062,-25.768325805664062,0.001,-25.768325805664062
89,72,79,98.94444444444444,7124,98.94444444444444,-26.565650939941406,0.30365538597106934,7023,0.009203202091157436,0.789582371711731,1.4348833560943604,0.30365538597106934,1.4348833560943604,0,-26.565650939941406,-26.565650939941406,0.001,-26.565650939941406
89,76,86,101.60526315789474,7722,101.60526315789474,-28.064510345458984,0.5922702550888062,7621,0.009836339391767979,0.20514461398124695,1.4366774559020996,0.5922702550888062,1.4366774559020996,0,-28.064510345458984,-28.064510345458984,0.001,-28.064510345458984
89,80,91,102.8,8224,102.8,-28.971105575561523,0.10058717429637909,8123,0.010465612635016441,-0.19234973192214966,1.4725725650787354,0.10058717429637909,1.4725725650787354,0,-28.971105575561523,-28.971105575561523,0.001,-28.971105575561523
89,84,97,103.57142857142857,8700,103.57142857142857,-30.924835205078125,0.14178146421909332,8599,0.01314878836274147,-0.038476765155792236,1.5582528114318848,0.14178146421909332,1.5582528114318848,0,-30.924835205078125,-30.924835205078125,0.001,-30.924835205078125
89,88,102,104.8409090909091,9226,104.8409090909091,-31.415184020996094,0.15993911027908325,9125,0.009577877819538116,-0.8746018409729004,1.3460404872894287,0.15993911027908325,1.3460404872894287,0,-31.415184020996094,-31.415184020996094,0.001,-31.415184020996094
89,92,108,105.80434782608695,9734,105.80434782608695,-33.56622314453125,0.15755432844161987,9633,0.008014374412596226,0.29350852966308594,1.4585981369018555,0.15755432844161987,1.4585981369018555,0,-33.56622314453125,-33.56622314453125,0.001,-33.56622314453125
89,96,114,106.95833333333333,10268,106.95833333333333,-33.28361511230469,0.13442987203598022,10167,0.008619547821581364,-0.11829586327075958,1.2900450229644775,0.13442987203598022,1.2900450229644775,0,-33.28361511230469,-33.28361511230469,0.001,-33.28361511230469
89,100,123,109.83,10983,109.83,-34.24287414550781,0.25472724437713623,10882,0.006588447373360395,0.5148816704750061,1.3988783359527588,0.25472724437713623,1.3988783359527588,0,-34.24287414550781,-34.24287414550781,0.001,-34.24287414550781
