rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/MSE_loss,train/MSE_losses,train/critic_los,train/critic_loss,train/Beta,train/Main_losses,train/RL_loss,train/ent_coef,train/actor_loss,train/n_updates,train/loss,train/learning_rate,train/ent_coef_loss
116.8586956521739,118,92,90,116.8586956521739,10751,1.3654978275299072,1.3654978275299072,0.4253208637237549,0.4253208637237549,0,-33.89739227294922,-33.89739227294922,0.009619404561817646,-33.89739227294922,10650,-33.89739227294922,0.001,0.4648025333881378
132.82291666666666,141,96,90,132.82291666666666,12751,1.4918925762176514,1.4918925762176514,0.04571404308080673,0.04571404308080673,0,-39.60503387451172,-39.60503387451172,0.012114554643630981,-39.60503387451172,12650,-39.60503387451172,0.001,-0.6447980403900146
141.05,156,100,90,141.05,14105,1.254783034324646,1.254783034324646,0.13912999629974365,0.13912999629974365,0,-42.19265365600586,-42.19265365600586,0.014162774197757244,-42.19265365600586,14004,-42.19265365600586,0.001,0.15160644054412842
158.94,176,104,90,158.94,15953,1.2884883880615234,1.2884883880615234,0.1728818118572235,0.1728818118572235,0,-45.79302215576172,-45.79302215576172,0.012366340495646,-45.79302215576172,15852,-45.79302215576172,0.001,0.042117029428482056
172.51,192,108,90,172.51,17359,1.3211359977722168,1.3211359977722168,0.48743903636932373,0.48743903636932373,0,-48.17768096923828,-48.17768096923828,0.01591058075428009,-48.17768096923828,17258,-48.17768096923828,0.001,-0.41546785831451416
187.47,210,112,90,187.47,18992,1.510310411453247,1.510310411453247,0.07135087251663208,0.07135087251663208,0,-49.26555252075195,-49.26555252075195,0.01668640226125717,-49.26555252075195,18891,-49.26555252075195,0.001,0.28334248065948486
201.32,228,116,90,201.32,20598,1.5272440910339355,1.5272440910339355,0.050156645476818085,0.050156645476818085,0,-52.341392517089844,-52.341392517089844,0.015862105414271355,-52.341392517089844,20497,-52.341392517089844,0.001,0.44690215587615967
219.81,250,120,90,219.81,22569,1.6061313152313232,1.6061313152313232,0.08987373113632202,0.08987373113632202,0,-56.42937469482422,-56.42937469482422,0.014037048444151878,-56.42937469482422,22468,-56.42937469482422,0.001,-0.618818998336792
238.55,272,124,90,238.55,24543,1.321408748626709,1.321408748626709,0.11634901165962219,0.11634901165962219,0,-58.264678955078125,-58.264678955078125,0.012077916413545609,-58.264678955078125,24442,-58.264678955078125,0.001,-0.4452744722366333
256.04,294,128,90,256.04,26543,1.1485984325408936,1.1485984325408936,0.07580524682998657,0.07580524682998657,0,-63.19387435913086,-63.19387435913086,0.01390296220779419,-63.19387435913086,26442,-63.19387435913086,0.001,-0.48172837495803833
272.8,316,132,90,272.8,28543,1.3908742666244507,1.3908742666244507,0.04217218607664108,0.04217218607664108,0,-63.68246841430664,-63.68246841430664,0.014527062885463238,-63.68246841430664,28442,-63.68246841430664,0.001,-0.14550304412841797
287.93,338,136,90,287.93,30543,1.294670581817627,1.294670581817627,0.3009726405143738,0.3009726405143738,0,-67.06593322753906,-67.06593322753906,0.011238408274948597,-67.06593322753906,30442,-67.06593322753906,0.001,-0.05420033633708954
294.7,351,140,90,294.7,31738,1.3193333148956299,1.3193333148956299,0.13065661489963531,0.13065661489963531,0,-66.6755142211914,-66.6755142211914,0.011487016454339027,-66.6755142211914,31637,-66.6755142211914,0.001,-1.0549373626708984
308.21,374,144,90,308.21,33738,1.3238863945007324,1.3238863945007324,0.10548483580350876,0.10548483580350876,0,-69.9903564453125,-69.9903564453125,0.01413385197520256,-69.9903564453125,33637,-69.9903564453125,0.001,-0.0005221962928771973
321.31,396,148,90,321.31,35738,1.4774277210235596,1.4774277210235596,0.045914772897958755,0.045914772897958755,0,-72.3907470703125,-72.3907470703125,0.013258962891995907,-72.3907470703125,35637,-72.3907470703125,0.001,-0.4356117248535156
334.41,418,152,90,334.41,37738,1.4868478775024414,1.4868478775024414,0.07676555961370468,0.07676555961370468,0,-73.90240478515625,-73.90240478515625,0.009346089325845242,-73.90240478515625,37637,-73.90240478515625,0.001,0.3190644383430481
347.7,440,156,90,347.7,39721,1.2921373844146729,1.2921373844146729,0.31752899289131165,0.31752899289131165,0,-76.7412109375,-76.7412109375,0.006921570282429457,-76.7412109375,39620,-76.7412109375,0.001,0.9086118340492249
