train/MSE_loss,train/RL_loss,train/Main_losses,train/MSE_losses,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/critic_los,rollout/ep_len_mean,train/n_updates,train/actor_loss,time/episodes,time/fps,train/loss,train/Beta,train/ent_coef_loss,train/critic_loss,train/learning_rate
2.719557285308838,35.73039627075195,35.73039627075195,2.719557285308838,18400,-350.29832306521746,0.020511584356427193,206,0.6181439757347107,200.0,18299,35.73039627075195,92,88,35.73039627075195,-0.0,-0.40878599882125854,0.6181439757347107,0.001
2.44446063041687,36.52439498901367,36.52439498901367,2.44446063041687,19200,-341.64538060416663,0.021274806931614876,215,1.2807815074920654,200.0,19099,36.52439498901367,96,88,36.52439498901367,-0.0,-0.1543828547000885,1.2807815074920654,0.001
2.673704147338867,35.83265686035156,35.83265686035156,2.673704147338867,20000,-335.3831747899999,0.02125920169055462,224,0.6600614786148071,200.0,19899,35.83265686035156,100,88,35.83265686035156,-0.0,0.38101691007614136,0.6600614786148071,0.001
2.6257410049438477,29.20208740234375,29.20208740234375,2.6257410049438477,20800,-288.16166466000004,0.023138567805290222,233,0.9296324253082275,200.0,20699,29.20208740234375,104,88,29.20208740234375,-0.0,-0.013216376304626465,0.9296324253082275,0.001
2.556933879852295,31.514101028442383,31.514101028442383,2.556933879852295,21600,-234.4094032,0.020840799435973167,242,0.69439297914505,200.0,21499,31.514101028442383,108,88,31.514101028442383,-0.0,-0.09860837459564209,0.69439297914505,0.001
3.023207187652588,32.25251007080078,32.25251007080078,3.023207187652588,22400,-200.45290791,0.021002428606152534,252,1.1547859907150269,200.0,22299,32.25251007080078,112,88,32.25251007080078,-0.0,-0.6273167133331299,1.1547859907150269,0.001
2.820934772491455,24.169837951660156,24.169837951660156,2.820934772491455,23200,-191.31242789999996,0.02221844717860222,261,0.8613183498382568,200.0,23099,24.169837951660156,116,88,24.169837951660156,-0.0,-0.12666544318199158,0.8613183498382568,0.001
2.865797519683838,27.974315643310547,27.974315643310547,2.865797519683838,24000,-175.70448621999995,0.022776270285248756,270,0.6774547100067139,200.0,23899,27.974315643310547,120,88,27.974315643310547,-0.0,-0.14774391055107117,0.6774547100067139,0.001
2.9087889194488525,27.347442626953125,27.347442626953125,2.9087889194488525,24800,-176.56404084000002,0.022497666999697685,279,0.9093806743621826,200.0,24699,27.347442626953125,124,88,27.347442626953125,-0.0,-1.1776190996170044,0.9093806743621826,0.001
2.9826998710632324,31.591007232666016,31.591007232666016,2.9826998710632324,25600,-165.20353091,0.02211582288146019,288,1.0711387395858765,200.0,25499,31.591007232666016,128,88,31.591007232666016,-0.0,0.018243253231048584,1.0711387395858765,0.001
2.998359203338623,21.244617462158203,21.244617462158203,2.998359203338623,26400,-155.98792627000003,0.021625056862831116,297,0.4986920952796936,200.0,26299,21.244617462158203,132,88,21.244617462158203,-0.0,-1.0714634656906128,0.4986920952796936,0.001
3.0002670288085938,27.914499282836914,27.914499282836914,3.0002670288085938,27200,-156.07393965999998,0.020212356001138687,306,0.6841463446617126,200.0,27099,27.914499282836914,136,88,27.914499282836914,-0.0,0.6895736455917358,0.6841463446617126,0.001
2.9950759410858154,25.151012420654297,25.151012420654297,2.9950759410858154,28000,-153.64178012999997,0.01963195763528347,315,0.51139235496521,200.0,27899,25.151012420654297,140,88,25.151012420654297,-0.0,-0.3889952003955841,0.51139235496521,0.001
3.037931203842163,23.8900089263916,23.8900089263916,3.037931203842163,28800,-151.72118788,0.019972117617726326,324,0.3129202723503113,200.0,28699,23.8900089263916,144,88,23.8900089263916,-0.0,0.7341222763061523,0.3129202723503113,0.001
2.8980913162231445,27.641414642333984,27.641414642333984,2.8980913162231445,29600,-152.70614615,0.022866640239953995,333,0.42559313774108887,200.0,29499,27.641414642333984,148,88,27.641414642333984,-0.0,0.4024984836578369,0.42559313774108887,0.001
2.933537006378174,36.10406494140625,36.10406494140625,2.933537006378174,30400,-151.87818016,0.020948687568306923,342,0.9221687316894531,200.0,30299,36.10406494140625,152,88,36.10406494140625,-0.0,0.9908084869384766,0.9221687316894531,0.001
3.317903518676758,20.770469665527344,20.770469665527344,3.317903518676758,31200,-152.73747492,0.020718572661280632,351,0.5864905118942261,200.0,31099,20.770469665527344,156,88,20.770469665527344,-0.0,-0.3350476622581482,0.5864905118942261,0.001
2.8737268447875977,26.96844482421875,26.96844482421875,2.8737268447875977,32000,-153.78625657999999,0.019480470567941666,360,0.5706496238708496,200.0,31899,26.96844482421875,160,88,26.96844482421875,-0.0,-0.006527826189994812,0.5706496238708496,0.001
2.96720814704895,27.899219512939453,27.899219512939453,2.96720814704895,32800,-152.45011677,0.01931222341954708,369,0.7734370827674866,200.0,32699,27.899219512939453,164,88,27.899219512939453,-0.0,0.24424588680267334,0.7734370827674866,0.001
2.9266867637634277,23.915870666503906,23.915870666503906,2.9266867637634277,33600,-153.98311441999996,0.017599983140826225,378,0.4202328026294708,200.0,33499,23.915870666503906,168,88,23.915870666503906,-0.0,-0.2506757974624634,0.4202328026294708,0.001
2.9720540046691895,22.160961151123047,22.160961151123047,2.9720540046691895,34400,-151.51964649999996,0.015159787610173225,387,0.7277435064315796,200.0,34299,22.160961151123047,172,88,22.160961151123047,-0.0,-0.8716046214103699,0.7277435064315796,0.001
2.957185745239258,21.04422950744629,21.04422950744629,2.957185745239258,35200,-148.85998514,0.01514003798365593,397,0.2708546817302704,200.0,35099,21.04422950744629,176,88,21.04422950744629,-0.0,0.0354343056678772,0.2708546817302704,0.001
2.832756996154785,29.91620445251465,29.91620445251465,2.832756996154785,36000,-151.23318611,0.014162180945277214,406,0.3507838845252991,200.0,35899,29.91620445251465,180,88,29.91620445251465,-0.0,0.6566361784934998,0.3507838845252991,0.001
2.9692015647888184,21.156349182128906,21.156349182128906,2.9692015647888184,36800,-150.91263327000001,0.017200134694576263,415,0.655060887336731,200.0,36699,21.156349182128906,184,88,21.156349182128906,-0.0,-0.23895032703876495,0.655060887336731,0.001
2.908175468444824,23.07655906677246,23.07655906677246,2.908175468444824,37600,-150.91235104999998,0.01446468848735094,424,0.33590787649154663,200.0,37499,23.07655906677246,188,88,23.07655906677246,-0.0,-0.19020450115203857,0.33590787649154663,0.001
2.6707096099853516,24.533872604370117,24.533872604370117,2.6707096099853516,38400,-147.79853397,0.013691652566194534,433,0.3597691059112549,200.0,38299,24.533872604370117,192,88,24.533872604370117,-0.0,0.24175050854682922,0.3597691059112549,0.001
2.7988266944885254,22.705842971801758,22.705842971801758,2.7988266944885254,39200,-148.20226355,0.01238756999373436,442,0.8629592657089233,200.0,39099,22.705842971801758,196,88,22.705842971801758,-0.0,0.439548522233963,0.8629592657089233,0.001
2.7873401641845703,22.212514877319336,22.212514877319336,2.7873401641845703,40000,-149.06713675,0.01601731963455677,451,0.7414126396179199,200.0,39899,22.212514877319336,200,88,22.212514877319336,-0.0,0.34247979521751404,0.7414126396179199,0.001
2.774012565612793,20.660770416259766,20.660770416259766,2.774012565612793,40800,-151.36316097000002,0.015448877587914467,460,0.28868257999420166,200.0,40699,20.660770416259766,204,88,20.660770416259766,-0.0,-0.1622106432914734,0.28868257999420166,0.001
2.9580612182617188,23.891239166259766,23.891239166259766,2.9580612182617188,41600,-147.66315012,0.01283678226172924,469,0.6109095811843872,200.0,41499,23.891239166259766,208,88,23.891239166259766,-0.0,-0.13509079813957214,0.6109095811843872,0.001
2.8190555572509766,22.293916702270508,22.293916702270508,2.8190555572509766,42400,-146.58434498,0.0136824119836092,478,0.31106239557266235,200.0,42299,22.293916702270508,212,88,22.293916702270508,-0.0,-0.4543740153312683,0.31106239557266235,0.001
3.2779455184936523,21.120534896850586,21.120534896850586,3.2779455184936523,43200,-146.74372037,0.011338753625750542,487,0.42990219593048096,200.0,43099,21.120534896850586,216,88,21.120534896850586,-0.0,-1.3736519813537598,0.42990219593048096,0.001
3.1238181591033936,26.289901733398438,26.289901733398438,3.1238181591033936,44000,-151.45913505,0.013809463940560818,496,0.6456741690635681,200.0,43899,26.289901733398438,220,88,26.289901733398438,-0.0,0.17674407362937927,0.6456741690635681,0.001
2.924506187438965,19.176097869873047,19.176097869873047,2.924506187438965,44800,-152.84358606,0.013845622539520264,506,0.4462365508079529,200.0,44699,19.176097869873047,224,88,19.176097869873047,-0.0,-0.4493565559387207,0.4462365508079529,0.001
2.7794065475463867,29.45256996154785,29.45256996154785,2.7794065475463867,45600,-149.41105785,0.013364540413022041,515,0.538311243057251,200.0,45499,29.45256996154785,228,88,29.45256996154785,-0.0,0.9308764934539795,0.538311243057251,0.001
3.1377081871032715,15.757609367370605,15.757609367370605,3.1377081871032715,46400,-150.72352983,0.011243076995015144,524,0.14131684601306915,200.0,46299,15.757609367370605,232,88,15.757609367370605,-0.0,-0.7171218395233154,0.14131684601306915,0.001
