rollout/ep_rew_mean,time/time_elapsed,time/fps,train/std,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/MSE_loss,train/loss,train/Beta,train/actor_loss,train/RL_loss,train/ent_coef,train/MSE_losses,train/critic_loss,train/learning_rate,train/critic_los,train/n_updates,train/Main_losses
49.52748410000001,836,98,0.04954613372683525,140,667.01,81999,0.14270483213476837,2.873075008392334,-8.458309173583984,0,-7.869801506400108,-8.458309173583984,0.007221788851893507,2.8763224091380835,0.3791316384449601,0.00073,1.688863754272461,72000,-7.869801506400108
61.49954004,871,97,0.04957398772239685,144,686.34,85170,0.8717700960114598,2.2172293663024902,-7.669719219207764,0,-8.215832859277725,-7.669719219207764,0.007347762417339254,2.5169974621385336,0.25432071927934885,0.00073,0.13712796568870544,75136,-8.215832859277725
74.10582394000001,902,97,0.049476269632577896,148,694.33,87784,0.7781708650290966,1.9238754510879517,-7.7205376625061035,0,-8.246303878724575,-7.7205376625061035,0.007069826191582251,2.42309289239347,0.301275878213346,0.00073,0.13721512258052826,77760,-8.246303878724575
80.35575197,925,97,0.049343984574079514,152,690.19,89795,0.6576371621340513,1.9857763051986694,-7.684457778930664,0,-8.55116569250822,-7.684457778930664,0.0073228420078521594,2.688540767878294,0.36679594696033746,0.00073,0.3570641279220581,79808,-8.55116569250822
92.99511117000002,958,96,0.04931960999965668,156,706.97,92678,-0.008721945341676474,3.299522638320923,-8.453176498413086,0,-8.498948208987713,-8.453176498413086,0.007354961831879336,2.5575605276972055,0.32703025988303125,0.00073,0.27448704838752747,82688,-8.498948208987713
109.13926334,996,96,0.0491982102394104,160,726.45,96013,-0.9345082233194262,2.7460272312164307,-11.342096328735352,0,-9.287082269787788,-11.342096328735352,0.007193739045760594,2.5166702456772327,0.32131384091917425,0.00073,0.12871193885803223,86016,-9.287082269787788
119.96808502,1029,96,0.049076832830905914,164,710.51,98861,0.5262833184096962,1.4799268245697021,-10.307928085327148,0,-9.85601020604372,-10.307928085327148,0.00758246672921814,2.4148595314472914,0.3170985074248165,0.00073,0.21303078532218933,88832,-9.85601020604372
121.27074417,1060,95,0.04916322976350784,168,680.36,101575,0.09119832562282681,1.3117351531982422,-11.45196533203125,0,-9.93895223736763,-11.45196533203125,0.007759203501336742,2.7093771155923605,0.3970670512644574,0.00073,0.1685929149389267,91584,-9.93895223736763
130.38126669,1096,95,0.049241162836551666,172,672.48,104764,-0.13192442804574966,2.541787624359131,-10.83443546295166,0,-10.188482880592346,-10.83443546295166,0.007584560880786739,2.7605831772089005,0.3625578264473006,0.00073,0.23183879256248474,94720,-10.188482880592346
135.95214278,1131,95,0.04933219403028488,176,662.49,107743,0.3470459501259029,2.236302137374878,-11.624104499816895,0,-10.77651859819889,-11.624104499816895,0.007590176355734002,2.4581498857587576,0.3693787094671279,0.00073,0.24920868873596191,97728,-10.77651859819889
142.93859490000003,1160,95,0.04949656128883362,180,668.72,110303,-0.7118254362139851,1.5682041645050049,-9.745820045471191,0,-10.818694084882736,-9.745820045471191,0.007422145987220574,2.540131403133273,1.4946052324958146,0.00073,0.7617910504341125,100288,-10.818694084882736
149.91081313000004,1197,94,0.049250151962041855,184,667.28,113513,-0.02275411249138415,1.7608599662780762,-12.022453308105469,0,-11.273326948285103,-12.022453308105469,0.007971272454597056,2.499234989285469,0.3970615887083113,0.00073,0.16296154260635376,103488,-11.273326948285103
157.54253437000003,1232,94,0.04896237328648567,188,678.52,116531,-0.18571285507641733,2.2940893173217773,-11.639291763305664,0,-11.272689685225487,-11.639291763305664,0.007532036004704423,2.639376910403371,0.4365171684185043,0.00073,0.09281150996685028,106496,-11.272689685225487
