rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/MSE_losses,train/RL_loss,train/Main_losses,train/MSE_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/critic_los,train/Beta,train/ent_coef_loss,train/loss,train/learning_rate
76.54347826086956,90,92,76.54347826086956,77,7042,0.3875730633735657,-24.662988662719727,-24.662988662719727,0.3875730633735657,0.011278009973466396,-24.662988662719727,0.2040206789970398,6941,0.2040206789970398,-0.0,-0.046059928834438324,-24.662988662719727,0.001
78.6875,90,96,78.6875,83,7554,0.36902695894241333,-27.972349166870117,-27.972349166870117,0.36902695894241333,0.011721471324563026,-27.972349166870117,0.12953947484493256,7453,0.12953947484493256,-0.0,-0.5301368832588196,-27.972349166870117,0.001
81.14,90,100,81.14,89,8114,0.32429414987564087,-27.937780380249023,-27.937780380249023,0.32429414987564087,0.012111238203942776,-27.937780380249023,0.16539698839187622,8013,0.16539698839187622,-0.0,1.0563875436782837,-27.937780380249023,0.001
85.78,90,104,85.78,95,8670,0.3374450206756592,-30.94371223449707,-30.94371223449707,0.3374450206756592,0.014440897852182388,-30.94371223449707,0.19814932346343994,8569,0.19814932346343994,-0.0,-0.09211224317550659,-30.94371223449707,0.001
90.81,90,108,90.81,101,9232,0.416805624961853,-30.92605972290039,-30.92605972290039,0.416805624961853,0.01842091791331768,-30.92605972290039,0.33353129029273987,9131,0.33353129029273987,-0.0,-0.15824733674526215,-30.92605972290039,0.001
95.79,90,112,95.79,108,9790,0.33721357583999634,-31.48668670654297,-31.48668670654297,0.33721357583999634,0.01845160312950611,-31.48668670654297,0.3131646513938904,9689,0.3131646513938904,-0.0,0.0069108158349990845,-31.48668670654297,0.001
100.75,90,116,100.75,114,10337,0.35812413692474365,-32.64642333984375,-32.64642333984375,0.35812413692474365,0.01741746999323368,-32.64642333984375,0.1927429586648941,10236,0.1927429586648941,-0.0,0.3557531237602234,-32.64642333984375,0.001
106.01,90,120,106.01,120,10912,0.3901069760322571,-33.13506317138672,-33.13506317138672,0.3901069760322571,0.017117146402597427,-33.13506317138672,0.2516791820526123,10811,0.2516791820526123,-0.0,0.4340028762817383,-33.13506317138672,0.001
110.96,90,124,110.96,127,11504,0.31058719754219055,-35.84266662597656,-35.84266662597656,0.31058719754219055,0.015565894544124603,-35.84266662597656,1.2025527954101562,11403,1.2025527954101562,-0.0,0.002259291708469391,-35.84266662597656,0.001
116.15,90,128,116.15,133,12063,0.35848286747932434,-37.30552673339844,-37.30552673339844,0.35848286747932434,0.01611383631825447,-37.30552673339844,0.24371564388275146,11962,0.24371564388275146,-0.0,-0.6331323385238647,-37.30552673339844,0.001
