time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/MSE_losses,train/critic_los,train/loss,train/learning_rate,train/n_updates,train/MSE_loss,train/RL_loss,train/Beta,train/critic_loss,train/actor_loss,train/Main_losses
288,1501.0,299083,156,1913,-46.06919338999999,7.928758529516367,0.014019297435879707,0.806360125541687,0.001,289896,7.770688533782959,0.806360125541687,0.0,3.2771399140577104,0.7771872442502242,0.7771872442502242
292,1455.79,300962,156,1925,-47.61730773,7.194726071953774,0.013622339814901352,0.761574923992157,0.001,291688,6.920765399932861,0.761574923992157,0.0,0.3088915320302476,0.8326233696192503,0.8326233696192503
296,1409.41,302724,156,1938,-49.17530996000001,8.51447505335654,0.19197732210159302,0.9070185422897339,0.001,293550,8.286338806152344,0.9070185422897339,0.0,0.10897404569216439,0.9275048701993881,0.9275048701993881
300,1348.11,302994,156,1940,-50.64602676,8.398104944536763,0.23172834515571594,1.2782801389694214,0.001,293801,8.39680004119873,1.2782801389694214,0.0,0.08714316025494583,0.9473569066293778,0.9473569066293778
304,1319.42,306525,156,1954,-53.582228689999994,8.60802619755268,0.16134405136108398,1.1734379529953003,0.001,295798,8.454776763916016,1.1734379529953003,0.0,0.41710388200939635,1.1193601957708597,1.1193601957708597
308,1290.3,310013,156,1976,-54.90873477,9.029881168056178,0.03468839079141617,1.0311579704284668,0.001,299286,8.688399314880371,1.0311579704284668,0.0,0.11473494215684683,1.3942495383120872,1.3942495383120872
312,1229.81,310364,156,1986,-57.87503704000001,8.680717219477115,0.024380039423704147,1.150185465812683,0.001,301124,8.3250093460083,1.150185465812683,0.0,0.1217613628341092,1.3507877795592598,1.3507877795592598
316,1190.23,312806,156,1993,-61.29966337,8.446587484341691,0.41863304376602173,1.3558093309402466,0.001,302079,8.668062210083008,1.3558093309402466,0.0,0.5833568541509078,1.3984010477171336,1.3984010477171336
320,1144.24,314607,156,2012,-63.64742489999999,8.10192176570063,0.03984257951378822,1.626879096031189,0.001,305375,7.847538948059082,1.626879096031189,0.0,0.1384614507222305,1.6533434598342232,1.6533434598342232
324,1130.37,319620,157,2035,-64.65817396,9.081326016187667,0.05182879790663719,1.572435975074768,0.001,308893,9.073320388793945,1.572435975074768,0.0,0.18516104660287966,1.8310174703598023,1.8310174703598023
328,1130.37,326020,156,2077,-63.99408611999999,8.476564121246337,0.31883153319358826,1.7387322187423706,0.001,315293,6.007824420928955,1.7387322187423706,0.0,0.5475870115385624,1.9542106695473194,1.9542106695473194
332,1130.37,332420,156,2122,-66.38685243,6.255604150295258,0.013758467510342598,2.365922212600708,0.001,321693,5.63134765625,2.365922212600708,0.0,0.40340213363379007,1.8645098443329333,1.8645098443329333
336,1073.84,333167,155,2136,-70.26200444000001,6.039140560316003,0.008714502677321434,1.4372332096099854,0.001,323894,6.096458435058594,1.4372332096099854,0.0,0.15999889064287384,1.85816955462746,1.85816955462746
340,1044.23,336606,156,2152,-72.29093865000002,6.177757250666619,0.04267942160367966,1.37411630153656,0.001,325879,6.183442115783691,1.37411630153656,0.0,0.4516806590673514,1.882577918022871,1.882577918022871
344,1044.23,343006,156,2197,-72.57468797,6.461595696210861,0.05208616703748703,1.668416142463684,0.001,332279,5.964883804321289,1.668416142463684,0.0,0.26301823658286594,1.9898347717523575,1.9898347717523575
348,1028.9,347873,155,2231,-73.03812808,6.277499916553498,0.5114145874977112,4.543045997619629,0.001,337146,7.434623718261719,4.543045997619629,0.0,0.48127436682581903,2.059282347559929,2.059282347559929
352,1028.9,354273,155,2277,-73.3040653,6.235584929585457,0.040069080889225006,1.556986689567566,0.001,343546,6.485363483428955,1.556986689567566,0.0,0.4331332393153571,2.0195417077839375,2.0195417077839375
356,1028.9,360673,155,2322,-73.40618951,5.841783471703529,0.07393842190504074,1.5699361562728882,0.001,349946,5.695834636688232,1.5699361562728882,0.0,0.32745997948164585,1.872000441402197,1.872000441402197
360,1013.66,365549,155,2357,-74.39293160000001,6.694009480476379,0.17676317691802979,1.8300472497940063,0.001,354822,6.609756946563721,1.8300472497940063,0.0,0.35550320632639343,1.9300476080179214,1.9300476080179214
364,1013.66,371949,155,2397,-74.56772674,6.098194721341133,0.07266698777675629,1.4161351919174194,0.001,361222,5.8481597900390625,1.4161351919174194,0.0,0.4514196103991708,1.8385078175365925,1.8385078175365925
368,1041.74,378349,155,2436,-72.81327688,5.958635782003403,0.04064925014972687,1.6100964546203613,0.001,367622,6.230791091918945,1.6100964546203613,0.0,0.22411875634337775,1.801485889405012,1.801485889405012
372,1041.74,384749,155,2475,-73.35914697,6.203263708353043,0.18687358498573303,1.907641887664795,0.001,374022,6.295977592468262,1.907641887664795,0.0,0.431764069822384,1.896683739721775,1.896683739721775
376,1072.77,391149,155,2514,-72.70373638,6.061485324501991,0.027736667543649673,1.1634538173675537,0.001,380422,6.291388511657715,1.1634538173675537,0.0,0.3909109116881154,1.7794296264648437,1.7794296264648437
380,1072.77,397549,155,2555,-73.55392101,5.288998377919197,0.021580519154667854,1.533266544342041,0.001,386822,5.703219890594482,1.533266544342041,0.0,0.2851317093614489,1.820100688934326,1.820100688934326
384,1067.01,402473,154,2599,-72.01713256,5.197685085535049,0.30742499232292175,1.919289469718933,0.001,393222,5.993296146392822,1.919289469718933,0.0,0.3481955244409619,1.8578264467418193,1.8578264467418193
388,1053.12,404395,155,2604,-73.42539178,5.834695922627168,0.013928737491369247,1.5631954669952393,0.001,393668,6.555357456207275,1.5631954669952393,0.0,0.2496024774387479,1.9046902109594905,1.9046902109594905
392,1082.99,409261,155,2634,-71.01558014,6.11662620306015,2.6983261108398438,2.7352383136749268,0.001,398534,6.464349269866943,2.7352383136749268,0.0,0.5329198013577843,1.8871126182377338,1.8871126182377338
396,1129.37,415661,155,2673,-67.86971765000001,6.150752208828926,0.22883525490760803,1.822270154953003,0.001,404934,5.755484580993652,1.822270154953003,0.0,0.21310228388116229,1.9870015694200993,1.9870015694200993
400,1190.67,422061,155,2712,-64.54889794,5.7886286795139315,0.1503588855266571,1.5701687335968018,0.001,411334,6.13936185836792,1.5701687335968018,0.0,0.5830654186930042,1.8979613749682904,1.8979613749682904
404,1219.36,428461,155,2751,-61.71443794000002,5.345430110096931,0.21293020248413086,2.6448705196380615,0.001,417734,5.07281494140625,2.6448705196380615,0.0,0.3972753056953661,1.9505408953130245,1.9505408953130245
408,1248.48,434861,155,2790,-58.65225294000001,4.676916486918926,0.023730212822556496,1.234588623046875,0.001,424134,4.2862677574157715,1.234588623046875,0.0,0.2502742668054998,1.8440147821605206,1.8440147821605206
