time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/RL_loss,train/MSE_loss,train/Beta,train/Main_losses,train/MSE_losses,train/critic_los
28000,114,200.0,-288.31426272,140,245,17800,3.9311093986034393,0.001,47.605795822143556,44.49399185180664,44.49399185180664,2.4917232990264893,0,47.605795822143556,2.113781145811081,2.1189475059509277
28800,119,200.0,-249.33007487000003,144,241,18600,3.4579368928074836,0.001,47.35472290039063,56.16752624511719,56.16752624511719,1.9202840328216553,0,47.35472290039063,2.1281325221061707,3.022700309753418
29600,123,200.0,-203.99654397000006,148,238,19400,3.519876923561096,0.001,46.39671077728271,46.260986328125,46.260986328125,2.2279555797576904,0,46.39671077728271,2.134339301586151,4.525670051574707
30400,128,200.0,-169.05155546999998,152,235,20200,3.788669338822365,0.001,46.08422798156738,46.654090881347656,46.654090881347656,1.9346718788146973,0,46.08422798156738,2.1834957993030546,1.8666112422943115
31200,133,200.0,-161.43472451,156,233,21000,3.7424100708961485,0.001,44.959123306274414,40.0152473449707,40.0152473449707,2.4422004222869873,0,44.959123306274414,2.2103465497493744,2.30452823638916
32000,138,200.0,-167.55422383999996,160,230,21800,3.7391566476225853,0.001,44.53235132217407,51.80841064453125,51.80841064453125,2.2274856567382812,0,44.53235132217407,2.1579323756694793,4.691860198974609
32800,143,200.0,-164.23132833000003,164,228,22600,3.383949975371361,0.001,42.739131984710696,35.30961227416992,35.30961227416992,2.205930233001709,0,42.739131984710696,2.1739306712150572,1.750032663345337
33600,148,200.0,-163.12685272999997,168,226,23400,3.3636616000533106,0.001,42.01110221862793,39.472591400146484,39.472591400146484,2.4972546100616455,0,42.01110221862793,2.1977412092685698,2.7559871673583984
34400,153,200.0,-163.57357607000003,172,224,24200,3.263177654445171,0.001,41.92825019836426,37.17982864379883,37.17982864379883,1.9712594747543335,0,41.92825019836426,2.2522828686237335,1.9214997291564941
35200,158,200.0,-162.46146858000003,176,222,25000,2.9081063961982725,0.001,42.097254600524906,33.639434814453125,33.639434814453125,2.011202573776245,0,42.097254600524906,2.224448735713959,3.112544059753418
36000,163,200.0,-158.20113349000002,180,220,25800,3.6114844074845314,0.001,41.2911812210083,32.32561111450195,32.32561111450195,2.336287498474121,0,41.2911812210083,2.2420236432552336,1.8647027015686035
36800,168,200.0,-156.86810690000002,184,218,26600,3.1291413319110872,0.001,39.723403987884524,45.61294937133789,45.61294937133789,2.264907121658325,0,39.723403987884524,2.1770663797855376,1.570540189743042
37600,173,200.0,-158.11147305999998,188,217,27400,2.977913814485073,0.001,40.22686605453491,34.816009521484375,34.816009521484375,2.1642537117004395,0,40.22686605453491,2.240879774093628,2.999052047729492
38400,178,200.0,-159.61777363999997,192,215,28200,2.7336423832178114,0.001,39.42024620056152,45.78133773803711,45.78133773803711,2.20444393157959,0,39.42024620056152,2.215633908510208,1.632127046585083
39200,182,200.0,-161.04416743999997,196,214,29000,2.6918368431925774,0.001,38.42063669204712,33.93666076660156,33.93666076660156,1.9822568893432617,0,38.42063669204712,2.2418248295783996,0.639723539352417
40000,187,200.0,-157.31271501,200,212,29800,3.1696622800827026,0.001,38.671651420593264,31.244855880737305,31.244855880737305,2.1828269958496094,0,38.671651420593264,2.280010714530945,1.2029898166656494
40800,192,200.0,-154.27919187,204,211,30600,2.9499297243356706,0.001,38.07665473937988,28.5396671295166,28.5396671295166,2.3610503673553467,0,38.07665473937988,2.2086867928504943,4.080242156982422
41600,197,200.0,-157.01261660000003,208,210,31400,3.233500990271568,0.001,35.35697557449341,27.448875427246094,27.448875427246094,2.0066440105438232,0,35.35697557449341,2.204596905708313,1.4940569400787354
42400,202,200.0,-153.75860508000002,212,209,32200,3.035474781394005,0.001,36.655711841583255,38.41103744506836,38.41103744506836,2.481398820877075,0,36.655711841583255,2.23041671872139,3.0124363899230957
43200,207,200.0,-151.85656880000005,216,208,33000,2.5855872601270677,0.001,35.357773532867434,39.915897369384766,39.915897369384766,2.4413883686065674,0,35.357773532867434,2.190428375005722,1.6593739986419678
44000,212,200.0,-151.15419986999999,220,207,33800,2.4182065573334692,0.001,36.75655193328858,37.748714447021484,37.748714447021484,2.0054781436920166,0,36.75655193328858,2.1814333951473235,2.817730188369751
44800,217,200.0,-151.5548897,224,205,34600,2.5325949501991274,0.001,35.4247399520874,38.67898178100586,38.67898178100586,2.2983057498931885,0,35.4247399520874,2.163840814828873,2.4975786209106445
45600,222,200.0,-150.56674461000003,228,205,35400,3.1645248439908027,0.001,35.35593185424805,35.73795700073242,35.73795700073242,2.0956692695617676,0,35.35593185424805,2.2179440522193907,1.9328093528747559
46400,227,200.0,-151.5809911,232,204,36200,2.7357005786895754,0.001,34.02451946258545,30.219974517822266,30.219974517822266,2.32074236869812,0,34.02451946258545,1.9997821307182313,1.2558327913284302
47200,232,200.0,-151.46615895000002,236,203,37000,2.3285784405469894,0.001,33.93678205490112,31.4688720703125,31.4688720703125,1.6280498504638672,0,33.93678205490112,1.9756042647361756,1.958888053894043
48000,237,200.0,-149.60400208,240,202,37800,2.6056943508982657,0.001,32.927715854644774,45.89982223510742,45.89982223510742,2.3803482055664062,0,32.927715854644774,2.097708399295807,6.384961128234863
48800,242,200.0,-147.07104504,244,201,38600,3.134422674924135,0.001,33.020773582458496,31.90694236755371,31.90694236755371,2.3079473972320557,0,33.020773582458496,2.069928082227707,2.665391445159912
49600,247,200.0,-141.27602792,248,200,39400,2.6836265125870704,0.001,32.29441474914551,25.974872589111328,25.974872589111328,2.014528512954712,0,32.29441474914551,1.9912900447845459,1.2221145629882812
50400,251,200.0,-139.0519374,252,200,40200,2.4003374919295313,0.001,31.76298084259033,34.541690826416016,34.541690826416016,2.1302073001861572,0,31.76298084259033,2.1253726434707643,3.8182103633880615
51200,256,200.0,-140.34700445,256,199,41000,2.8487515430152417,0.001,31.59106695175171,29.234310150146484,29.234310150146484,1.8135502338409424,0,31.59106695175171,2.0001978731155394,3.0095396041870117
52000,261,200.0,-136.71759686,260,198,41800,2.566157948821783,0.001,30.8490083694458,27.709617614746094,27.709617614746094,1.947853922843933,0,30.8490083694458,2.0453603398799896,1.1162458658218384
52800,266,200.0,-135.47067581999997,264,197,42600,2.72219237357378,0.001,31.827873592376708,43.64752960205078,43.64752960205078,1.7508983612060547,0,31.827873592376708,2.1529921209812164,1.0769250392913818
53600,271,200.0,-136.08336473000003,268,197,43400,2.2880299854278565,0.001,31.180466537475585,33.38241958618164,33.38241958618164,2.2125582695007324,0,31.180466537475585,2.1694632971286776,2.1439404487609863
54400,276,200.0,-132.22278816999997,272,196,44200,2.1026377348601817,0.001,30.247596015930174,22.871538162231445,22.871538162231445,2.366584062576294,0,30.247596015930174,2.0398397624492643,0.5640863180160522
55200,281,200.0,-130.81359097999996,276,196,45000,2.4559409484267234,0.001,31.26063150405884,21.99711799621582,21.99711799621582,1.825194001197815,0,31.26063150405884,2.052497237920761,2.530284881591797
56000,286,200.0,-131.78249471999996,280,195,45800,1.9785978935658932,0.001,29.702081451416017,21.0926513671875,21.0926513671875,1.8662723302841187,0,29.702081451416017,2.062031316757202,1.829633116722107
56800,291,200.0,-132.76649189,284,194,46600,1.8835320313274861,0.001,29.47876798629761,19.64308738708496,19.64308738708496,1.8764100074768066,0,29.47876798629761,1.9185390675067902,1.0407099723815918
57600,296,200.0,-135.35494105,288,194,47400,2.620923154503107,0.001,29.223122119903564,35.758750915527344,35.758750915527344,1.846638798713684,0,29.223122119903564,1.993721172809601,3.7420573234558105
58400,301,200.0,-130.31519128999997,292,193,48200,2.0993773989379405,0.001,29.878784160614014,25.640872955322266,25.640872955322266,2.1514315605163574,0,29.878784160614014,1.9852064514160157,6.427318572998047
59200,306,200.0,-131.48993142999998,296,193,49000,2.205686895251274,0.001,28.82921697616577,31.233612060546875,31.233612060546875,2.034968137741089,0,28.82921697616577,1.9958970379829406,1.0161068439483643
60000,311,200.0,-132.76080692999997,300,192,49800,1.9650435988605022,0.001,28.278240776062013,32.119136810302734,32.119136810302734,2.1761395931243896,0,28.278240776062013,1.9307104277610778,1.8295427560806274
