train/Beta,train/MSE_losses,time/time_elapsed,train/ent_coef_loss,train/RL_loss,time/total_timesteps,train/ent_coef,train/Main_losses,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,train/MSE_loss,train/loss,train/critic_los,time/episodes,time/fps,train/n_updates,rollout/ep_len_mean
0,2.2801389694213867,207,-0.01290041208267212,19.609886169433594,18400,0.017801545560359955,19.609886169433594,0.001,0.9858531355857849,-178.89006228260868,19.609886169433594,2.2801389694213867,19.609886169433594,0.9858531355857849,92,88,18299,200.0
0,2.2459795475006104,216,-1.6451151371002197,14.47636604309082,19200,0.01621146686375141,14.47636604309082,0.001,0.2662891745567322,-175.10084519791667,14.47636604309082,2.2459795475006104,14.47636604309082,0.2662891745567322,96,88,19099,200.0
0,2.2869796752929688,225,-0.3554989695549011,20.007287979125977,20000,0.014341341331601143,20.007287979125977,0.001,0.23325598239898682,-175.2775538,20.007287979125977,2.2869796752929688,20.007287979125977,0.23325598239898682,100,88,19899,200.0
0,2.100389003753662,234,-0.5497220754623413,13.066909790039062,20800,0.01605726033449173,13.066909790039062,0.001,0.22073134779930115,-154.3348164,13.066909790039062,2.100389003753662,13.066909790039062,0.22073134779930115,104,88,20699,200.0
0,2.15868878364563,243,-0.025989726185798645,20.03900909423828,21600,0.017663365229964256,20.03900909423828,0.001,0.4969242811203003,-147.27449298,20.03900909423828,2.15868878364563,20.03900909423828,0.4969242811203003,108,88,21499,200.0
0,2.53584361076355,252,-1.0974745750427246,15.906111717224121,22400,0.018018728122115135,15.906111717224121,0.001,0.633848249912262,-148.32199041,15.906111717224121,2.53584361076355,15.906111717224121,0.633848249912262,112,88,22299,200.0
0,2.2149877548217773,261,0.17197830975055695,21.744579315185547,23200,0.019932445138692856,21.744579315185547,0.001,0.291973352432251,-147.09283674999998,21.744579315185547,2.2149877548217773,21.744579315185547,0.291973352432251,116,88,23099,200.0
0,2.2055373191833496,270,-0.7165769338607788,16.433683395385742,24000,0.02342252992093563,16.433683395385742,0.001,0.35068273544311523,-146.58113661,16.433683395385742,2.2055373191833496,16.433683395385742,0.35068273544311523,120,88,23899,200.0
0,2.160325050354004,279,2.3685436248779297,20.643329620361328,24800,0.017923012375831604,20.643329620361328,0.001,0.3956736922264099,-145.33819381,20.643329620361328,2.160325050354004,20.643329620361328,0.3956736922264099,124,88,24699,200.0
0,2.1354808807373047,288,-0.050122395157814026,18.527549743652344,25600,0.012865724973380566,18.527549743652344,0.001,0.40014687180519104,-146.6300615,18.527549743652344,2.1354808807373047,18.527549743652344,0.40014687180519104,128,88,25499,200.0
0,1.9417728185653687,297,1.5333698987960815,19.66071319580078,26400,0.013860663399100304,19.66071319580078,0.001,0.6235737800598145,-142.93070149000002,19.66071319580078,1.9417728185653687,19.66071319580078,0.6235737800598145,132,88,26299,200.0
