time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/MSE_loss,train/RL_loss,train/MSE_losses,train/loss,train/Main_losses,train/Beta,train/critic_los,train/critic_loss,train/learning_rate
92,354,51,200.0,-1011.2578957391306,18400,8200,68.46578433990479,2.2258856296539307,73.23936462402344,2.3248914766311644,73.23936462402344,68.46578433990479,0.0,1.0163031816482544,1.1917692238092423,0.001
96,337,56,200.0,-974.2151441562501,19200,9000,68.69284030914307,1.8375818729400635,72.96792602539062,2.1210225260257722,72.96792602539062,68.69284030914307,0.0,1.5339921712875366,1.4445708361268044,0.001
100,324,61,200.0,-941.11766674,20000,9800,71.19101238250732,1.5942133665084839,72.60777282714844,1.983908165693283,72.60777282714844,71.19101238250732,0.0,0.7706083059310913,1.5647942434251307,0.001
104,312,66,200.0,-901.66154997,20800,10600,70.34871253967285,2.335385799407959,66.83816528320312,2.1339933478832247,66.83816528320312,70.34871253967285,0.0,1.4519989490509033,1.9844542306661606,0.001
108,302,71,200.0,-852.00653568,21600,11400,71.05638271331787,2.7380318641662598,62.63534927368164,2.144270602464676,62.63534927368164,71.05638271331787,0.0,1.8763518333435059,2.4403947976231577,0.001
112,293,76,200.0,-808.1797818100001,22400,12200,70.7172537612915,2.9981956481933594,71.68705749511719,3.2945488500595093,71.68705749511719,70.7172537612915,0.0,1.3418484926223755,2.306441022157669,0.001
116,285,81,200.0,-768.11546078,23200,13000,70.10919094085693,1.9872616529464722,71.42658233642578,2.164729381799698,71.42658233642578,70.10919094085693,0.0,1.7137619256973267,2.8125341230630876,0.001
120,278,86,200.0,-728.5692672399999,24000,13800,70.42414951324463,2.1420516967773438,86.27974700927734,1.9957871448993683,86.27974700927734,70.42414951324463,0.0,2.4368386268615723,3.2127787762880327,0.001
124,272,90,200.0,-673.3811422700002,24800,14600,69.59961303710938,2.3750343322753906,55.87803649902344,2.0862708020210268,55.87803649902344,69.59961303710938,0.0,2.272850513458252,3.4179832684993743,0.001
128,267,95,200.0,-625.0928084799999,25600,15400,69.2518472290039,2.1576650142669678,64.63301849365234,1.98748370885849,64.63301849365234,69.2518472290039,0.0,3.8921475410461426,3.3609118181467057,0.001
132,262,100,200.0,-574.75266401,26400,16200,67.34590564727783,1.6599297523498535,71.7125244140625,1.8250084722042084,71.7125244140625,67.34590564727783,0.0,2.840679883956909,3.5078767746686936,0.001
136,257,105,200.0,-528.29009964,27200,17000,66.42033164978028,2.6659579277038574,60.9964599609375,1.9394386553764342,60.9964599609375,66.42033164978028,0.0,6.4938154220581055,3.3782862597703933,0.001
140,253,110,200.0,-488.26401190999997,28000,17800,65.97477771759033,2.3960278034210205,63.83258056640625,2.4529136419296265,63.83258056640625,65.97477771759033,0.0,2.8036484718322754,3.5601312029361725,0.001
144,249,115,200.0,-443.6639847800001,28800,18600,64.40374729156494,1.739166259765625,55.95565414428711,2.354292552471161,55.95565414428711,64.40374729156494,0.0,1.9028793573379517,3.3658295917510985,0.001
148,246,120,200.0,-397.6106265700001,29600,19400,64.6412438583374,1.8692594766616821,59.37662887573242,2.1912198841571806,59.37662887573242,64.6412438583374,0.0,2.3388781547546387,3.33925504386425,0.001
152,243,124,200.0,-348.87060089000005,30400,20200,62.20253036499023,3.3913209438323975,66.87090301513672,3.1324767231941224,66.87090301513672,62.20253036499023,0.0,3.674196720123291,3.394895779490471,0.001
