time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/learning_rate,train/critic_los,train/Beta,train/MSE_loss,train/critic_loss,train/MSE_losses,train/ent_coef,train/Main_losses,train/n_updates,train/actor_loss,train/ent_coef_loss,train/RL_loss
44,29,62.54545454545455,92,2752,62.54545454545455,-13.646369934082031,0.001,0.11247337609529495,0,1.1676502227783203,0.11247337609529495,1.1676502227783203,0.08863748610019684,-13.646369934082031,2651,-13.646369934082031,-2.4754621982574463,-13.646369934082031
48,44,86.0625,91,4131,86.0625,-19.229455947875977,0.001,0.12737470865249634,0,1.1748038530349731,0.12737470865249634,1.1748038530349731,0.02907613478600979,-19.229455947875977,4030,-19.229455947875977,-2.618277072906494,-19.229455947875977
52,54,96.3076923076923,91,5008,96.3076923076923,-21.92661476135254,0.001,1.204745888710022,0,1.2949098348617554,1.204745888710022,1.2949098348617554,0.017248954623937607,-21.92661476135254,4907,-21.92661476135254,-1.0463776588439941,-21.92661476135254
56,69,112.42857142857143,91,6296,112.42857142857143,-26.496883392333984,0.001,0.2862012982368469,0,1.177769422531128,0.2862012982368469,1.177769422531128,0.011056979186832905,-26.496883392333984,6195,-26.496883392333984,-0.4685065746307373,-26.496883392333984
60,80,122.76666666666667,91,7366,122.76666666666667,-28.984928131103516,0.001,0.3824111521244049,0,1.1876238584518433,0.3824111521244049,1.1876238584518433,0.010200383141636848,-28.984928131103516,7265,-28.984928131103516,-0.2121029496192932,-28.984928131103516
64,96,136.875,90,8760,136.875,-33.185848236083984,0.001,0.153825044631958,0,1.2652002573013306,0.153825044631958,1.2652002573013306,0.012314165011048317,-33.185848236083984,8659,-33.185848236083984,0.0072286128997802734,-33.185848236083984
68,111,148.25,90,10081,148.25,-37.46903991699219,0.001,0.13807843625545502,0,1.116394281387329,0.13807843625545502,1.116394281387329,0.012080710381269455,-37.46903991699219,9980,-37.46903991699219,0.014900468289852142,-37.46903991699219
72,131,165.34722222222223,90,11905,165.34722222222223,-41.205806732177734,0.001,0.23529520630836487,0,1.1005396842956543,0.23529520630836487,1.1005396842956543,0.015777071937918663,-41.205806732177734,11804,-41.205806732177734,-0.2063882201910019,-41.205806732177734
76,153,182.96052631578948,90,13905,182.96052631578948,-46.324920654296875,0.001,0.17695936560630798,0,1.208067774772644,0.17695936560630798,1.208067774772644,0.015821775421500206,-46.324920654296875,13804,-46.324920654296875,0.023605849593877792,-46.324920654296875
80,175,198.8125,90,15905,198.8125,-52.3475456237793,0.001,0.10883892327547073,0,1.0581063032150269,0.10883892327547073,1.0581063032150269,0.015486972406506538,-52.3475456237793,15804,-52.3475456237793,-0.04819095879793167,-52.3475456237793
84,197,213.1547619047619,90,17905,213.1547619047619,-55.825408935546875,0.001,1.0297389030456543,0,1.258665919303894,1.0297389030456543,1.258665919303894,0.01285323966294527,-55.825408935546875,17804,-55.825408935546875,-0.10030287504196167,-55.825408935546875
88,219,226.1931818181818,90,19905,226.1931818181818,-60.38666534423828,0.001,0.05790923908352852,0,1.3216912746429443,0.05790923908352852,1.3216912746429443,0.013112779706716537,-60.38666534423828,19804,-60.38666534423828,0.035803794860839844,-60.38666534423828
92,241,238.09782608695653,90,21905,238.09782608695653,-64.01275634765625,0.001,0.1567552387714386,0,1.1478134393692017,0.1567552387714386,1.1478134393692017,0.012659496627748013,-64.01275634765625,21804,-64.01275634765625,0.6286978125572205,-64.01275634765625
96,264,249.01041666666666,90,23905,249.01041666666666,-66.42149353027344,0.001,0.12165659666061401,0,1.185774803161621,0.12165659666061401,1.185774803161621,0.011602846905589104,-66.42149353027344,23804,-66.42149353027344,-0.10622162371873856,-66.42149353027344
100,285,258.19,90,25819,258.19,-68.94868469238281,0.001,0.22713065147399902,0,1.4492990970611572,0.22713065147399902,1.4492990970611572,0.012449509464204311,-68.94868469238281,25718,-68.94868469238281,0.8813786506652832,-68.94868469238281
