time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/MSE_loss,train/critic_los,train/learning_rate,train/RL_loss,train/MSE_losses,train/Main_losses,train/Beta,train/critic_loss,train/actor_loss,train/n_updates,train/loss
21837,56,389.94642857142856,389.94642857142856,162,134,0.24536965787410736,0.12666556239128113,0.001,-36.43730545043945,0.24970007556676865,-33.60036975860596,0.892,0.25141003672778606,-35.82769454956055,21267,-34.24860763549805
23541,60,392.35,392.35,161,145,0.26197096705436707,0.10954312980175018,0.001,-37.92974090576172,0.256614206969738,-35.60818113708496,0.884,0.2844312468022108,-37.87665077209473,22971,-35.61391830444336
25541,64,399.078125,399.078125,161,157,0.2687687277793884,0.17019020020961761,0.001,-41.74041748046875,0.2533961715102196,-38.21614611816406,0.876,0.2476684516593814,-40.43589666748047,24971,-39.38600158691406
27541,68,405.0147058823529,405.0147058823529,161,170,0.2216731607913971,0.36070549488067627,0.001,-43.21631622314453,0.2564388318061829,-41.00046180725098,0.868,0.2764929907023907,-43.226350936889645,26971,-41.29219436645508
29541,72,410.2916666666667,410.2916666666667,161,183,0.27259767055511475,0.19703409075737,0.001,-47.283748626708984,0.2590362542271614,-43.9461593170166,0.86,0.38215300515294076,-46.17387109375,28971,-44.93940734863281
31541,76,415.0131578947368,415.0131578947368,161,195,0.2189379334449768,0.3632281422615051,0.001,-47.71821975708008,0.2666602630019188,-46.469008407592774,0.852,0.46724865329265597,-48.740953994750974,30971,-45.852867126464844
33541,80,419.2625,419.2625,161,208,0.26008322834968567,0.3214293122291565,0.001,-52.87409973144531,0.27569904017448427,-50.02900326538086,0.844,0.6416768869757652,-52.35590301513672,32971,-50.67899703979492
35541,84,423.10714285714283,423.10714285714283,160,220,0.3519791066646576,0.6320408582687378,0.001,-58.95925521850586,0.28406791830062866,-53.5520347442627,0.836,0.7349096971154213,-55.92684246826172,34971,-56.01670837402344
37541,88,426.60227272727275,426.60227272727275,160,233,0.2688913345336914,0.3818577527999878,0.001,-60.38010025024414,0.2672202288508415,-56.73327554321289,0.828,0.6413023824989795,-58.945858947753905,36971,-58.15367889404297
39541,92,429.79347826086956,429.79347826086956,160,246,0.20557303726673126,0.27172207832336426,0.001,-61.630252838134766,0.26562536185979846,-59.175958709716795,0.82,0.4797640813887119,-61.354086639404294,38971,-59.94455337524414
41541,96,432.71875,432.71875,160,258,0.25244879722595215,0.9187729358673096,0.001,-62.390869140625,0.28112153166532516,-62.458516983032226,0.812,0.9701945895552635,-64.74122366333008,40971,-60.34098434448242
42999,100,429.99,429.99,160,268,0.2447417825460434,0.36916348338127136,0.001,-65.56808471679688,0.2587928507280977,-63.3561742682206,0.804,0.3929951936980478,-65.43686896876285,42429,-63.60036087036133
44969,104,449.26,449.26,160,280,0.2542099952697754,0.7090291976928711,0.001,-68.6671142578125,0.2687270959019661,-64.59790036010742,0.796,0.608717190772295,-66.73696823120117,44399,-66.64360046386719
46956,108,468.01,468.01,160,293,0.2065020650625229,0.8041694164276123,0.001,-70.28961944580078,0.27901374763250353,-67.96399015808106,0.788,0.91684671241045,-70.1626185913086,46386,-68.66238403320312
