time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/Beta,train/Main_losses,train/MSE_loss,train/critic_loss,train/MSE_losses,train/learning_rate,train/actor_loss,train/loss,train/critic_los,train/n_updates,train/RL_loss
189,88,514.8068181818181,-54.28455151136363,238,45303,0.828,7.187020847797394,5.918693542480469,0.5256647996837274,5.436930229812861,0.001,2.685242569032125,6.699059009552002,0.6036068797111511,34964,1.798380970954895
182,92,535.3152173913044,-45.01875973913043,269,49249,0.82,5.97155026698711,3.0077171325683594,0.49075991266525276,5.370926024857259,0.001,1.5673909643439676,1.8126018047332764,0.1412677764892578,39626,-0.65372633934021
181,96,564.625,-30.302993291666663,299,54204,0.812,4.704892411460111,3.253473997116089,0.4535236304717851,4.994607536605111,0.001,0.6492711987425144,0.48845505714416504,0.19081228971481323,44055,-2.1533658504486084
177,100,589.94,-16.78370347,331,58994,0.804,3.2877764767399746,3.5394694805145264,0.3764421925994577,4.948835591072629,0.001,-0.6910874293106251,3.1817259788513184,0.3873172998428345,48971,0.3359924256801605
174,104,625.93,-2.203086499999996,361,63028,0.796,2.2753895192198414,2.682786464691162,0.3935847273995533,4.947890032401719,0.001,-1.6631309666920229,4.057888984680176,0.06795923411846161,53507,1.9223910570144653
173,108,638.22,14.276902380000001,389,67630,0.788,1.3301544344117682,3.502352237701416,0.4069611114451212,4.89720721246621,0.001,-2.528844793038499,-1.0333101749420166,0.07845352590084076,57726,-3.793163776397705
172,112,655.84,27.889710920000002,413,71234,0.78,0.5112438804032852,2.9999961853027344,0.4184762785515311,4.890940084141128,0.001,-3.3036892420175126,0.04091477394104004,0.2807837724685669,61229,-2.2990822792053223
169,116,633.84,34.79330484,435,73885,0.772,0.19194446392521458,12.14206314086914,0.5111631864909292,5.128644471651657,0.001,-3.767369139168231,5.055271148681641,0.9580485820770264,64629,-4.318401336669922
168,120,611.78,39.956155349999996,456,76910,0.764,-0.5130465626716614,9.155983924865723,0.6101151524784164,5.208882715702057,0.001,-4.4926329440871875,2.615861415863037,0.5045391321182251,67807,-4.379310131072998
169,124,648.78,56.288794450000005,479,81131,0.756,-1.4139570724673387,1.3353878259658813,0.4913259214078876,4.629140909460651,0.001,-4.913587525458989,-5.977216720581055,0.10195819288492203,71136,-6.986769676208496
168,128,670.48,69.73542806999998,506,85272,0.748,-1.8886669522566761,5.782624244689941,0.522933259002804,4.934546212712638,0.001,-5.579707646755863,-0.16185235977172852,0.337594598531723,75286,-4.487255573272705
