rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/critic_los,train/critic_loss,train/learning_rate,train/MSE_losses,train/Main_losses,train/n_updates,train/MSE_loss,train/actor_loss,train/Beta,train/RL_loss
7.232142857142857,56,2,191,405,7.232142857142857,-1.5705852508544922,0.008434276096522808,0.01770099609469374,0.001,1.5445722738901775,-1.6144415140151978,307,1.683345913887024,-1.6144415140151978,0.0,-1.5705852508544922
7.15,60,2,188,429,7.15,-1.7655682563781738,0.05301378667354584,0.03209094516932964,0.001,1.518241047859192,-1.6777012348175049,331,1.5123246908187866,-1.6777012348175049,0.0,-1.7655682563781738
7.0625,64,2,185,452,7.0625,-1.7218483686447144,0.00831523910164833,0.014751188922673464,0.001,1.4662107229232788,-1.7228762308756511,355,1.4431493282318115,-1.7228762308756511,0.0,-1.7218483686447144
7.0,68,2,183,476,7.0,-1.7841143608093262,0.02536214143037796,0.01574943804492553,0.001,1.5047122637430828,-1.7429100275039673,378,1.470736026763916,-1.7429100275039673,0.0,-1.7841143608093262
6.944444444444445,72,2,181,500,6.944444444444445,-1.7974581718444824,0.009545840322971344,0.012046814740945896,0.001,1.4670221010843914,-1.795435110727946,402,1.5023534297943115,-1.795435110727946,0.0,-1.7974581718444824
6.894736842105263,76,2,179,524,6.894736842105263,-1.867814540863037,0.019257105886936188,0.016927745658904314,0.001,1.4649662971496582,-1.8465060393015544,426,1.5516440868377686,-1.8465060393015544,0.0,-1.867814540863037
6.825,80,3,177,546,6.825,-1.875167965888977,0.016999026760458946,0.01709252391010523,0.001,1.517077088356018,-1.8498789072036743,449,1.551085114479065,-1.8498789072036743,0.0,-1.875167965888977
6.773809523809524,84,3,176,569,6.773809523809524,-1.882750153541565,0.028795305639505386,0.018173409936328728,0.001,1.5830823977788289,-1.8349735736846924,472,1.5295295715332031,-1.8349735736846924,0.0,-1.882750153541565
6.715909090909091,88,3,174,591,6.715909090909091,-1.8894721269607544,0.01605364680290222,0.02063149803628524,0.001,1.5600613753000896,-1.8978323936462402,494,1.6177705526351929,-1.8978323936462402,0.0,-1.8894721269607544
6.684782608695652,92,3,174,615,6.684782608695652,-1.9323062896728516,0.019243795424699783,0.026251294029255707,0.001,1.5527387460072835,-1.9272948106129963,517,1.6623598337173462,-1.9272948106129963,0.0,-1.9323062896728516
6.625,96,3,172,636,6.625,-1.9847283363342285,0.039435211569070816,0.025735240522772075,0.001,1.5693426132202148,-1.9695000648498535,539,1.6233341693878174,-1.9695000648498535,0.0,-1.9847283363342285
6.6,100,3,171,660,6.6,-1.949455976486206,0.031609464436769485,0.02697866316884756,0.001,1.5520220597585042,-2.0050158500671387,562,1.555012822151184,-2.0050158500671387,0.0,-1.949455976486206
5.92,104,4,170,684,5.92,-2.01637601852417,0.036031562834978104,0.03367456669608752,0.001,1.6053938070933025,-2.0168282190958657,586,1.6349809169769287,-2.0168282190958657,0.0,-2.01637601852417
5.84,108,4,170,708,5.84,-2.079118013381958,0.02692290022969246,0.020608280785381794,0.001,1.5893413225809734,-2.0535106658935547,610,1.602034568786621,-2.0535106658935547,0.0,-2.079118013381958
5.83,112,4,169,731,5.83,-2.0799834728240967,0.02707965299487114,0.017985142456988495,0.001,1.5469214518864949,-2.119600216547648,633,1.539366364479065,-2.119600216547648,0.0,-2.0799834728240967
5.82,116,4,168,753,5.82,-2.255113363265991,0.02486204355955124,0.028837366340061028,0.001,1.5571383237838745,-2.127086877822876,656,1.4804638624191284,-2.127086877822876,0.0,-2.255113363265991
5.81,120,4,167,776,5.81,-2.2896249294281006,0.015147635713219643,0.02786326625694831,0.001,1.5028863747914631,-2.2314576307932534,678,1.4162664413452148,-2.2314576307932534,0.0,-2.2896249294281006
