time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/Beta,train/RL_loss,train/MSE_losses,train/loss,train/critic_loss,train/n_updates,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/learning_rate
158,317.48333333333335,60,120,19049,317.48333333333335,0.884,-31.659244537353516,0.2752266688234854,-29.463947296142578,1.6142623904176834,18786,-29.341425326046526,1.0208473205566406,-31.774429206080086,0.24833667278289795,0.001
157,309.96875,64,125,19838,309.96875,0.876,-32.859737396240234,0.26269515412482053,-30.894733428955078,1.6241165068189976,19600,-30.170221599372656,1.435459852218628,-32.471431242453086,0.22431547939777374,0.001
158,303.0735294117647,68,130,20609,303.0735294117647,0.868,-34.479854583740234,0.26526918329975824,-32.5639762878418,1.7672303621539005,20318,-30.688399825433287,0.9628753662109375,-32.99093643342606,0.2207232564687729,0.001
158,295.15277777777777,72,134,21251,295.15277777777777,0.86,-33.95888137817383,0.2691707675655683,-31.961746215820312,2.2708162950144875,20961,-31.38740651872423,1.8399231433868408,-33.70227527618408,0.23222507536411285,0.001
158,293.9342105263158,76,140,22339,293.9342105263158,0.852,-35.98369216918945,0.26635349252499824,-32.89252471923828,1.8672587132058203,21920,-32.47203183765254,7.381762981414795,-34.74136363573311,0.362813264131546,0.001
159,303.65,80,152,24292,303.65,0.844,-35.43947219848633,0.26815045155617634,-32.91944122314453,1.5841038715234128,23696,-33.96433898320807,1.4614508152008057,-36.22752862669823,0.2985817492008209,0.001
159,310.7142857142857,84,163,26100,310.7142857142857,0.836,-40.13528823852539,0.26208165043218123,-37.9877815246582,1.4533267165500372,25504,-36.49522716872358,1.378138780593872,-38.686229724239034,0.25687867403030396,0.001
159,319.28409090909093,88,176,28097,319.28409090909093,0.828,-39.389034271240234,0.2634477823972702,-36.99178695678711,1.371134568452835,27501,-38.96067858886719,2.0105159282684326,-41.14202615356445,0.2895226776599884,0.001
159,327.14130434782606,92,189,30097,327.14130434782606,0.82,-43.61772537231445,0.2622182658314705,-41.19355392456055,1.2768827504515647,29501,-41.30427296447754,0.45729291439056396,-43.454462722778324,0.2956306040287018,0.001
158,334.34375,96,201,32097,334.34375,0.812,-44.1256103515625,0.26315433079004286,-41.217185974121094,1.24977204310894,31501,-43.80171980285645,0.6599398851394653,-45.93853300476074,0.3581801950931549,0.001
158,340.97,100,214,34097,340.97,0.804,-48.95425033569336,0.2577314143180847,-46.7081298828125,1.142915487408638,33501,-46.23677210998535,0.6956307888031006,-48.3089326171875,0.2793680429458618,0.001
158,360.24,104,227,36097,360.24,0.796,-49.705604553222656,0.25866642558574676,-47.99673080444336,1.3008439114093782,35501,-48.416710678100586,0.5862341523170471,-50.47569541931152,0.21468250453472137,0.001
158,378.6,108,240,38097,378.6,0.788,-53.59706497192383,0.25747938972711565,-51.46432113647461,0.9431372709274292,37501,-50.47354902648926,0.6735877990722656,-52.50248664855957,0.27065277099609375,0.001
158,391.37,112,252,40097,391.37,0.78,-55.50809097290039,0.2684611766934395,-53.67718505859375,1.1763595489263534,39501,-52.198610900878904,0.7815604209899902,-54.29260816955566,0.23473140597343445,0.001
158,393.35,116,265,42083,393.35,0.772,-58.16922378540039,0.26964326721429827,-56.360191345214844,1.1711460036039352,41487,-53.62463891601563,0.5710458755493164,-55.70628482055664,0.23433054983615875,0.001
158,395.27,120,278,44077,395.27,0.764,-57.72565460205078,0.266911685526371,-56.074737548828125,1.0410757670402526,43481,-54.95260432434082,1.0573396682739258,-56.99180953979492,0.21608887612819672,0.001
