time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/critic_los,train/MSE_loss,train/learning_rate,train/n_updates,train/loss,train/Beta,train/RL_loss,train/actor_loss,train/Main_losses,train/critic_loss,train/MSE_losses
196,217,200.0,-141.95173467,179,39200,5.651508331298828,2.283458948135376,0.001,29000,50.49791717529297,0.0,50.49791717529297,52.20421497344971,52.20421497344971,3.529946179986,3.1527621078491213
200,216,200.0,-145.10281969,184,40000,2.6999125480651855,2.9419920444488525,0.001,29800,49.11531066894531,0.0,49.11531066894531,53.075243339538574,53.075243339538574,2.962340418994427,3.163155131340027
204,215,200.0,-145.14400249,189,40800,2.7858474254608154,2.736274242401123,0.001,30600,56.51076889038086,0.0,56.51076889038086,51.10387706756592,51.10387706756592,2.583610188663006,2.897524893283844
208,213,200.0,-148.76870597999996,194,41600,2.9323248863220215,3.101447582244873,0.001,31400,48.66268539428711,0.0,48.66268539428711,49.62915748596191,49.62915748596191,3.0299928984045983,2.9269144177436828
212,212,200.0,-148.83126726999998,199,42400,2.723696708679199,3.571150541305542,0.001,32200,63.025028228759766,0.0,63.025028228759766,48.56112115859985,48.56112115859985,3.048113199174404,2.9318436312675478
216,211,200.0,-145.95352031000002,204,43200,1.495457410812378,3.2880473136901855,0.001,33000,43.214813232421875,0.0,43.214813232421875,47.80553230285645,47.80553230285645,2.7852744388580324,2.8769558835029603
220,210,200.0,-147.10883041000002,209,44000,6.752686500549316,2.6773369312286377,0.001,33800,38.86436080932617,0.0,38.86436080932617,48.726894283294676,48.726894283294676,2.5159023705124857,2.8039299559593203
224,209,200.0,-147.02609015,214,44800,2.993168830871582,2.848210334777832,0.001,34600,42.31796646118164,0.0,42.31796646118164,46.88178310394287,46.88178310394287,2.680639401078224,2.8034815335273744
228,208,200.0,-151.56300846,219,45600,1.6783077716827393,2.1901986598968506,0.001,35400,47.10357666015625,0.0,47.10357666015625,48.007275886535645,48.007275886535645,3.0752641475200653,2.3165767884254453
232,207,200.0,-151.51983778,224,46400,1.8303217887878418,2.537731170654297,0.001,36200,47.21700668334961,0.0,47.21700668334961,46.60712427139282,46.60712427139282,2.7066243040561675,2.289541167020798
236,206,200.0,-154.90903399,228,47200,1.5197772979736328,1.8889816999435425,0.001,37000,45.15336990356445,0.0,45.15336990356445,44.819169178009034,44.819169178009034,2.8173177817463877,2.0865435791015625
240,205,200.0,-154.5729919,233,48000,1.0762463808059692,1.8142809867858887,0.001,37800,37.02858352661133,0.0,37.02858352661133,45.00237936019897,45.00237936019897,3.094845022559166,2.0331044006347656
244,204,200.0,-154.52237354000002,238,48800,1.3239024877548218,1.8624002933502197,0.001,38600,39.77414321899414,0.0,39.77414321899414,44.373881320953366,44.373881320953366,2.36791116848588,2.237874598503113
248,203,200.0,-151.12018933000002,243,49600,2.835345506668091,2.184018850326538,0.001,39400,36.65340805053711,0.0,36.65340805053711,44.73057636260987,44.73057636260987,2.9291947966814043,2.2896120822429658
252,202,200.0,-153.23503139000002,248,50400,4.848081588745117,2.7406702041625977,0.001,40200,45.27090072631836,0.0,45.27090072631836,42.992881507873534,42.992881507873534,2.5084572610259057,2.419524267911911
256,201,200.0,-153.69852093,253,51200,1.217010736465454,2.5898404121398926,0.001,41000,35.858299255371094,0.0,35.858299255371094,42.83948640823364,42.83948640823364,2.605800878405571,2.447812410593033
260,201,200.0,-155.08150128,258,52000,6.025608062744141,2.6172685623168945,0.001,41800,44.51118469238281,0.0,44.51118469238281,43.234774322509764,43.234774322509764,2.914783351570368,2.039883157014847
264,200,200.0,-156.17785231000002,263,52800,1.0209472179412842,2.002110242843628,0.001,42600,42.92363739013672,0.0,42.92363739013672,42.85847406387329,42.85847406387329,2.3980550131201746,1.752530139684677
268,199,200.0,-152.81468059,268,53600,7.6933417320251465,1.6830517053604126,0.001,43400,41.79257583618164,0.0,41.79257583618164,42.034139461517334,42.034139461517334,2.6014686664938926,1.8013997185230255
272,199,200.0,-156.28050607999998,273,54400,7.129677772521973,2.003438711166382,0.001,44200,43.36039352416992,0.0,43.36039352416992,41.82325309753418,41.82325309753418,2.9570159693062306,1.7040853106975555
276,198,200.0,-158.73166815000002,278,55200,2.9553256034851074,1.9326772689819336,0.001,45000,39.51409912109375,0.0,39.51409912109375,42.41561189651489,42.41561189651489,3.09273392111063,1.920750299692154
280,197,200.0,-161.92286571,282,56000,1.1676205396652222,2.4106199741363525,0.001,45800,38.294158935546875,0.0,38.294158935546875,40.41853633880615,40.41853633880615,2.7142932894825935,1.9254781627655029
284,197,200.0,-160.58927734,287,56800,0.6774011254310608,2.723979949951172,0.001,46600,34.598262786865234,0.0,34.598262786865234,39.14459995269775,39.14459995269775,2.2033465200662614,2.300851458311081
288,196,200.0,-160.34141287,292,57600,0.8250349760055542,2.875216007232666,0.001,47400,32.89614486694336,0.0,32.89614486694336,39.798154258728026,39.798154258728026,2.032340627461672,2.4305326247215273
292,196,200.0,-160.21508286999997,297,58400,0.7525147199630737,1.4299126863479614,0.001,48200,36.43537521362305,0.0,36.43537521362305,39.945769462585446,39.945769462585446,2.5995786756277086,1.962928795814514
296,195,200.0,-158.86504991,302,59200,0.37870490550994873,1.638584852218628,0.001,49000,29.79465675354004,0.0,29.79465675354004,40.111379375457766,40.111379375457766,2.478851288482547,1.7554694032669067
300,195,200.0,-157.35645623,307,60000,1.0229099988937378,1.6357405185699463,0.001,49800,40.24856185913086,0.0,40.24856185913086,37.292677898406986,37.292677898406986,2.0998878924548627,1.7078756618499755
