time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/Beta,train/critic_los,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/loss
198721,232,1247,956.55,159,283.5691773200001,0.54,0.1629745364189148,-10.644340517354566,0.001,188616,0.6700042753285447,2.7053630352020264,4.612560472169588,-8.15355777851371,-9.87456226348877,-8.413665771484375
202506,236,1272,950.1,159,283.82515151,0.532,0.2758699655532837,-10.990249187715593,0.001,192459,0.7174435984236118,4.308195114135742,4.6240926442607755,-8.530231891139861,-10.382892608642578,-8.090932846069336
205314,240,1291,941.65,159,281.86808065,0.524,0.14051249623298645,-11.399216585689121,0.001,195301,0.6488706086823478,7.491790771484375,4.367823762198289,-9.110476967361238,-12.381970405578613,-8.45627212524414
207483,244,1307,918.84,158,273.46235229999996,0.516,0.13281625509262085,-11.815344251263204,0.001,197866,0.748227609731062,1.0961973667144775,4.213129882881154,-9.64136934155569,-11.940048217773438,-11.374410629272461
210195,248,1325,902.71,158,267.64883505,0.508,0.2492675930261612,-12.048260871101828,0.001,200554,0.8028354538148259,1.0046976804733276,4.1432422072070985,-9.943493763939673,-11.183266639709473,-10.672880172729492
213558,252,1346,895.55,158,267.26882382,0.5,0.8597533702850342,-12.430569499107584,0.001,203794,0.8257556280852613,4.364706993103027,4.256840473999538,-10.302149240940684,-10.051640510559082,-7.869287014007568
217301,256,1369,889.16,158,267.51483508,0.492,0.2441612333059311,-12.647393572354753,0.001,207196,0.8703020162303797,2.236772298812866,4.493836700127226,-10.436425859719332,-12.585820198059082,-11.485328674316406
221120,260,1394,885.07,158,267.67694290000003,0.484,0.2575400471687317,-12.903807462827125,0.001,211036,0.9896458692698166,2.858804225921631,4.049411704564335,-10.943892244859175,-13.488957405090332,-12.10529613494873
224952,264,1419,879.83,158,268.3424543,0.476,0.10717660188674927,-12.964065062742103,0.001,214833,1.0510603202459328,2.527492046356201,4.336619374501447,-10.899834191635222,-13.531869888305664,-12.328783988952637
228592,268,1443,881.18,158,271.9842093,0.468,5.991503715515137,-13.101953128756266,0.001,218505,0.8400287785328151,4.596191883087158,4.132911664717046,-11.16775047752998,-14.502702713012695,-12.3516845703125
231502,272,1462,872.36,158,268.03803779000003,0.46,9.821556091308594,-13.163379625342358,0.001,221366,1.0540634910925963,0.5837206244468689,4.122664062456153,-11.266954142471839,-13.251396179199219,-12.982884407043457
235130,276,1486,878.85,158,271.53566967000006,0.452,0.34137675166130066,-13.24281093548401,0.001,225058,0.8903493893922717,4.303537845611572,4.398462035862741,-11.254706129527449,-14.429670333862305,-12.484471321105957
238320,280,1507,872.59,158,268.24792090000005,0.444,5.348564147949219,-13.508000508206816,0.001,228225,0.9286776444591952,1.973405361175537,4.097441739745157,-11.688736345350128,-13.636872291564941,-12.760680198669434
239553,284,1520,843.92,157,255.95211319,0.436,0.28868889808654785,-13.927215281399814,0.001,230255,0.8248673225711057,14.926074981689453,4.139939776333896,-12.122201607444069,-13.863080978393555,-7.355312347412109
239992,288,1523,825.82,157,248.33216887000003,0.428,0.841578483581543,-13.883118329224763,0.001,230684,1.1043137122537487,5.431843280792236,4.0926779177453785,-12.131452207212094,-13.935375213623047,-11.610546112060547
240355,292,1525,794.39,157,233.89742393,0.42,0.5979558229446411,-14.029873049536416,0.001,231093,1.1440626031708443,7.100578308105469,5.480546897233919,-11.728043367696364,-12.941508293151855,-9.95926570892334
240609,296,1527,756.83,157,218.10033732,0.412,0.4752644896507263,-14.114578167597452,0.001,231347,1.3348196489470345,3.5365583896636963,4.675749613593022,-12.188169439633688,-15.791997909545898,-14.334936141967773
241000,300,1530,718.16,157,200.84409460999998,0.404,0.8583104014396667,-14.579320867856344,0.001,231742,1.6634792226771409,0.8380407691001892,4.136578257506092,-12.908143212397894,-15.68528938293457,-15.346720695495605
241391,304,1532,684.29,157,183.61485035999993,0.396,3.502284049987793,-14.6712911353921,0.001,232110,1.5801772064757797,3.4154891967773438,4.193939387798309,-13.01049110124696,-13.581324577331543,-12.228791236877441
241713,308,1534,649.3,157,166.62526065999998,0.388,1.0549012422561646,-15.116573359515217,0.001,232446,1.6656897289527428,5.121989727020264,4.607212967163807,-13.328974646490973,-14.890780448913574,-12.903448104858398
242072,312,1537,621.17,157,153.35496424,0.38,0.8923842310905457,-15.84215549800707,0.001,232819,2.606020227074623,1.6102906465530396,5.12313261239425,-13.895365155261496,-15.584749221801758,-14.972838401794434
242611,316,1539,592.66,157,138.55510536999998,0.372,2.5514519214630127,-16.878164189202444,0.001,233138,2.271703735264865,7.957763671875,6.0505015168871195,-14.627377680369786,-16.76337432861328,-13.803086280822754
244514,320,1544,570.41,158,121.48109811,0.364,2.378549098968506,-20.83823235829671,0.001,233722,2.964718205828062,6.337330341339111,5.026291029320823,-19.008662356270683,-20.711040496826172,-18.404253005981445
250914,324,1586,596.35,158,109.30182888999998,0.356,2.3460795879364014,-23.387365899086,0.001,240122,2.6043648429587485,4.3152594566345215,4.559078858569264,-21.764333775043486,-21.54328155517578,-20.007049560546875
257298,328,1628,622.66,157,103.58089956999999,0.348,0.8904650211334229,-21.830158660411836,0.001,246506,2.0470142247062175,1.4585540294647217,4.586881086155772,-20.233924075365067,-21.692054748535156,-21.184478759765625
263657,332,1670,649.36,157,99.62896835,0.34,0.505085289478302,-19.607104738906802,0.001,252881,1.529994441124182,3.3794336318969727,4.462063768502263,-18.090003036634744,-18.753509521484375,-17.604501724243164
268146,336,1704,656.4,157,99.16016629000002,0.332,8.288593292236328,-18.253426877945817,0.001,257991,1.3426092297533634,2.5830349922180176,4.438164111246099,-16.77995646514629,-18.021940231323242,-17.16437339782715
272044,340,1729,667.3,157,103.48235695,0.324,0.2696142792701721,-17.53710813046383,0.001,261857,1.2701926104476513,8.259940147399902,4.417167539682494,-16.105945858629266,-17.742639541625977,-15.066418647766113
275335,344,1751,678.52,157,108.91499709,0.316,6.814579963684082,-16.92906987963624,0.001,265174,1.2112434198940867,7.087051868438721,4.032950575078898,-15.654657468273864,-17.83284568786621,-15.593337059020996
279088,348,1776,688.93,157,113.37206698,0.308,0.08108650147914886,-16.316879303857622,0.001,268948,1.168286967355712,2.6376588344573975,4.332759797511768,-14.982389297014402,-17.508325576782227,-16.695926666259766
282900,352,1801,693.42,157,115.40857198000002,0.3,0.1208605095744133,-15.873881669914198,0.001,272752,0.9890869687774084,4.029397010803223,4.278717449875997,-14.590266383668911,-17.02748680114746,-15.8186674118042
286494,356,1825,691.93,156,115.39398717,0.292,0.5590597987174988,-15.609814945357797,0.001,276428,1.1081634573220338,2.88663649559021,4.379440306147118,-14.331018385865763,-16.347997665405273,-15.50510025024414
290177,360,1849,690.57,156,115.33703978000001,0.284,0.49901413917541504,-15.385352031129305,0.001,280025,1.0974579792099879,8.864068031311035,4.278658515300418,-14.170212987993585,-13.906928062438965,-11.389532089233398
294327,364,1877,693.75,156,110.41372762999998,0.276,0.12503398954868317,-15.215959733621233,0.001,284243,0.9176706611528734,3.7435100078582764,4.150514938583264,-14.070417638458958,-14.35738468170166,-13.324175834655762
297699,368,1899,691.07,156,110.34700467,0.268,0.6788160800933838,-15.001861339290393,0.001,287658,0.967398745769031,5.20991325378418,4.3096228582810046,-13.846882378129655,-15.013175964355469,-13.61691951751709
300192,372,1919,686.9,156,108.55066553,0.26,1.0311232805252075,-14.861874171348163,0.001,290754,1.0407237849634636,0.9235714673995972,4.50009589553713,-13.691849263953719,-14.64489459991455,-14.404766082763672
303311,376,1936,681.81,156,106.16688590000001,0.252,0.38610219955444336,-14.847920398963126,0.001,293252,1.133467655751462,4.62401819229126,4.286610887827058,-13.767694445032822,-15.327553749084473,-14.162301063537598
306741,380,1958,684.21,156,109.61376984,0.244,0.39559611678123474,-14.868298972736705,0.001,296701,1.1014918446304038,2.5957090854644775,4.236559699001638,-13.834578412229364,-14.702231407165527,-14.068878173828125
310217,384,1981,706.64,156,122.03373264000001,0.236,3.7912983894348145,-14.909673108855422,0.001,300155,1.0387220931155154,7.762085914611816,4.307595554609587,-13.893080540986736,-15.434243202209473,-13.602391242980957
310619,388,1988,706.27,156,121.10446979,0.228,0.14353302121162415,-14.851522648334504,0.001,301349,0.9572401271658655,1.4498653411865234,4.475418895483017,-13.831127154827119,-15.077665328979492,-14.747096061706543
310931,392,1990,705.76,156,121.30041926000001,0.22,0.4064536690711975,-14.754594780149914,0.001,301661,1.1219514169331108,8.640350341796875,4.368277741330011,-13.793573720114571,-15.18567943572998,-13.284802436828613
311177,396,1992,705.68,156,121.50180445,0.212,0.2884777784347534,-14.882221102714539,0.001,301886,1.006672939729123,2.6242828369140625,4.286908682435751,-13.97339642047882,-13.961918830871582,-13.405570983886719
313105,400,2005,721.05,156,130.18023953000002,0.204,0.14321725070476532,-14.741835713386536,0.001,303862,1.1068426237968183,8.023050308227539,4.507174799659035,-13.822372085397893,-15.963476181030273,-14.326773643493652
315004,404,2017,736.13,156,129.92200710999998,0.196,0.45647144317626953,-14.41368218125968,0.001,305675,0.9907043990442308,1.9410314559936523,5.126531222770954,-13.408882141113281,-14.616555213928223,-14.236112594604492
319030,408,2038,773.17,156,134.51437696999997,0.188,0.7473574876785278,-14.408907800912857,0.001,308713,1.4538216915469067,4.79931640625,4.313779927503604,-13.597917187672396,-13.75185489654541,-12.849583625793457
322287,412,2061,802.15,156,149.96418781,0.18,0.09436299651861191,-14.261087807742031,0.001,312295,1.2124548615772668,0.8376926183700562,4.48101840431642,-13.454504463407728,-13.532411575317383,-13.381627082824707
325197,416,2080,825.86,156,164.62372528,0.172,1.8680462837219238,-14.065204739570618,0.001,315209,1.3536574270421018,2.599832773208618,4.580648929377397,-13.277333116531372,-14.555900573730469,-14.108729362487793
328413,420,2101,838.99,156,181.90062195,0.164,0.7108919620513916,-14.113979252682457,0.001,318368,1.0660070205791088,5.085388660430908,4.5012040939512135,-13.375781771502917,-14.077704429626465,-13.243700981140137
331230,424,2120,803.16,156,191.29444399999997,0.156,0.2008867859840393,-14.145459633839282,0.001,321257,1.268113554071022,3.6226136684417725,4.232901686656324,-13.485126966162573,-13.255590438842773,-12.690463066101074
334460,428,2141,771.62,156,197.05550004999998,0.148,0.6099339723587036,-14.132299034316818,0.001,324470,1.3529069260130933,9.953182220458984,4.341747827808578,-13.489720327203925,-11.310683250427246,-9.83761215209961
336494,432,2154,728.37,156,193.74013978999994,0.14,1.3643627166748047,-14.276796475896296,0.001,326479,1.2131064084703933,1.9023593664169312,4.558113438903161,-13.638660556865188,-14.816149711608887,-14.549818992614746
339750,436,2176,716.04,156,194.25672894999997,0.132,0.38370421528816223,-14.265591773705635,0.001,329770,1.318277445074894,4.710312366485596,4.618121580497639,-13.655999727272578,-14.256720542907715,-13.63495922088623
341563,440,2188,695.19,156,185.62261166999997,0.124,5.481255531311035,-14.372710603934069,0.001,331665,1.676960139320447,2.1025502681732178,4.330614606348368,-13.83571445941925,-15.897653579711914,-15.636937141418457
