rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/loss,train/actor_loss,train/MSE_losses,train/MSE_loss,train/n_updates,train/critic_los,train/critic_loss,train/Main_losses,train/RL_loss,train/Beta,train/learning_rate
200.0,-136.1139264,211,208,220,44000,31.95069694519043,32.653661231994626,2.2936724257469177,2.294898271560669,33800,3.507690906524658,3.439179482460022,32.653661231994626,31.95069694519043,0,0.001
200.0,-139.92910505,216,207,224,44800,32.00282287597656,31.713456134796143,2.2640376698970797,2.0069546699523926,34600,1.495727777481079,3.2241872358322143,31.713456134796143,32.00282287597656,0,0.001
200.0,-139.89428803,221,206,228,45600,36.01397705078125,32.736735324859616,2.2920185220241547,2.443448543548584,35400,3.7623815536499023,3.4597990491986277,32.736735324859616,36.01397705078125,0,0.001
200.0,-142.56471151000002,226,205,232,46400,31.262508392333984,31.67162271499634,2.1012010765075684,2.000774621963501,36200,3.256920337677002,3.4963949313759803,31.67162271499634,31.262508392333984,0,0.001
200.0,-146.04905503,230,204,236,47200,31.198970794677734,30.93324100494385,2.147527327537537,2.199369192123413,37000,6.060364723205566,3.708863884806633,30.93324100494385,31.198970794677734,0,0.001
200.0,-148.45391705,235,203,240,48000,27.892229080200195,31.494678592681886,2.1034799313545225,2.0212624073028564,37800,2.2203831672668457,2.55993828445673,31.494678592681886,27.892229080200195,0,0.001
200.0,-148.59761354,240,202,244,48800,36.070343017578125,30.830152206420898,2.1595052886009216,2.306424617767334,38600,1.6856590509414673,2.2828140330314635,30.830152206420898,36.070343017578125,0,0.001
200.0,-151.18870306,245,202,248,49600,41.36680603027344,30.2995813369751,2.163810921907425,2.070919990539551,39400,3.546928644180298,2.433897375166416,30.2995813369751,41.36680603027344,0,0.001
200.0,-148.53354521000003,250,201,252,50400,23.30128288269043,30.117337226867676,2.192597966194153,2.011179208755493,40200,2.095216989517212,2.6076761320233346,30.117337226867676,23.30128288269043,0,0.001
200.0,-149.07427917,255,200,256,51200,29.723649978637695,30.950715007781984,2.2704671418666837,2.3505778312683105,41000,6.888247489929199,3.2959186799824236,30.950715007781984,29.723649978637695,0,0.001
200.0,-149.66692695,259,200,260,52000,27.573287963867188,29.516170978546143,2.282080886363983,2.098444700241089,41800,1.1549906730651855,2.49529881387949,29.516170978546143,27.573287963867188,0,0.001
200.0,-145.33676918,264,199,264,52800,28.10556411743164,29.57714111328125,2.4896737265586855,2.626025915145874,42600,3.8135974407196045,2.9448633120954035,29.57714111328125,28.10556411743164,0,0.001
200.0,-144.3398939,269,198,268,53600,27.09717559814453,29.39317970275879,2.4348390078544617,2.0835564136505127,43400,4.731563091278076,3.1041947285830975,29.39317970275879,27.09717559814453,0,0.001
200.0,-142.99517736,274,198,272,54400,21.51544952392578,28.37578628540039,2.671370439529419,2.9341399669647217,44200,0.7481153607368469,2.890903307199478,28.37578628540039,21.51544952392578,0,0.001
200.0,-145.45699711,279,197,276,55200,25.174091339111328,28.7255002784729,2.504080675840378,2.156101703643799,45000,0.9208304286003113,3.8792062488198282,28.7255002784729,25.174091339111328,0,0.001
200.0,-145.25063669,284,197,280,56000,20.81802749633789,28.21060510635376,2.452993724346161,2.351170539855957,45800,2.384467840194702,2.431087678968906,28.21060510635376,20.81802749633789,0,0.001
200.0,-147.83841076000002,288,196,284,56800,31.839033126831055,29.021160163879394,2.2079022836685183,2.645982265472412,46600,1.76143217086792,3.198194763660431,29.021160163879394,31.839033126831055,0,0.001
200.0,-148.90459053,293,196,288,57600,19.061992645263672,28.242163791656495,2.4413201928138735,1.766400694847107,47400,2.637453556060791,2.5419865864515305,28.242163791656495,19.061992645263672,0,0.001
200.0,-146.28778714,298,195,292,58400,21.94684600830078,27.34775354385376,2.4572675359249114,2.790771961212158,48200,0.5425923466682434,2.6907682314515116,27.34775354385376,21.94684600830078,0,0.001
200.0,-141.50224550000001,303,195,296,59200,38.29664611816406,27.435306749343873,2.5100069963932037,2.569904327392578,49000,1.4083225727081299,2.801174360066652,27.435306749343873,38.29664611816406,0,0.001
200.0,-140.67131799,308,194,300,60000,32.72825241088867,27.897197246551514,2.654998452663422,2.6744608879089355,49800,1.0281345844268799,2.8978787390887737,27.897197246551514,32.72825241088867,0,0.001
