time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/Beta,train/critic_loss,train/MSE_losses,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/RL_loss,train/loss
101,-588.08846659,200.0,259,26400,132,16200,0.001,0.0,2.7450041019916536,2.245269776582718,68.77292839050293,2.1313295364379883,68.77292839050293,2.085071325302124,66.93425750732422,66.93425750732422
106,-549.53145363,200.0,255,27200,136,17000,0.001,0.0,3.265411198735237,2.3008962368965147,67.51218151092529,3.905216932296753,67.51218151092529,1.9964739084243774,59.05884552001953,59.05884552001953
111,-509.44274827999993,200.0,251,28000,140,17800,0.001,0.0,3.4651713401079176,2.342710739374161,66.96924476623535,2.61452054977417,66.96924476623535,2.525244951248169,64.13903045654297,64.13903045654297
116,-470.5918216899999,200.0,247,28800,144,18600,0.001,0.0,3.1239419996738436,2.1509693312644957,66.79378482818603,1.468522071838379,66.79378482818603,1.9967080354690552,74.8644027709961,74.8644027709961
121,-425.1245396800001,200.0,244,29600,148,19400,0.001,0.0,2.9764594292640685,2.0585616981983184,64.48922096252441,3.2885446548461914,64.48922096252441,1.893053412437439,56.537498474121094,56.537498474121094
126,-380.99912555000003,200.0,240,30400,152,20200,0.001,0.0,3.3084627678990364,2.2907309949398043,63.82730796813965,3.386417865753174,63.82730796813965,1.9796226024627686,67.39433288574219,67.39433288574219
131,-324.42009286000007,200.0,237,31200,156,21000,0.001,0.0,3.3456865140795706,2.3198935103416445,62.31480167388916,2.2275805473327637,62.31480167388916,2.0378623008728027,59.804603576660156,59.804603576660156
136,-282.67710016,200.0,235,32000,160,21800,0.001,0.0,3.182347091436386,2.369399790763855,62.44151454925537,7.125253200531006,62.44151454925537,2.502492666244507,61.93743896484375,61.93743896484375
140,-237.17827946000006,200.0,232,32800,164,22600,0.001,0.0,3.0137429988384246,2.2115025329589844,59.661175880432125,8.435649871826172,59.661175880432125,2.0919997692108154,56.65877151489258,56.65877151489258
145,-198.44169065000003,200.0,230,33600,168,23400,0.001,0.0,3.109176940023899,2.2229313015937806,58.44197372436523,2.55549693107605,58.44197372436523,2.239611864089966,69.68330383300781,69.68330383300781
150,-178.99456329000003,200.0,228,34400,172,24200,0.001,0.0,2.972726573944092,2.2190985643863677,58.32011154174805,3.0445356369018555,58.32011154174805,2.384796380996704,56.0351448059082,56.0351448059082
155,-177.41059563999997,200.0,226,35200,176,25000,0.001,0.0,2.9683535161614416,2.3566916501522064,57.62416931152344,5.461616516113281,57.62416931152344,2.2855377197265625,51.149837493896484,51.149837493896484
160,-159.86612513999998,200.0,224,36000,180,25800,0.001,0.0,3.5677370873093603,2.3746174800395967,56.88609668731689,2.7935497760772705,56.88609668731689,2.5789642333984375,46.50177001953125,46.50177001953125
165,-157.67086486,200.0,222,36800,184,26600,0.001,0.0,3.2802918016910554,2.376763399839401,55.289647827148436,3.1154983043670654,55.289647827148436,2.3993453979492188,66.705078125,66.705078125
170,-158.74902081,200.0,220,37600,188,27400,0.001,0.0,2.9063505336642264,2.369549341201782,55.38234809875488,6.735379219055176,55.38234809875488,2.676715135574341,55.930389404296875,55.930389404296875
175,-160.00130427,200.0,218,38400,192,28200,0.001,0.0,2.5620850491523743,2.4238731229305266,53.796090850830076,1.8458664417266846,53.796090850830076,2.4734861850738525,59.98453903198242,59.98453903198242
180,-161.30056359,200.0,217,39200,196,29000,0.001,0.0,3.1250071293115615,2.2957111752033232,52.240432548522946,1.0158803462982178,52.240432548522946,2.69923734664917,46.56916046142578,46.56916046142578
185,-157.58454826,200.0,215,40000,200,29800,0.001,0.0,2.976338388621807,2.3046395421028136,52.38962329864502,1.1154639720916748,52.38962329864502,2.674530267715454,46.10100555419922,46.10100555419922
190,-154.71365514,200.0,214,40800,204,30600,0.001,0.0,2.9084179589152335,2.3294694578647612,52.08752471923828,2.1263129711151123,52.08752471923828,2.338733673095703,41.46996307373047,41.46996307373047
195,-157.31458961,200.0,213,41600,208,31400,0.001,0.0,2.969785040915012,2.2074676716327666,48.74815052032471,2.451876163482666,48.74815052032471,2.5753414630889893,38.97270965576172,38.97270965576172
200,-153.77060267000002,200.0,211,42400,212,32200,0.001,0.0,3.286673606932163,2.398699218034744,48.98622985839844,3.039032459259033,48.98622985839844,2.418686866760254,51.91059112548828,51.91059112548828
204,-151.59193114,200.0,210,43200,216,33000,0.001,0.0,2.5572212651371955,2.4321557569503782,48.36652404785156,0.953417956829071,48.36652404785156,2.522000312805176,46.15481185913086,46.15481185913086
209,-150.82733471,200.0,209,44000,220,33800,0.001,0.0,2.933651985526085,2.6693574738502504,49.007644691467284,0.768721342086792,49.007644691467284,2.4775171279907227,51.167625427246094,51.167625427246094
