time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss,train/critic_loss,train/actor_loss,train/MSE_losses,train/Beta,train/Main_losses,train/MSE_loss,train/RL_loss,train/critic_los,train/ent_coef,train/ent_coef_loss,train/learning_rate
90,729,429.38,66015,429.38,276,65914,-81.93204498291016,0.051955901086330414,-81.93204498291016,0.22982171177864075,-0.0,-81.93204498291016,0.22982171177864075,-81.93204498291016,0.051955901086330414,0.005234166048467159,-0.9856290817260742,0.001
90,750,441.39,67929,441.39,280,67828,-81.79251861572266,0.1546669453382492,-81.79251861572266,0.35694482922554016,-0.0,-81.79251861572266,0.35694482922554016,-81.79251861572266,0.1546669453382492,0.0029170927591621876,1.481608271598816,0.001
90,766,448.99,69406,448.99,284,69305,-83.293212890625,0.022713148966431618,-83.293212890625,0.2650180459022522,-0.0,-83.293212890625,0.2650180459022522,-83.293212890625,0.022713148966431618,0.0039755175821483135,0.13450440764427185,0.001
90,788,461.56,71406,461.56,288,71305,-80.43968963623047,0.06891585886478424,-80.43968963623047,0.2997773587703705,-0.0,-80.43968963623047,0.2997773587703705,-80.43968963623047,0.06891585886478424,0.006140543147921562,1.326478362083435,0.001
90,810,471.29,73355,471.29,292,73254,-83.45533752441406,0.038290541619062424,-83.45533752441406,0.27120906114578247,-0.0,-83.45533752441406,0.27120906114578247,-83.45533752441406,0.038290541619062424,0.009001553058624268,-0.6848160028457642,0.001
90,826,475.88,74880,475.88,296,74779,-82.21138000488281,0.2543814778327942,-82.21138000488281,0.3421711325645447,-0.0,-82.21138000488281,0.3421711325645447,-82.21138000488281,0.2543814778327942,0.009034746326506138,-0.3541111648082733,0.001
90,845,474.41,76617,474.41,300,76516,-84.14167785644531,0.02787695825099945,-84.14167785644531,0.3085746169090271,-0.0,-84.14167785644531,0.3085746169090271,-84.14167785644531,0.02787695825099945,0.007590285502374172,-0.3307332396507263,0.001
90,867,474.41,78617,474.41,304,78516,-83.84158325195312,0.18686871230602264,-83.84158325195312,0.3429790437221527,-0.0,-83.84158325195312,0.3429790437221527,-83.84158325195312,0.18686871230602264,0.0073075927793979645,-0.11599496006965637,0.001
90,889,474.41,80617,474.41,308,80516,-85.70402526855469,0.08177199959754944,-85.70402526855469,0.3329080045223236,-0.0,-85.70402526855469,0.3329080045223236,-85.70402526855469,0.08177199959754944,0.006567171774804592,0.43298712372779846,0.001
90,911,474.41,82617,474.41,312,82516,-86.58357238769531,0.025566913187503815,-86.58357238769531,0.3084641098976135,-0.0,-86.58357238769531,0.3084641098976135,-86.58357238769531,0.025566913187503815,0.008742490783333778,-0.18937909603118896,0.001
90,933,474.41,84617,474.41,316,84516,-88.2109603881836,0.05261560156941414,-88.2109603881836,0.2864152193069458,-0.0,-88.2109603881836,0.2864152193069458,-88.2109603881836,0.05261560156941414,0.004787110257893801,-0.3703190088272095,0.001
90,955,474.41,86617,474.41,320,86516,-86.27215576171875,0.039870962500572205,-86.27215576171875,0.25545352697372437,-0.0,-86.27215576171875,0.25545352697372437,-86.27215576171875,0.039870962500572205,0.003753015771508217,-1.136746883392334,0.001
90,977,474.41,88617,474.41,324,88516,-87.04476165771484,0.03772207722067833,-87.04476165771484,0.44210344552993774,-0.0,-87.04476165771484,0.44210344552993774,-87.04476165771484,0.03772207722067833,0.005862843245267868,2.0946860313415527,0.001
90,999,474.41,90617,474.41,328,90516,-86.82112121582031,0.042394354939460754,-86.82112121582031,0.25821447372436523,-0.0,-86.82112121582031,0.25821447372436523,-86.82112121582031,0.042394354939460754,0.007900276221334934,0.1481429487466812,0.001
90,1021,474.41,92617,474.41,332,92516,-86.13304138183594,0.08056119829416275,-86.13304138183594,0.3402215242385864,-0.0,-86.13304138183594,0.3402215242385864,-86.13304138183594,0.08056119829416275,0.005849213805049658,-0.09186986088752747,0.001
90,1043,474.41,94617,474.41,336,94516,-86.59082794189453,0.4269174337387085,-86.59082794189453,0.33139103651046753,-0.0,-86.59082794189453,0.33139103651046753,-86.59082794189453,0.4269174337387085,0.007845040410757065,0.7150865197181702,0.001
90,1065,474.41,96617,474.41,340,96516,-88.56419372558594,0.03316282853484154,-88.56419372558594,0.2969379127025604,-0.0,-88.56419372558594,0.2969379127025604,-88.56419372558594,0.03316282853484154,0.006697263102978468,0.30829936265945435,0.001
90,1087,474.41,98617,474.41,344,98516,-88.04891967773438,1.04488205909729,-88.04891967773438,0.23886585235595703,-0.0,-88.04891967773438,0.23886585235595703,-88.04891967773438,1.04488205909729,0.005748157389461994,-0.2820369601249695,0.001
90,1109,474.41,100617,474.41,348,100516,-86.86572265625,0.02845054306089878,-86.86572265625,0.28399065136909485,-0.0,-86.86572265625,0.28399065136909485,-86.86572265625,0.02845054306089878,0.007137669250369072,-0.6020553112030029,0.001
90,1131,474.41,102617,474.41,352,102516,-87.12165069580078,0.10618577897548676,-87.12165069580078,0.28410205245018005,-0.0,-87.12165069580078,0.28410205245018005,-87.12165069580078,0.10618577897548676,0.00418356666341424,0.766482949256897,0.001
90,1153,474.41,104617,474.41,356,104516,-89.34883117675781,0.09284849464893341,-89.34883117675781,0.526390790939331,-0.0,-89.34883117675781,0.526390790939331,-89.34883117675781,0.09284849464893341,0.009550714865326881,0.5508654117584229,0.001
90,1175,474.41,106617,474.41,360,106516,-87.34109497070312,0.07112099230289459,-87.34109497070312,0.478186696767807,-0.0,-87.34109497070312,0.478186696767807,-87.34109497070312,0.07112099230289459,0.03050534427165985,-1.2401152849197388,0.001
90,1191,469.17,108093,469.17,364,107992,-93.43462371826172,0.06143150478601456,-93.43462371826172,0.39442765712738037,-0.0,-93.43462371826172,0.39442765712738037,-93.43462371826172,0.06143150478601456,0.0054916925728321075,-1.7373723983764648,0.001
90,1213,471.25,110093,471.25,368,109992,-89.8572998046875,0.2832750082015991,-89.8572998046875,0.3813995122909546,-0.0,-89.8572998046875,0.3813995122909546,-89.8572998046875,0.2832750082015991,0.008625805377960205,0.7427374124526978,0.001
90,1235,476.16,112093,476.16,372,111992,-89.0240478515625,0.09437283128499985,-89.0240478515625,0.32322102785110474,-0.0,-89.0240478515625,0.32322102785110474,-89.0240478515625,0.09437283128499985,0.005125617608428001,1.1639758348464966,0.001
90,1257,480.78,114093,480.78,376,113992,-91.04606628417969,0.12958306074142456,-91.04606628417969,0.29694223403930664,-0.0,-91.04606628417969,0.29694223403930664,-91.04606628417969,0.12958306074142456,0.0052477335557341576,-0.1035366803407669,0.001
90,1279,481.64,116093,481.64,380,115992,-92.0299072265625,0.01864800602197647,-92.0299072265625,0.30410847067832947,-0.0,-92.0299072265625,0.30410847067832947,-92.0299072265625,0.01864800602197647,0.0037239533849060535,1.1385016441345215,0.001
90,1301,486.87,118093,486.87,384,117992,-90.79891204833984,0.05219193547964096,-90.79891204833984,0.3942168056964874,-0.0,-90.79891204833984,0.3942168056964874,-90.79891204833984,0.05219193547964096,0.00573847908526659,0.6582401394844055,0.001
90,1323,486.87,120093,486.87,388,119992,-92.80812072753906,0.17402337491512299,-92.80812072753906,0.27492237091064453,-0.0,-92.80812072753906,0.27492237091064453,-92.80812072753906,0.17402337491512299,0.003963827155530453,2.389289379119873,0.001
90,1344,487.38,122093,487.38,392,121992,-92.47834777832031,0.11042673140764236,-92.47834777832031,0.24133174121379852,-0.0,-92.47834777832031,0.24133174121379852,-92.47834777832031,0.11042673140764236,0.003873454872518778,0.03736203908920288,0.001
90,1366,492.13,124093,492.13,396,123992,-89.01554870605469,0.057115599513053894,-89.01554870605469,0.24443697929382324,-0.0,-89.01554870605469,0.24443697929382324,-89.01554870605469,0.057115599513053894,0.0025605817791074514,2.6622402667999268,0.001
90,1388,494.76,126093,494.76,400,125992,-92.53369140625,0.03910659998655319,-92.53369140625,0.3107890486717224,-0.0,-92.53369140625,0.3107890486717224,-92.53369140625,0.03910659998655319,0.005478523205965757,-0.08745765686035156,0.001
90,1410,494.76,128093,494.76,404,127992,-90.06353759765625,0.021344950422644615,-90.06353759765625,0.24467051029205322,-0.0,-90.06353759765625,0.24467051029205322,-90.06353759765625,0.021344950422644615,0.0070566958747804165,-0.16686022281646729,0.001
90,1432,494.76,130093,494.76,408,129992,-93.96316528320312,0.021333366632461548,-93.96316528320312,0.33923181891441345,-0.0,-93.96316528320312,0.33923181891441345,-93.96316528320312,0.021333366632461548,0.007364675402641296,0.301896333694458,0.001
90,1454,494.76,132093,494.76,412,131992,-93.34326934814453,0.07920418679714203,-93.34326934814453,0.2927594780921936,-0.0,-93.34326934814453,0.2927594780921936,-93.34326934814453,0.07920418679714203,0.003954753745347261,0.05768051743507385,0.001
90,1476,494.76,134093,494.76,416,133992,-93.03425598144531,0.24038906395435333,-93.03425598144531,0.28429466485977173,-0.0,-93.03425598144531,0.28429466485977173,-93.03425598144531,0.24038906395435333,0.006484858691692352,-0.05927622318267822,0.001
90,1498,494.76,136093,494.76,420,135992,-93.83059692382812,0.24300402402877808,-93.83059692382812,0.2893825173377991,-0.0,-93.83059692382812,0.2893825173377991,-93.83059692382812,0.24300402402877808,0.005117897409945726,-0.2566524147987366,0.001
90,1520,494.76,138093,494.76,424,137992,-91.55537414550781,0.02386660687625408,-91.55537414550781,0.34250688552856445,-0.0,-91.55537414550781,0.34250688552856445,-91.55537414550781,0.02386660687625408,0.007032815832644701,0.15013831853866577,0.001
90,1542,494.76,140093,494.76,428,139992,-90.64302825927734,0.022127587348222733,-90.64302825927734,0.304682195186615,-0.0,-90.64302825927734,0.304682195186615,-90.64302825927734,0.022127587348222733,0.0045438483357429504,0.3536664843559265,0.001
90,1564,494.76,142093,494.76,432,141992,-93.72027587890625,0.03663374483585358,-93.72027587890625,0.24431604146957397,-0.0,-93.72027587890625,0.24431604146957397,-93.72027587890625,0.03663374483585358,0.0056670065969228745,-0.8194944858551025,0.001
90,1586,494.76,144093,494.76,436,143992,-94.81600952148438,0.07297148555517197,-94.81600952148438,0.3648834824562073,-0.0,-94.81600952148438,0.3648834824562073,-94.81600952148438,0.07297148555517197,0.0072015030309557915,-0.026153407990932465,0.001
90,1608,494.76,146093,494.76,440,145992,-93.5684814453125,13.577482223510742,-93.5684814453125,0.2164042890071869,-0.0,-93.5684814453125,0.2164042890071869,-93.5684814453125,13.577482223510742,0.0100467000156641,-0.03772297501564026,0.001
90,1630,494.76,148093,494.76,444,147992,-93.21309661865234,0.1184387058019638,-93.21309661865234,0.2731224596500397,-0.0,-93.21309661865234,0.2731224596500397,-93.21309661865234,0.1184387058019638,0.005243991501629353,0.7690961956977844,0.001
90,1652,494.76,150093,494.76,448,149992,-92.89094543457031,0.04665159806609154,-92.89094543457031,0.27569514513015747,-0.0,-92.89094543457031,0.27569514513015747,-92.89094543457031,0.04665159806609154,0.005301855504512787,0.43122774362564087,0.001
90,1674,494.76,152093,494.76,452,151992,-92.41170501708984,0.056340306997299194,-92.41170501708984,0.28644809126853943,-0.0,-92.41170501708984,0.28644809126853943,-92.41170501708984,0.056340306997299194,0.008798358961939812,0.8168927431106567,0.001
90,1696,494.76,154093,494.76,456,153992,-93.71883392333984,0.062262482941150665,-93.71883392333984,0.27762240171432495,-0.0,-93.71883392333984,0.27762240171432495,-93.71883392333984,0.062262482941150665,0.004205708391964436,1.0731456279754639,0.001
