time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/RL_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/learning_rate,train/n_updates,train/Beta,train/critic_los,train/ent_coef_loss,train/loss,train/ent_coef,train/actor_loss,train/critic_loss
32051,160,90,294.46,294.46,354,-64.46455383300781,0.3170522451400757,0.3170522451400757,-64.46455383300781,0.001,31950,-0.0,0.1122700572013855,0.7815932631492615,-64.46455383300781,0.015453762374818325,-64.46455383300781,0.1122700572013855
33157,164,90,291.16,291.16,366,-66.37250518798828,0.24075913429260254,0.24075913429260254,-66.37250518798828,0.001,33056,-0.0,0.7141009569168091,-0.37753599882125854,-66.37250518798828,0.01829536072909832,-66.37250518798828,0.7141009569168091
35119,168,90,296.02,296.02,388,-67.10214233398438,0.22805559635162354,0.22805559635162354,-67.10214233398438,0.001,35018,-0.0,0.28077396750450134,0.15220528841018677,-67.10214233398438,0.01859874092042446,-67.10214233398438,0.28077396750450134
36635,172,90,299.89,299.89,405,-65.49202728271484,0.21888913214206696,0.21888913214206696,-65.49202728271484,0.001,36534,-0.0,0.1404571533203125,0.29518982768058777,-65.49202728271484,0.01728172041475773,-65.49202728271484,0.1404571533203125
38635,176,90,309.76,309.76,427,-69.1649169921875,0.2073025107383728,0.2073025107383728,-69.1649169921875,0.001,38534,-0.0,0.2057349979877472,0.18112550675868988,-69.1649169921875,0.015059368684887886,-69.1649169921875,0.2057349979877472
40635,180,90,319.45,319.45,449,-72.32496643066406,0.2504585087299347,0.2504585087299347,-72.32496643066406,0.001,40534,-0.0,0.29166460037231445,0.2881465554237366,-72.32496643066406,0.014413676224648952,-72.32496643066406,0.29166460037231445
42635,184,90,326.66,326.66,472,-72.70335388183594,0.2254199981689453,0.2254199981689453,-72.70335388183594,0.001,42534,-0.0,0.09363698214292526,0.24897262454032898,-72.70335388183594,0.012957755476236343,-72.70335388183594,0.09363698214292526
44635,188,90,334.19,334.19,494,-73.84842681884766,0.2536555230617523,0.2536555230617523,-73.84842681884766,0.001,44534,-0.0,0.8217121362686157,-0.3359147906303406,-73.84842681884766,0.013405471108853817,-73.84842681884766,0.8217121362686157
46635,192,90,342.06,342.06,516,-77.68856048583984,0.2698465585708618,0.2698465585708618,-77.68856048583984,0.001,46534,-0.0,0.19421926140785217,0.4091270864009857,-77.68856048583984,0.014853334985673428,-77.68856048583984,0.19421926140785217
48635,196,90,349.43,349.43,538,-79.12084197998047,0.24482230842113495,0.24482230842113495,-79.12084197998047,0.001,48534,-0.0,0.15320180356502533,-0.007108151912689209,-79.12084197998047,0.014670218341052532,-79.12084197998047,0.15320180356502533
50635,200,90,356.5,356.5,560,-80.1142578125,0.2656686305999756,0.2656686305999756,-80.1142578125,0.001,50534,-0.0,0.27526843547821045,0.5203425884246826,-80.1142578125,0.013379576615989208,-80.1142578125,0.27526843547821045
52635,204,90,362.64,362.64,582,-81.259521484375,0.21210677921772003,0.21210677921772003,-81.259521484375,0.001,52534,-0.0,0.5215207934379578,0.12051950395107269,-81.259521484375,0.012896300293505192,-81.259521484375,0.5215207934379578
54635,208,90,367.38,367.38,603,-82.71562194824219,0.21929502487182617,0.21929502487182617,-82.71562194824219,0.001,54534,-0.0,0.3866381049156189,-0.6343327760696411,-82.71562194824219,0.010499862022697926,-82.71562194824219,0.3866381049156189
56635,212,90,367.38,367.38,625,-81.6536865234375,0.19080793857574463,0.19080793857574463,-81.6536865234375,0.001,56534,-0.0,0.5804568529129028,-0.23100093007087708,-81.6536865234375,0.011006809771060944,-81.6536865234375,0.5804568529129028
58635,216,90,368.15,368.15,647,-83.09678649902344,0.20702055096626282,0.20702055096626282,-83.09678649902344,0.001,58534,-0.0,1.0194051265716553,0.16260647773742676,-83.09678649902344,0.009226657450199127,-83.09678649902344,1.0194051265716553
60635,220,90,371.04,371.04,669,-84.82465362548828,0.21524842083454132,0.21524842083454132,-84.82465362548828,0.001,60534,-0.0,0.13001230359077454,-0.07752959430217743,-84.82465362548828,0.009857886470854282,-84.82465362548828,0.13001230359077454
62635,224,90,376.04,376.04,691,-83.20539855957031,0.23602990806102753,0.23602990806102753,-83.20539855957031,0.001,62534,-0.0,0.3862856924533844,0.21936902403831482,-83.20539855957031,0.009617318399250507,-83.20539855957031,0.3862856924533844
64635,228,90,378.77,378.77,712,-86.36669158935547,0.18820995092391968,0.18820995092391968,-86.36669158935547,0.001,64534,-0.0,0.2641157805919647,0.4008108973503113,-86.36669158935547,0.008324171416461468,-86.36669158935547,0.2641157805919647
66635,232,90,384.02,384.02,734,-87.55429077148438,0.1960335671901703,0.1960335671901703,-87.55429077148438,0.001,66534,-0.0,0.2563478350639343,-0.8679170608520508,-87.55429077148438,0.007288261316716671,-87.55429077148438,0.2563478350639343
68635,236,90,398.61,398.61,756,-88.01861572265625,0.19495388865470886,0.19495388865470886,-88.01861572265625,0.001,68534,-0.0,0.0940677672624588,0.039800286293029785,-88.01861572265625,0.007422047201544046,-88.01861572265625,0.0940677672624588
70635,240,90,413.8,413.8,778,-88.99652862548828,0.20184068381786346,0.20184068381786346,-88.99652862548828,0.001,70534,-0.0,0.2608354091644287,-0.28295621275901794,-88.99652862548828,0.006625689100474119,-88.99652862548828,0.2608354091644287
72635,244,90,428.04,428.04,800,-88.95880126953125,0.1880919337272644,0.1880919337272644,-88.95880126953125,0.001,72534,-0.0,0.24793723225593567,0.5474336743354797,-88.95880126953125,0.008584145456552505,-88.95880126953125,0.24793723225593567
74635,248,90,442.13,442.13,821,-89.40591430664062,0.20817673206329346,0.20817673206329346,-89.40591430664062,0.001,74534,-0.0,0.08672776818275452,-0.6557462215423584,-89.40591430664062,0.007861968129873276,-89.40591430664062,0.08672776818275452
76635,252,90,456.58,456.58,843,-90.32890319824219,0.23990054428577423,0.23990054428577423,-90.32890319824219,0.001,76534,-0.0,0.17566220462322235,-0.1948988437652588,-90.32890319824219,0.008220398798584938,-90.32890319824219,0.17566220462322235
78635,256,90,471.15,471.15,865,-90.88018798828125,0.21028776466846466,0.21028776466846466,-90.88018798828125,0.001,78534,-0.0,0.5740029811859131,0.03744933381676674,-90.88018798828125,0.00945550948381424,-90.88018798828125,0.5740029811859131
80635,260,90,485.84,485.84,887,-90.2020034790039,0.22076529264450073,0.22076529264450073,-90.2020034790039,0.001,80534,-0.0,0.13723178207874298,0.19914253056049347,-90.2020034790039,0.006850312929600477,-90.2020034790039,0.13723178207874298
82635,264,90,494.78,494.78,909,-90.11732482910156,0.23590001463890076,0.23590001463890076,-90.11732482910156,0.001,82534,-0.0,0.09242968261241913,0.4237772524356842,-90.11732482910156,0.007198571227490902,-90.11732482910156,0.09242968261241913
83895,268,90,487.76,487.76,922,-91.97392272949219,0.28703176975250244,0.28703176975250244,-91.97392272949219,0.001,83794,-0.0,0.2567865252494812,1.3117632865905762,-91.97392272949219,0.007746481336653233,-91.97392272949219,0.2567865252494812
85514,272,90,488.79,488.79,940,-92.2801284790039,0.3130219578742981,0.3130219578742981,-92.2801284790039,0.001,85413,-0.0,0.05934181064367294,0.11488080024719238,-92.2801284790039,0.009398023597896099,-92.2801284790039,0.05934181064367294
87357,276,90,487.22,487.22,960,-91.0044174194336,0.32946157455444336,0.32946157455444336,-91.0044174194336,0.001,87256,-0.0,4.461604118347168,0.3794634938240051,-91.0044174194336,0.011820198968052864,-91.0044174194336,4.461604118347168
89357,280,90,487.22,487.22,982,-92.74842834472656,0.39035990834236145,0.39035990834236145,-92.74842834472656,0.001,89256,-0.0,0.2138265073299408,0.5015262961387634,-92.74842834472656,0.014736032113432884,-92.74842834472656,0.2138265073299408
91357,284,90,487.22,487.22,1004,-93.36766052246094,0.44459831714630127,0.44459831714630127,-93.36766052246094,0.001,91256,-0.0,0.34688782691955566,-0.01711929962038994,-93.36766052246094,0.02249627187848091,-93.36766052246094,0.34688782691955566
93357,288,90,487.22,487.22,1026,-92.0509262084961,0.3983849883079529,0.3983849883079529,-92.0509262084961,0.001,93256,-0.0,0.22256408631801605,0.7043298482894897,-92.0509262084961,0.016970420256257057,-92.0509262084961,0.22256408631801605
95357,292,91,487.22,487.22,1047,-93.94669342041016,0.5013672113418579,0.5013672113418579,-93.94669342041016,0.001,95256,-0.0,0.10521342605352402,0.31452810764312744,-93.94669342041016,0.02428637631237507,-93.94669342041016,0.10521342605352402
97357,296,91,487.22,487.22,1069,-93.57852172851562,0.396595299243927,0.396595299243927,-93.57852172851562,0.001,97256,-0.0,0.07371313869953156,-0.3598034381866455,-93.57852172851562,0.026505542919039726,-93.57852172851562,0.07371313869953156
99357,300,91,487.22,487.22,1091,-95.25947570800781,0.3075910806655884,0.3075910806655884,-95.25947570800781,0.001,99256,-0.0,0.06644481420516968,-0.8522607088088989,-95.25947570800781,0.02364499308168888,-95.25947570800781,0.06644481420516968
101357,304,91,487.22,487.22,1113,-96.51254272460938,0.3850342631340027,0.3850342631340027,-96.51254272460938,0.001,101256,-0.0,0.11480043828487396,-0.9388732314109802,-96.51254272460938,0.019352449104189873,-96.51254272460938,0.11480043828487396
103357,308,91,487.22,487.22,1134,-97.9507064819336,0.4263498783111572,0.4263498783111572,-97.9507064819336,0.001,103256,-0.0,0.07968954741954803,0.040032267570495605,-97.9507064819336,0.014892618171870708,-97.9507064819336,0.07968954741954803
105357,312,91,487.22,487.22,1156,-96.6685562133789,0.37699875235557556,0.37699875235557556,-96.6685562133789,0.001,105256,-0.0,0.12994565069675446,0.052246883511543274,-96.6685562133789,0.012301740236580372,-96.6685562133789,0.12994565069675446
107357,316,91,487.22,487.22,1178,-96.50328826904297,0.2722916007041931,0.2722916007041931,-96.50328826904297,0.001,107256,-0.0,0.2188185751438141,-0.6408544778823853,-96.50328826904297,0.0080986013635993,-96.50328826904297,0.2188185751438141
109357,320,91,487.22,487.22,1200,-95.95608520507812,0.2216358184814453,0.2216358184814453,-95.95608520507812,0.001,109256,-0.0,0.050348911434412,-0.9456789493560791,-95.95608520507812,0.008914967998862267,-95.95608520507812,0.050348911434412
111357,324,91,487.22,487.22,1222,-96.43000793457031,0.2276366502046585,0.2276366502046585,-96.43000793457031,0.001,111256,-0.0,0.06141074001789093,0.9099789261817932,-96.43000793457031,0.008985300548374653,-96.43000793457031,0.06141074001789093
113357,328,91,487.22,487.22,1243,-97.0562744140625,0.2302771806716919,0.2302771806716919,-97.0562744140625,0.001,113256,-0.0,0.04704552888870239,-0.43350887298583984,-97.0562744140625,0.009319082833826542,-97.0562744140625,0.04704552888870239
115357,332,91,487.22,487.22,1265,-95.95149230957031,0.24453341960906982,0.24453341960906982,-95.95149230957031,0.001,115256,-0.0,0.09995482861995697,-0.33345213532447815,-95.95149230957031,0.009266608394682407,-95.95149230957031,0.09995482861995697
117357,336,91,487.22,487.22,1287,-96.5330581665039,0.23578757047653198,0.23578757047653198,-96.5330581665039,0.001,117256,-0.0,0.12112787365913391,0.7322570085525513,-96.5330581665039,0.007243826985359192,-96.5330581665039,0.12112787365913391
119357,340,91,487.22,487.22,1309,-95.97791290283203,0.2974863052368164,0.2974863052368164,-95.97791290283203,0.001,119256,-0.0,0.15402105450630188,0.07683001458644867,-95.97791290283203,0.005729358177632093,-95.97791290283203,0.15402105450630188
121357,344,91,487.22,487.22,1331,-97.66777038574219,0.1817132532596588,0.1817132532596588,-97.66777038574219,0.001,121256,-0.0,0.1095106452703476,-0.28842994570732117,-97.66777038574219,0.005934841465204954,-97.66777038574219,0.1095106452703476
123357,348,91,487.22,487.22,1352,-96.79084777832031,0.24714908003807068,0.24714908003807068,-96.79084777832031,0.001,123256,-0.0,0.06740494072437286,0.05360403656959534,-96.79084777832031,0.0038580133114010096,-96.79084777832031,0.06740494072437286
125357,352,91,487.22,487.22,1374,-97.88296508789062,0.24062177538871765,0.24062177538871765,-97.88296508789062,0.001,125256,-0.0,0.04955234378576279,-0.7812248468399048,-97.88296508789062,0.005856827367097139,-97.88296508789062,0.04955234378576279
127357,356,91,487.22,487.22,1396,-95.89598083496094,0.2448226809501648,0.2448226809501648,-95.89598083496094,0.001,127256,-0.0,0.9950423836708069,-0.5040764808654785,-95.89598083496094,0.008041581138968468,-95.89598083496094,0.9950423836708069
129357,360,91,487.22,487.22,1418,-96.32914733886719,0.17188015580177307,0.17188015580177307,-96.32914733886719,0.001,129256,-0.0,0.20103761553764343,0.8000025749206543,-96.32914733886719,0.005003763362765312,-96.32914733886719,0.20103761553764343
131357,364,91,487.22,487.22,1440,-96.07254791259766,0.20415136218070984,0.20415136218070984,-96.07254791259766,0.001,131256,-0.0,0.1116875410079956,0.48864680528640747,-96.07254791259766,0.003972559701651335,-96.07254791259766,0.1116875410079956
133357,368,91,494.62,494.62,1461,-97.96102905273438,0.163741797208786,0.163741797208786,-97.96102905273438,0.001,133256,-0.0,0.09845905005931854,-0.324426531791687,-97.96102905273438,0.004120358731597662,-97.96102905273438,0.09845905005931854
135357,372,91,498.43,498.43,1483,-95.6456298828125,0.13968387246131897,0.13968387246131897,-95.6456298828125,0.001,135256,-0.0,0.13428696990013123,-0.1491609513759613,-95.6456298828125,0.003936778288334608,-95.6456298828125,0.13428696990013123
137357,376,91,500.0,500.0,1505,-96.34349060058594,0.1719471514225006,0.1719471514225006,-96.34349060058594,0.001,137256,-0.0,0.053929850459098816,0.634604811668396,-96.34349060058594,0.0033799458760768175,-96.34349060058594,0.053929850459098816
139357,380,91,500.0,500.0,1527,-97.94169616699219,0.16904696822166443,0.16904696822166443,-97.94169616699219,0.001,139256,-0.0,0.060949791222810745,-0.392477810382843,-97.94169616699219,0.004496113397181034,-97.94169616699219,0.060949791222810745
141357,384,91,500.0,500.0,1549,-94.64057159423828,0.20586317777633667,0.20586317777633667,-94.64057159423828,0.001,141256,-0.0,0.0426638163626194,-0.05334153771400452,-94.64057159423828,0.005172073841094971,-94.64057159423828,0.0426638163626194
143357,388,91,500.0,500.0,1571,-96.02593994140625,0.19552499055862427,0.19552499055862427,-96.02593994140625,0.001,143256,-0.0,0.10020481795072556,-0.09006737172603607,-96.02593994140625,0.005041453056037426,-96.02593994140625,0.10020481795072556
145357,392,91,500.0,500.0,1592,-96.56466674804688,0.2194797396659851,0.2194797396659851,-96.56466674804688,0.001,145256,-0.0,0.2350488305091858,0.06972455233335495,-96.56466674804688,0.006850325968116522,-96.56466674804688,0.2350488305091858
147357,396,91,500.0,500.0,1614,-97.28074645996094,0.25361472368240356,0.25361472368240356,-97.28074645996094,0.001,147256,-0.0,0.053124308586120605,-0.4853506088256836,-97.28074645996094,0.006138660479336977,-97.28074645996094,0.053124308586120605
149357,400,91,500.0,500.0,1636,-96.05384063720703,0.26546433568000793,0.26546433568000793,-96.05384063720703,0.001,149256,-0.0,0.41410505771636963,-0.24424493312835693,-96.05384063720703,0.00787143874913454,-96.05384063720703,0.41410505771636963
151033,404,91,496.76,496.76,1654,-96.12942504882812,0.256183385848999,0.256183385848999,-96.12942504882812,0.001,150932,-0.0,1.3446619510650635,-0.08249333500862122,-96.12942504882812,0.007504893466830254,-96.12942504882812,1.3446619510650635
152736,408,91,493.79,493.79,1673,-96.21544647216797,0.24279454350471497,0.24279454350471497,-96.21544647216797,0.001,152635,-0.0,0.07641246169805527,-0.4024539589881897,-96.21544647216797,0.008801493793725967,-96.21544647216797,0.07641246169805527
154141,412,91,487.84,487.84,1688,-97.63882446289062,0.22250567376613617,0.22250567376613617,-97.63882446289062,0.001,154040,-0.0,0.06599882245063782,-0.5920900106430054,-97.63882446289062,0.006634272634983063,-97.63882446289062,0.06599882245063782
155763,416,91,484.06,484.06,1706,-97.44874572753906,0.25930890440940857,0.25930890440940857,-97.44874572753906,0.001,155662,-0.0,0.10607894510030746,-0.17719575762748718,-97.44874572753906,0.005907178390771151,-97.44874572753906,0.10607894510030746
157763,420,91,484.06,484.06,1727,-96.46823120117188,0.20656414330005646,0.20656414330005646,-96.46823120117188,0.001,157662,-0.0,0.2555479407310486,0.4497604966163635,-96.46823120117188,0.008184490725398064,-96.46823120117188,0.2555479407310486
159763,424,91,484.06,484.06,1749,-96.1082763671875,0.25803542137145996,0.25803542137145996,-96.1082763671875,0.001,159662,-0.0,0.09254217147827148,0.33695483207702637,-96.1082763671875,0.008181064389646053,-96.1082763671875,0.09254217147827148
161374,428,91,480.17,480.17,1767,-96.04139709472656,0.29226556420326233,0.29226556420326233,-96.04139709472656,0.001,161273,-0.0,0.12331358343362808,0.008077532052993774,-96.04139709472656,0.010935859754681587,-96.04139709472656,0.12331358343362808
163374,432,91,480.17,480.17,1788,-96.9701919555664,0.299384742975235,0.299384742975235,-96.9701919555664,0.001,163273,-0.0,1.8572759628295898,-0.6242650747299194,-96.9701919555664,0.008877819404006004,-96.9701919555664,1.8572759628295898
165374,436,91,480.17,480.17,1810,-95.35690307617188,0.28604888916015625,0.28604888916015625,-95.35690307617188,0.001,165273,-0.0,0.18944407999515533,0.39978721737861633,-95.35690307617188,0.006323190405964851,-95.35690307617188,0.18944407999515533
167374,440,91,480.17,480.17,1832,-96.28562927246094,0.21057116985321045,0.21057116985321045,-96.28562927246094,0.001,167273,-0.0,0.09628906846046448,-0.5618119835853577,-96.28562927246094,0.008048796094954014,-96.28562927246094,0.09628906846046448
169374,444,91,480.17,480.17,1854,-97.58622741699219,0.22466060519218445,0.22466060519218445,-97.58622741699219,0.001,169273,-0.0,0.10745274275541306,-0.6256396174430847,-97.58622741699219,0.008267263881862164,-97.58622741699219,0.10745274275541306
171374,448,91,480.17,480.17,1876,-97.05643463134766,0.26942092180252075,0.26942092180252075,-97.05643463134766,0.001,171273,-0.0,0.033704787492752075,-0.338860422372818,-97.05643463134766,0.0072104609571397305,-97.05643463134766,0.033704787492752075
173374,452,91,480.17,480.17,1898,-97.11774444580078,0.2023496776819229,0.2023496776819229,-97.11774444580078,0.001,173273,-0.0,0.08327196538448334,-0.3226100504398346,-97.11774444580078,0.007584763690829277,-97.11774444580078,0.08327196538448334
175374,456,91,480.17,480.17,1920,-97.37759399414062,0.43114304542541504,0.43114304542541504,-97.37759399414062,0.001,175273,-0.0,0.04235542565584183,0.6618905663490295,-97.37759399414062,0.020017534494400024,-97.37759399414062,0.04235542565584183
177374,460,91,480.17,480.17,1941,-96.98057556152344,0.34207579493522644,0.34207579493522644,-96.98057556152344,0.001,177273,-0.0,0.04812849313020706,-0.09065816551446915,-96.98057556152344,0.013993842527270317,-96.98057556152344,0.04812849313020706
179374,464,91,480.17,480.17,1963,-98.60081481933594,0.27985942363739014,0.27985942363739014,-98.60081481933594,0.001,179273,-0.0,1.6694767475128174,0.7564214468002319,-98.60081481933594,0.012371665798127651,-98.60081481933594,1.6694767475128174
