time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,time/total_timesteps,time/episodes,train/MSE_loss,train/Main_losses,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss,train/MSE_losses,train/Beta,train/n_updates,train/loss,train/critic_los,train/ent_coef,train/RL_loss
1336,95,983.24,-44.74369325,0.04020107537508011,128274,184,8.434995651245117,0.914281866280362,0.7604087740182877,0.914281866280362,0.00073,0.2042692763498053,8.5223703160882,-0.0,118272,0.04471588134765625,0.07364589720964432,0.0025168696156470105,0.04471588134765625
1361,95,1002.76,-42.47681281,0.04005322977900505,130543,188,7.892580986022949,0.8911831948207691,-0.1835440481081605,0.8911831948207691,0.00073,0.18094420566922054,8.244616560637951,-0.0,120512,1.2511285543441772,0.22031794488430023,0.002643801963131409,1.2511285543441772
1386,95,991.15,-41.5040859,0.04018549621105194,132740,192,8.239806175231934,0.8373864793684334,-0.47892716946080327,0.8373864793684334,0.00073,0.15195341291837394,8.298268496990204,-0.0,122752,1.1850535869598389,0.12126308679580688,0.0034407961429678835,1.1850535869598389
1416,95,952.98,-40.146586240000005,0.040148425847291946,135323,196,7.514322280883789,0.8100898346165195,0.12451402703300118,0.8100898346165195,0.00073,0.19173705333378166,8.197954319417477,-0.0,125312,0.2308366596698761,0.2500448226928711,0.003418451982724946,0.2308366596698761
1473,95,940.46,-29.594726259999998,0.04046725109219551,140471,200,7.0647149085998535,0.28162043751217425,0.1650146320462227,0.28162043751217425,0.00073,0.16300092689925805,7.613780975341797,-0.0,130432,1.0235174894332886,0.19839054346084595,0.004351495015725959,1.0235174894332886
1512,95,939.57,-21.236791330000006,0.0405174195766449,143817,204,7.987091541290283,-0.23678527190349996,0.4881820883601904,-0.23678527190349996,0.00073,0.17474395572207868,7.694339774549007,-0.0,133824,-0.0260583758354187,0.14626771211624146,0.0046046238276176155,-0.0260583758354187
1565,94,928.27,-6.737531820000002,0.04075127840042114,148626,208,7.779487133026123,-0.6875540218316019,-0.7477581151761115,-0.6875540218316019,0.00073,0.1993879417423159,7.4611267149448395,-0.0,138624,-0.7283885478973389,0.4341701865196228,0.0048741575665189885,-0.7283885478973389
1614,94,915.41,4.924735219999999,0.040889035910367966,152987,212,7.859063148498535,-1.2173896075692028,-0.4952400028705597,-1.2173896075692028,0.00073,0.15000234090257436,7.09587274491787,-0.0,142976,-1.2950334548950195,0.15704672038555145,0.004729277330625337,-1.2950334548950195
1643,94,905.8,10.2440613,0.04088809713721275,155522,216,7.281397819519043,-1.2965068253688514,0.2696435418911278,-1.2965068253688514,0.00073,0.1822337560588494,6.872197024524212,-0.0,145536,0.11242485046386719,0.48717543482780457,0.00499052123632282,0.11242485046386719
1680,94,917.98,18.77858721,0.04088321328163147,158797,220,6.198685646057129,-1.156513516092673,0.9309950785245746,-1.156513516092673,0.00073,0.21633346023736522,6.9149742648005486,-0.0,148800,-1.8604388236999512,0.07206155359745026,0.004547734235529788,-1.8604388236999512
1721,94,900.13,29.279122010000002,0.04106661677360535,162450,224,6.85336971282959,-1.5230226097628474,0.7947935219854116,-1.5230226097628474,0.00073,0.1751648848876357,6.719433195888996,-0.0,152448,-0.6095169186592102,0.15449419617652893,0.005271347879897803,-0.6095169186592102
1773,94,939.63,45.323601200000006,0.04105161875486374,166995,228,6.237856864929199,-1.8552039382047951,-0.06614058138802648,-1.8552039382047951,0.00073,0.14149674808140844,6.5712893307209015,-0.0,156992,-1.3138666152954102,0.165882408618927,0.004679984507674817,-1.3138666152954102
1811,94,928.25,56.32793895,0.04120501130819321,170394,232,6.514055252075195,-1.947310596704483,0.984241715981625,-1.947310596704483,0.00073,0.19285189430229366,6.300973668694496,-0.0,160384,-2.069119453430176,0.15718045830726624,0.005324392514012288,-2.069119453430176
1858,94,907.34,69.22141255,0.041524749249219894,174703,236,6.395195960998535,-2.7328268457204103,0.42309579462744296,-2.7328268457204103,0.00073,0.14542645623441786,6.365811087191105,-0.0,164672,-2.393303871154785,0.11813251674175262,0.005969994883344043,-2.393303871154785
1908,93,932.41,84.60394803999999,0.04180391877889633,179266,240,6.467973232269287,-3.0604004468768835,-0.07689058280084282,-3.0604004468768835,0.00073,0.134143257222604,6.410231247544289,-0.0,169280,-2.749851942062378,0.11205538362264633,0.005397325519879814,-2.749851942062378
1948,93,920.49,95.77493502999998,0.04204326122999191,182945,244,6.717051029205322,-3.3371409121900797,-0.15682477923110127,-3.3371409121900797,0.00073,0.14393693185411394,6.213637016713619,-0.0,172928,-1.701894760131836,0.14247432351112366,0.005609372332401108,-1.701894760131836
1997,93,911.01,109.71182648999998,0.042141418904066086,187419,248,6.382965564727783,-3.567667167633772,0.021470293635502458,-3.567667167633772,0.00073,0.19795897958101705,6.1511024087667465,-0.0,177408,-3.5269381999969482,0.28357744216918945,0.005797455589345191,-3.5269381999969482
2045,93,904.7,122.23204000000001,0.04212178289890289,191772,252,7.129817008972168,-3.868161715567112,-0.18601126736029983,-3.868161715567112,0.00073,0.15103491122135893,6.042646519839764,-0.0,181760,-3.57138729095459,0.10229211300611496,0.005914436944294721,-3.57138729095459
2093,93,897.43,133.62594375000003,0.04211611673235893,196183,256,6.102322101593018,-3.881506387144327,-0.9493364179506898,-3.881506387144327,0.00073,0.161500419548247,5.875190071761608,-0.0,186176,-3.0958926677703857,0.19068643450737,0.00570311896444764,-3.0958926677703857
2140,93,896.31,145.59396026000002,0.042101550847291946,200398,260,5.486715316772461,-4.329227522015572,-0.45853290031664073,-4.329227522015572,0.00073,0.17783673550002277,5.808501712977886,-0.0,190400,-4.348669052124023,0.1677156686782837,0.005726568597310688,-4.348669052124023
2185,93,884.82,153.16534181,0.04199305176734924,204569,264,5.699315071105957,-4.63634580001235,-0.028269855305552483,-4.63634580001235,0.00073,0.14264452413772233,5.7817078828811646,-0.0,194560,-4.270035743713379,0.06398341059684753,0.0054299926341627724,-4.270035743713379
2230,93,901.3,164.84132708,0.04220358282327652,208635,268,5.433640956878662,-4.918981492519379,-0.712400269228965,-4.918981492519379,0.00073,0.10989215970039368,5.764081291854382,-0.0,198592,-5.5377607345581055,0.34352007508277893,0.005711941310437396,-5.5377607345581055
2272,93,900.07,172.09497165000002,0.04237247630953789,212453,272,5.395114421844482,-5.1020548567175865,-0.11617225036025047,-5.1020548567175865,0.00073,0.16276359790936112,5.757991932332516,-0.0,202432,-5.092944145202637,0.08300630003213882,0.005661440220137592,-5.092944145202637
2306,93,913.97,182.15650265,0.0423751138150692,215572,276,5.492840766906738,-5.0610222443938255,0.4125016159377992,-5.0610222443938255,0.00073,0.15961527317995206,5.603650249540806,-0.0,205568,-4.947115898132324,0.21442800760269165,0.005692830221960321,-4.947115898132324
2349,93,935.29,195.40020478,0.04239002615213394,219495,280,5.185105800628662,-5.243118267506361,-0.5677987542003393,-5.243118267506361,0.00073,0.17405033204704523,5.653333477675915,-0.0,209472,-4.812907695770264,0.08050794899463654,0.005843991420988459,-4.812907695770264
2384,93,943.91,206.87718774999996,0.042382583022117615,222665,284,5.285691261291504,-5.648204617202282,0.04986595339141786,-5.648204617202282,0.00073,0.2513854479184374,5.5376260951161385,-0.0,212672,-4.895528793334961,0.3287389874458313,0.0055673230162938125,-4.895528793334961
2427,93,959.57,221.52650859000002,0.04243941232562065,226500,288,5.836834907531738,-5.702904414385557,0.4892005086876452,-5.702904414385557,0.00073,0.19267487048637122,5.416517838835716,-0.0,216512,-5.670604705810547,0.06919144093990326,0.005424534589110408,-5.670604705810547
2468,93,975.3,235.25782683999998,0.04245227947831154,230270,292,5.374945640563965,-5.77453275769949,-0.499139201361686,-5.77453275769949,0.00073,0.15467429533600807,5.305856339633465,-0.0,220224,-6.560802459716797,0.1294386088848114,0.006183352074003778,-6.560802459716797
2511,93,988.05,248.39010495000002,0.04236811771988869,234128,296,5.385154724121094,-6.085821554064751,-0.9907179304864258,-6.085821554064751,0.00073,0.18815320945577696,5.22921022772789,-0.0,224128,-6.401003837585449,0.06147413328289986,0.00570414487447124,-6.401003837585449
2551,93,973.27,252.87207934000006,0.04228918254375458,237798,300,5.270595073699951,-6.217107392847538,0.5203506296966225,-6.217107392847538,0.00073,0.1912361496943049,5.349439300596714,-0.0,227776,-5.901815891265869,0.11981388181447983,0.00568690084037371,-5.901815891265869
2584,93,969.0,255.86420002,0.042301006615161896,240717,304,5.362311840057373,-6.402722716331482,-0.7568748469930142,-6.402722716331482,0.00073,0.19979064114158973,5.159288853406906,-0.0,230720,-5.398375511169434,0.21248376369476318,0.005927292906562798,-5.398375511169434
2625,93,958.69,255.29989634999998,0.0422937385737896,244495,308,5.326838970184326,-6.265186868607998,-0.05972659890539944,-6.265186868607998,0.00073,0.1845815076958388,5.145430468022823,-0.0,234496,-6.299490928649902,0.10623954236507416,0.006006200572301168,-6.299490928649902
2657,93,944.78,255.22175968000002,0.04230232909321785,247465,312,5.088960647583008,-6.295937187969685,0.7682176949456334,-6.295937187969685,0.00073,0.39931257761782035,5.031821820884943,-0.0,237440,-5.979048252105713,0.4352419972419739,0.00562986535805976,-5.979048252105713
2696,93,954.41,263.3574556,0.042222898453474045,250963,316,5.192105293273926,-6.487343080341816,0.29354105005040765,-6.487343080341816,0.00073,0.22621878620702773,4.9193993136286736,-0.0,240960,-5.501840591430664,0.8295663595199585,0.005582237361522857,-5.501840591430664
2733,93,955.85,268.51713179,0.04210221394896507,254382,320,5.131557464599609,-6.7697706669569016,0.6274461217690259,-6.7697706669569016,0.00073,0.19040345418034121,5.156678758561611,-0.0,244352,-6.778831481933594,0.9003554582595825,0.0057141542856697924,-6.778831481933594
2775,93,957.1,272.72973722,0.04222022369503975,258160,324,5.274458885192871,-6.80538759380579,-0.6295296135358512,-6.80538759380579,0.00073,0.17897875158814713,5.0728030279278755,-0.0,248128,-6.889446258544922,0.07749742269515991,0.005874079193745274,-6.889446258544922
2817,92,949.23,272.97925808,0.04226881265640259,261918,328,5.480188369750977,-6.928645618259907,-0.40598821826279163,-6.928645618259907,0.00073,0.20995195081923157,4.967349514365196,-0.0,251904,-7.668728828430176,0.035220831632614136,0.0061633253208128735,-7.668728828430176
2855,92,949.53,275.33756458,0.042376480996608734,265347,332,4.367480278015137,-7.241719774901867,-0.48137687612324953,-7.241719774901867,0.00073,0.22790993316448294,4.9847516268491745,-0.0,255360,-7.712432861328125,0.052571095526218414,0.006224137388926465,-7.712432861328125
2894,92,942.33,276.74795270999994,0.042399387806653976,268936,336,5.031394958496094,-7.312110617756844,0.6119296834804118,-7.312110617756844,0.00073,0.2321456369245425,4.97095250338316,-0.0,258944,-7.1313371658325195,0.08062379062175751,0.006291330842941534,-7.1313371658325195
2934,92,932.8,277.0394177,0.04227939248085022,272546,340,4.885806560516357,-7.457557074725628,0.3714375637937337,-7.457557074725628,0.00073,0.20991676219273359,4.868027739226818,-0.0,262528,-6.172163963317871,0.24244001507759094,0.006132271279057022,-6.172163963317871
2972,92,930.4,279.09556691,0.04230984300374985,275985,344,5.032486438751221,-7.4849618673324585,-0.29223263426683843,-7.4849618673324585,0.00073,0.14370919187786058,4.967227727174759,-0.0,265984,-7.79921293258667,0.0796937420964241,0.006470851934864186,-7.79921293258667
