time/total_timesteps,train/loss,time/time_elapsed,train/RL_loss,train/n_updates,train/actor_loss,train/critic_loss,time/episodes,train/MSE_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/Beta,train/Main_losses,train/critic_los,train/ent_coef,rollout/ep_len_mean,train/MSE_losses
36800,26.88825225830078,415,26.88825225830078,36699,26.88825225830078,1.0798789262771606,184,3.0015532970428467,0.001,88,-143.99136711999998,0.7859467267990112,-0.0,26.88825225830078,1.0798789262771606,0.014692725613713264,200.0,3.0015532970428467
37600,28.614051818847656,424,28.614051818847656,37499,28.614051818847656,0.530176043510437,188,3.1463990211486816,0.001,88,-143.96900619,0.93236243724823,-0.0,28.614051818847656,0.530176043510437,0.014362364076077938,200.0,3.1463990211486816
38400,26.25579833984375,433,26.25579833984375,38299,26.25579833984375,1.0863401889801025,192,3.020467758178711,0.001,88,-140.00052113,1.309571623802185,-0.0,26.25579833984375,1.0863401889801025,0.01718955673277378,200.0,3.020467758178711
39200,20.80782127380371,442,20.80782127380371,39099,20.80782127380371,0.5792062282562256,196,3.344536304473877,0.001,88,-138.32720021,-0.5896992683410645,-0.0,20.80782127380371,0.5792062282562256,0.015882261097431183,200.0,3.344536304473877
40000,21.321739196777344,451,21.321739196777344,39899,21.321739196777344,0.7416176795959473,200,3.2800042629241943,0.001,88,-140.69948022999998,-0.19468647241592407,-0.0,21.321739196777344,0.7416176795959473,0.016637001186609268,200.0,3.2800042629241943
40800,25.29266357421875,460,25.29266357421875,40699,25.29266357421875,0.5724372267723083,204,3.2400078773498535,0.001,88,-143.8080833,-0.08531755208969116,-0.0,25.29266357421875,0.5724372267723083,0.015895763412117958,200.0,3.2400078773498535
41600,26.37440299987793,469,26.37440299987793,41499,26.37440299987793,0.6191039681434631,208,3.516322374343872,0.001,88,-146.03053383999998,-0.7895079851150513,-0.0,26.37440299987793,0.6191039681434631,0.01450866274535656,200.0,3.516322374343872
42400,28.042224884033203,478,28.042224884033203,42299,28.042224884033203,1.040769338607788,212,3.1193671226501465,0.001,88,-143.71687254,1.656080961227417,-0.0,28.042224884033203,1.040769338607788,0.013205772265791893,200.0,3.1193671226501465
43200,20.645830154418945,487,20.645830154418945,43099,20.645830154418945,0.871991753578186,216,3.507340669631958,0.001,88,-142.68421259,-0.18339917063713074,-0.0,20.645830154418945,0.871991753578186,0.011473773047327995,200.0,3.507340669631958
44000,28.813173294067383,496,28.813173294067383,43899,28.813173294067383,0.4630793333053589,220,3.383775472640991,0.001,88,-141.60541568,0.5779628753662109,-0.0,28.813173294067383,0.4630793333053589,0.014534920454025269,200.0,3.383775472640991
