rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/Main_losses,train/learning_rate,train/critic_loss,train/actor_loss,train/RL_loss,train/MSE_losses,train/critic_los,train/Beta,train/MSE_loss,train/n_updates,train/loss
-154.02553723,253,200.0,252,198,50400,32.405911149978635,0.001,2.608086144030094,32.405911149978635,30.52448844909668,1.8760429656505584,10.937602043151855,0,1.711393117904663,40200,30.52448844909668
-152.66967591,258,200.0,256,197,51200,31.740029048919677,0.001,2.360183619558811,31.740029048919677,34.317317962646484,2.239674906730652,2.067866802215576,0,2.043294906616211,41000,34.317317962646484
-152.79371845,263,200.0,260,197,52000,31.36250955581665,0.001,1.9957098960876465,31.36250955581665,35.72549819946289,2.131259673833847,0.6515016555786133,0,1.9800575971603394,41800,35.72549819946289
-155.04408518,268,200.0,264,196,52800,31.238407859802248,0.001,2.3241096521914004,31.238407859802248,35.46507263183594,2.128014769554138,2.1060681343078613,0,2.1792542934417725,42600,35.46507263183594
-154.92164143,273,200.0,268,195,53600,31.560278491973875,0.001,2.7617040695250035,31.560278491973875,28.79781723022461,2.0317976200580596,1.154341697692871,0,1.9938663244247437,43400,28.79781723022461
-153.16282962999998,278,200.0,272,195,54400,30.241667499542235,0.001,2.0794798022508623,30.241667499542235,27.847511291503906,2.184638899564743,1.275246262550354,0,2.1588337421417236,44200,27.847511291503906
-151.64840704,283,200.0,276,194,55200,30.51058401107788,0.001,1.8477342969179154,30.51058401107788,36.28565979003906,2.1031246685981753,0.5101143717765808,0,2.268784523010254,45000,36.28565979003906
-154.81762646999996,288,200.0,280,193,56000,29.952650270462037,0.001,2.1990741561353206,29.952650270462037,29.594511032104492,1.986706529855728,0.415544331073761,0,1.827244520187378,45800,29.594511032104492
-156.1566416,293,200.0,284,193,56800,29.3092671585083,0.001,1.9082129956781864,29.3092671585083,16.490100860595703,1.9851125156879426,1.4397644996643066,0,2.2844948768615723,46600,16.490100860595703
-153.7378271,298,200.0,288,192,57600,29.28520690917969,0.001,2.2160627372562884,29.28520690917969,29.64396095275879,2.025951557159424,3.606008529663086,0,2.183079481124878,47400,29.64396095275879
-150.28051101,303,200.0,292,192,58400,28.953201942443847,0.001,1.8673205384612084,28.953201942443847,44.39884567260742,1.989224102497101,1.0986130237579346,0,1.9230777025222778,48200,44.39884567260742
-146.52113056,308,200.0,296,191,59200,29.27074201583862,0.001,1.7573785011470318,29.27074201583862,26.465620040893555,1.945542382001877,1.2715826034545898,0,1.844557762145996,49000,26.465620040893555
-144.20000171,313,200.0,300,191,60000,28.78823619842529,0.001,1.9197128111124038,28.78823619842529,20.803226470947266,2.031054365634918,2.313694477081299,0,1.927146553993225,49800,20.803226470947266
