time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/MSE_losses,train/learning_rate,train/ent_coef_loss,train/MSE_loss,train/critic_los,train/actor_loss,train/RL_loss,train/n_updates,train/Main_losses,train/loss,train/Beta,train/ent_coef
199540,-29.035433300000005,284,0.03885858133435249,92,993.46,2149,0.1382737741805613,5.577497281134129,0.00073,0.17854534974321723,5.525012969970703,0.1499386727809906,1.1769279551226646,1.6891999244689941,189504,1.1769279551226646,1.6891999244689941,-0.0,0.002605755489639705
205940,-20.30036607,288,0.03888971358537674,92,1008.01,2220,0.10912969859782606,5.614963196218014,0.00073,0.5743253155378625,5.344227313995361,0.19635233283042908,1.0083411949453875,0.5495707988739014,195904,1.0083411949453875,0.5495707988739014,-0.0,0.003171162221406121
212340,-9.476711889999995,292,0.03895493224263191,92,1059.5,2290,0.13656884257216007,5.737389974296093,0.00073,-1.1714083082042634,5.532427787780762,0.17542630434036255,0.7971606921637431,1.294386386871338,202304,0.7971606921637431,1.294386386871338,-0.0,0.0027308346216159407
218740,1.5885716200000044,296,0.03908481076359749,92,1101.27,2361,0.12083147984230891,5.657476983964443,0.00073,0.003965499810874462,5.660887718200684,0.12202693521976471,0.3315111732808873,-0.25493353605270386,208704,0.3315111732808873,-0.25493353605270386,-0.0,0.003359502115927171
223783,8.334384120000003,300,0.039261773228645325,92,1087.7,2417,0.11601999745471403,5.736019469797611,0.00073,-0.047439735382795334,5.381813049316406,0.12792539596557617,0.14678140787873417,0.3656420111656189,213760,0.14678140787873417,0.3656420111656189,-0.0,0.003753258915821789
230183,19.65398559,304,0.039373982697725296,92,1100.75,2489,0.11382917629089206,5.503711275756359,0.00073,-0.23480118997395039,6.01715087890625,0.1550920307636261,-0.2896617939695716,0.4134141504764557,220160,-0.2896617939695716,0.4134141504764557,-0.0,0.003967387950979173
236583,31.814461369999993,308,0.03954198583960533,92,1116.03,2560,0.10694502043770626,5.372139401733875,0.00073,0.20349305600393564,6.085270881652832,0.08914843201637268,-0.579621572047472,0.19881373643875122,226560,-0.579621572047472,0.19881373643875122,-0.0,0.004245354881277308
242780,43.95164324,312,0.03969684615731239,92,1120.76,2629,0.10243526549311355,5.171393297612667,0.00073,0.26405336568132043,4.504615783691406,0.18048392236232758,-1.0335216321982443,0.04363587498664856,232768,-1.0335216321982443,0.04363587498664856,-0.0,0.0044727141576004215
248682,56.82257638000001,316,0.03979795053601265,92,1140.35,2695,0.09445768935256638,5.12430003285408,0.00073,-0.3094734735786915,5.050045490264893,0.10917682200670242,-1.47961990442127,-1.532472848892212,238656,-1.47961990442127,-1.532472848892212,-0.0,0.004244724113959819
254152,71.52530277,320,0.03964005783200264,92,1177.34,2756,0.11567506013670936,4.696142107248306,0.00073,1.079321965109557,5.003108501434326,0.07722216844558716,-1.5901592839509249,-0.908692479133606,244160,-1.5901592839509249,-0.908692479133606,-0.0,0.00386554532815353
259575,86.28943267000001,324,0.039293333888053894,92,1194.68,2815,0.13130217971047387,4.782971657812595,0.00073,-0.6241803469602019,5.048614501953125,0.20194828510284424,-1.8477405686862767,-1.1770013570785522,249536,-1.8477405686862767,-1.1770013570785522,-0.0,0.003916342764568981
