time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/MSE_losses,train/learning_rate,train/ent_coef_loss,train/MSE_loss,train/critic_los,train/actor_loss,train/RL_loss,train/n_updates,train/Main_losses,train/loss,train/Beta,train/ent_coef
351950,228.91845588999996,416,0.03919285908341408,91,1032.68,3839,0.13285960064968094,3.3424519039690495,0.00073,-0.0424747325014323,3.3606457710266113,0.5556377172470093,-6.859292678534985,-6.526216506958008,341952,-6.859292678534985,-6.526216506958008,-0.0,0.005202731525059789
354764,224.31437415999997,420,0.039224766194820404,91,1006.12,3870,0.10933818769990467,3.2292454540729523,0.00073,0.09280372434295714,2.937734842300415,0.027301395311951637,-7.037783391773701,-7.603517055511475,344768,-7.037783391773701,-7.603517055511475,-0.0,0.00559598167455988
358403,224.34414224,424,0.03919917345046997,91,988.28,3911,0.11114917375380173,2.9652468860149384,0.00073,0.20929271774366498,2.7185795307159424,0.34648364782333374,-7.187627337872982,-7.167098045349121,348416,-7.187627337872982,-7.167098045349121,-0.0,0.005510390496056061
360132,214.24345663999998,428,0.03907967731356621,91,953.04,3930,0.24309479151270352,3.0347229428589344,0.00073,-0.7156831508036703,3.0846712589263916,0.1546686738729477,-7.365802243351936,-7.398169994354248,350144,-7.365802243351936,-7.398169994354248,-0.0,0.005374999520427082
363708,215.03915072,432,0.03906555473804474,91,936.49,3969,0.14552767213899642,2.986762672662735,0.00073,0.5951902435626835,2.8692572116851807,0.061897121369838715,-7.560200646519661,-7.545994281768799,353664,-7.560200646519661,-7.545994281768799,-0.0,0.005119061665027402
366708,215.88309821,436,0.039021749049425125,91,924.15,4002,0.19834688369883224,3.0289557985961437,0.00073,-0.6841408074833453,3.2582545280456543,0.04454917088150978,-7.688462048768997,-8.046244621276855,356672,-7.688462048768997,-8.046244621276855,-0.0,0.005497604332049377
370279,216.67918866,440,0.038831621408462524,91,909.14,4042,0.15520302273216657,2.9733240231871605,0.00073,0.3362266574986279,2.8996376991271973,0.036942631006240845,-8.072173111140728,-8.629327774047852,360256,-8.072173111140728,-8.629327774047852,-0.0,0.0055090769456001
373388,218.18290356999995,444,0.038623251020908356,91,900.42,4077,0.34067878461792134,2.771390613168478,0.00073,-0.46332147368229926,3.071380138397217,11.108275413513184,-8.37379902601242,-7.616630554199219,363392,-8.37379902601242,-7.616630554199219,-0.0,0.005571605317527428
376902,222.61195979000004,448,0.03857514634728432,91,897.57,4116,0.13280791431316175,2.678217086941004,0.00073,-0.2888803775422275,2.86448335647583,0.12924271821975708,-8.60134807229042,-8.667176246643066,366912,-8.60134807229042,-8.667176246643066,-0.0,0.005865669896593317
380331,227.8626589,452,0.038429971784353256,91,892.65,4154,0.16762214663322084,2.4380279891192913,0.00073,-0.4853175387252122,2.417820453643799,0.1680397242307663,-8.894564524292946,-8.965906143188477,370304,-8.894564524292946,-8.965906143188477,-0.0,0.005613536566670518
383435,229.52128011000002,456,0.03828595578670502,91,880.91,4188,0.16867379291215912,2.4220248870551586,0.00073,0.18080094107426703,2.122865676879883,0.03973902389407158,-9.049758091568947,-9.220146179199219,373440,-9.049758091568947,-9.220146179199219,-0.0,0.005865625571459532
386884,235.91627404,460,0.038072146475315094,91,881.11,4227,0.325874248315813,2.3967166393995285,0.00073,0.9809181558666751,2.3943681716918945,0.3230246603488922,-9.337653920054436,-8.662111282348633,376896,-9.337653920054436,-8.662111282348633,-0.0,0.00606410919863265
390337,242.98643569,464,0.03807288408279419,91,885.04,4265,0.16490588578744791,2.289064232259989,0.00073,-0.9823740711435676,2.045248508453369,0.03428132086992264,-9.496833518147469,-10.684358596801758,380352,-9.496833518147469,-10.684358596801758,-0.0,0.006024534239259083
393089,242.27074675,468,0.03799358382821083,91,868.68,4296,0.18315054493723437,2.257418405264616,0.00073,0.15928597934544086,2.1313226222991943,0.036773160099983215,-9.868368282914162,-10.755006790161133,383104,-9.868368282914162,-10.755006790161133,-0.0,0.006538952780829277
396517,251.66040547999998,472,0.03779551386833191,91,877.75,4333,0.20169112767325714,2.1250071804970503,0.00073,-0.9656972361262888,2.126339912414551,0.10508809983730316,-10.012418806552887,-9.39406967163086,386496,-10.012418806552887,-9.39406967163086,-0.0,0.006055807971279137
399300,251.42960376,476,0.037665560841560364,91,862.12,4364,0.09890798607375473,2.001890493556857,0.00073,-0.18220961396582425,2.2049779891967773,0.14754536747932434,-10.246111810207367,-9.374981880187988,389312,-10.246111810207367,-9.374981880187988,-0.0,0.005775779703981243
402525,251.93889423999997,480,0.03768381103873253,91,847.57,4398,0.16436577658168972,1.883999042212963,0.00073,-0.5218007377698086,1.7785322666168213,0.09823934733867645,-10.485565543174744,-10.19525146484375,392512,-10.485565543174744,-10.19525146484375,-0.0,0.005871347784704994
405809,252.80469601999997,484,0.037450503557920456,91,832.95,4434,0.3391126127098687,1.880163624882698,0.00073,0.6092988059390336,1.816377878189087,0.10253997147083282,-10.472148060798645,-10.7732515335083,395776,-10.472148060798645,-10.7732515335083,-0.0,0.005848151558893733
408693,250.69724069000003,488,0.03737169876694679,91,818.1,4466,0.1881781117990613,1.8870749548077583,0.00073,0.46454316982999444,1.6916890144348145,0.04700072109699249,-10.959347501397133,-11.614660263061523,398656,-10.959347501397133,-11.614660263061523,-0.0,0.005986976233543828
411615,251.5790763800001,492,0.03733595088124275,91,808.68,4498,0.20702021059696563,1.766649290919304,0.00073,0.14995984267443419,2.0042452812194824,0.07984105497598648,-11.21423551440239,-10.711396217346191,401600,-11.21423551440239,-10.711396217346191,-0.0,0.0056350977247348055
414298,247.83216031999996,496,0.03727070242166519,91,792.03,4528,0.1949367949855514,1.7718813829123974,0.00073,-0.3561980500817299,1.739283800125122,0.2496512234210968,-11.256041958928108,-11.172493934631348,404288,-11.256041958928108,-11.172493934631348,-0.0,0.006277111722738482
416573,253.67896247999997,500,0.0372147299349308,91,799.67,4553,0.22710928844753653,1.710113737732172,0.00073,-0.3392990157008171,1.4089326858520508,0.2463313490152359,-11.071871235966682,-11.193723678588867,406528,-11.071871235966682,-11.193723678588867,-0.0,0.00601751509384485
419781,254.34807698999998,504,0.03718052804470062,91,789.15,4588,0.19892836292274296,1.6656891480088234,0.00073,0.5417338385013863,1.6349902153015137,0.06890325248241425,-11.37311202287674,-10.996253967285156,409792,-11.37311202287674,-10.996253967285156,-0.0,0.005968112520349678
422553,251.70201295000004,508,0.03709591180086136,91,777.27,4618,0.24288206265191548,1.6102185919880867,0.00073,0.5715447762049735,1.8274749517440796,0.1512630581855774,-11.450792074203491,-11.044435501098633,412544,-11.450792074203491,-11.044435501098633,-0.0,0.006060186067770701
425753,255.36903272000004,512,0.03699138015508652,91,776.54,4653,0.2273315709317103,1.5977387949824333,0.00073,0.03848106926307082,1.7726824283599854,0.1974826157093048,-11.79465551674366,-11.836809158325195,415744,-11.79465551674366,-11.836809158325195,-0.0,0.005935524663073011
427692,242.07275937000003,516,0.036980219185352325,91,757.42,4674,0.2730575713212602,1.6774071604013443,0.00073,0.44164052326232195,1.7167389392852783,0.2302110344171524,-12.122683078050613,-11.71670150756836,417664,-12.122683078050613,-11.71670150756836,-0.0,0.005877953262825031
428685,234.09894844,520,0.03698625788092613,91,739.21,4685,0.21705698093865067,1.662597319111228,0.00073,0.22159609256777912,1.639657974243164,0.11554233729839325,-11.90434017777443,-12.056901931762695,418688,-11.90434017777443,-12.056901931762695,-0.0,0.005852217538631521
432655,235.00903749,524,0.03701161965727806,91,742.52,4729,0.21561414108145982,1.5229573119431734,0.00073,0.4820158432703465,1.7137916088104248,0.11132948845624924,-12.097269728779793,-12.375727653503418,422656,-12.097269728779793,-12.375727653503418,-0.0,0.005424878821941093
435941,246.26604563,528,0.03693293407559395,91,758.09,4765,0.2774009383865632,1.587644575163722,0.00073,-0.2807927002431825,1.4895340204238892,0.0285625196993351,-12.204294487833977,-12.646198272705078,425920,-12.204294487833977,-12.646198272705078,-0.0,0.0059031930504716
439164,246.67723360000002,532,0.03690364956855774,91,754.56,4800,0.22252669709268957,1.5266489572823048,0.00073,0.1737688542343676,1.6129252910614014,0.7423808574676514,-12.62623031437397,-13.220707893371582,429120,-12.62623031437397,-13.220707893371582,-0.0,0.006055778176232707
441655,245.89048613000006,536,0.036896511912345886,91,749.47,4828,0.24207463036873378,1.6076488364487886,0.00073,-0.9424550612457097,1.4693331718444824,0.08300221711397171,-12.83617627620697,-12.883075714111328,431616,-12.83617627620697,-12.883075714111328,-0.0,0.006312216864898801
443630,238.74923988000003,540,0.03690283000469208,91,733.51,4850,0.3061941055348143,1.479177014902234,0.00073,0.19338317681103945,1.4560495615005493,0.1412239670753479,-12.813888132572174,-12.928688049316406,433600,-12.813888132572174,-12.928688049316406,-0.0,0.006032346922438592
446685,239.8051993,544,0.036783408373594284,91,732.97,4884,0.2321772245632019,1.4691963009536266,0.00073,0.3186184260994196,1.5988678932189941,0.29744869470596313,-12.96601890027523,-12.142945289611816,436672,-12.96601890027523,-12.142945289611816,-0.0,0.006034255122358445
449879,240.03250184999996,548,0.03669530898332596,91,729.77,4920,0.36429316364228725,1.377535941079259,0.00073,0.8154493083711714,1.3870186805725098,0.1988859623670578,-12.884682580828667,-12.59829330444336,439872,-12.884682580828667,-12.59829330444336,-0.0,0.005760236657806672
452752,238.14016981999998,552,0.03661461919546127,91,724.21,4952,0.27020444185473025,1.407437488436699,0.00073,-0.733298595470842,1.2098002433776855,0.06014326214790344,-13.197243869304657,-13.591176986694336,442752,-13.197243869304657,-13.591176986694336,-0.0,0.005801166800665669
455463,237.21964078000002,556,0.03659724071621895,91,720.28,4982,0.20836972817778587,1.3257126715034246,0.00073,-0.30188869824633,1.3626995086669922,0.10780061781406403,-13.360225826501846,-12.548873901367188,445440,-13.360225826501846,-12.548873901367188,-0.0,0.005719004744605627
458372,235.33657673000002,560,0.03656179457902908,91,714.88,5014,0.2688648581970483,1.3957221247255802,0.00073,-0.35854134685359895,1.407240390777588,0.09724537283182144,-13.425538256764412,-13.230974197387695,448384,-13.425538256764412,-13.230974197387695,-0.0,0.005865233215445187
461559,235.62356674999998,564,0.036504115909338,91,712.22,5049,0.30413953081006184,1.3553123380988836,0.00073,-0.46607022755779326,1.535064935684204,0.896528959274292,-13.534580364823341,-12.321489334106445,451520,-13.534580364823341,-12.321489334106445,-0.0,0.0056437946113874204
464733,240.61707883000003,568,0.0365588404238224,91,716.44,5085,0.27017551485914737,1.3469854705035686,0.00073,-0.04288798768538982,1.2711008787155151,0.16659772396087646,-13.669506072998047,-13.593504905700684,454720,-13.669506072998047,-13.593504905700684,-0.0,0.005900989825022407
466749,232.66369547,572,0.03650105744600296,91,702.32,5107,0.3889599364483729,1.3461205456405878,0.00073,0.49375475756824017,1.2574193477630615,0.2638975977897644,-13.670328006148338,-13.672283172607422,456704,-13.670328006148338,-13.672283172607422,-0.0,0.005816413780848961
469918,236.05538636,576,0.0363922081887722,91,706.18,5142,0.30671194603201,1.3434279058128595,0.00073,0.30162702570669353,1.3149631023406982,0.4589918851852417,-13.8304433375597,-13.408673286437988,459904,-13.8304433375597,-13.408673286437988,-0.0,0.005706068863219116
471543,226.67679384999997,580,0.03635596111416817,91,690.18,5160,0.3939596427953802,1.2867484297603369,0.00073,1.2585026457672939,1.193812608718872,1.2798840999603271,-13.788962289690971,-14.059185028076172,461504,-13.788962289690971,-14.059185028076172,-0.0,0.00573155553865945
472041,209.80046966999998,584,0.036351677030324936,91,662.32,5165,0.4914037878625095,1.4055017214268446,0.00073,-0.4981521568261087,1.4462114572525024,0.15398192405700684,-13.864205718040466,-13.380752563476562,462016,-13.864205718040466,-13.380752563476562,-0.0,0.005709956778446212
474832,209.80244171999996,588,0.03618414327502251,91,661.39,5196,0.3585192100144923,1.3474518582224846,0.00073,-0.5226723715895787,1.396806001663208,0.1380465030670166,-13.68426339328289,-13.722555160522461,464832,-13.68426339328289,-13.722555160522461,-0.0,0.0058022448647534475
477937,212.44998845,592,0.03612696751952171,91,663.22,5231,0.30381587881129235,1.3885259553790092,0.00073,-0.556217554025352,1.3865344524383545,0.1337059736251831,-13.912790805101395,-13.35184383392334,467904,-13.912790805101395,-13.35184383392334,-0.0,0.005791800205770414
481042,217.06773049000003,596,0.03591036796569824,91,667.44,5265,0.3797736453998368,1.3205196522176266,0.00073,0.9870943303685635,1.2252197265625,1.3085200786590576,-14.257290035486221,-14.469212532043457,471040,-14.257290035486221,-14.469212532043457,-0.0,0.005751832148234826
483987,221.41509757999995,600,0.03586363419890404,91,674.14,5298,0.3538344317348674,1.3533129300922155,0.00073,-0.5221200748346746,1.238685131072998,0.16367435455322266,-14.23121201992035,-14.713367462158203,473984,-14.23121201992035,-14.713367462158203,-0.0,0.005805548767966684
487100,221.57357353,604,0.035794034600257874,91,673.19,5332,0.43891611573053524,1.2687619291245937,0.00073,0.4751739256316796,1.183708667755127,0.06405594199895859,-14.521214574575424,-14.686225891113281,477056,-14.521214574575424,-14.686225891113281,-0.0,0.005805636094009969
490199,224.93064206,608,0.035750582814216614,91,676.46,5366,0.3363617293071002,1.2453857846558094,0.00073,-0.4302351626101881,1.462524175643921,1.490585207939148,-14.391964629292488,-14.464853286743164,480192,-14.391964629292488,-14.464853286743164,-0.0,0.005766024434706196
493186,223.17584462,612,0.03568659722805023,91,674.33,5399,0.35683163692010567,1.305311320349574,0.00073,-0.7073046704754233,1.181321382522583,0.050273384898900986,-14.654594779014587,-15.061328887939453,483200,-14.654594779014587,-15.061328887939453,-0.0,0.005741644112276845
496293,237.09759552,616,0.035704582929611206,91,686.01,5433,0.2884325405175332,1.2699064314365387,0.00073,0.03383361524902284,1.2811729907989502,0.05821001157164574,-14.834883466362953,-14.80882453918457,486272,-14.834883466362953,-14.80882453918457,-0.0,0.005748023737396579
499209,249.69031390999996,620,0.035626620054244995,91,705.24,5465,0.18177778800600208,1.2751305736601353,0.00073,0.1303246442694217,1.2103818655014038,0.05818106234073639,-14.78977084159851,-14.97238540649414,489216,-14.78977084159851,-14.97238540649414,-0.0,0.0056804559790180065
