time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/loss,train/RL_loss,train/Beta,train/learning_rate,train/n_updates,train/Main_losses,train/critic_loss,train/actor_loss,train/critic_los,train/MSE_loss,train/MSE_losses
3125,489715,287.4602477,768,156,665.37,-18.4569034576416,-18.4569034576416,0,0.001,480573,-19.63460283082495,2.0361408859666916,-19.63460283082495,0.2861388325691223,3.9132158756256104,4.891491364412955
3143,492461,287.35207772999996,772,156,666.0,-17.61098289489746,-17.61098289489746,0,0.001,483322,-19.611627842352643,2.1227153352989254,-19.611627842352643,2.3703441619873047,9.534809112548828,4.896860193430893
3160,495226,287.49376895,776,156,664.45,-20.41351318359375,-20.41351318359375,0,0.001,486129,-19.722106900802657,1.8453426088251836,-19.722106900802657,0.1311464160680771,3.5741281509399414,4.728446916556973
3177,497987,291.58853429,780,156,670.86,-20.29078483581543,-20.29078483581543,0,0.001,488850,-19.82715785847923,2.059280808168624,-19.82715785847923,9.960776329040527,5.745790958404541,4.897982238517331
3195,500754,291.67112245000004,784,156,671.4,-20.41382598876953,-20.41382598876953,0,0.001,491604,-19.906690728698557,1.894753441129168,-19.906690728698557,0.1246005967259407,7.912600040435791,4.866488408222581
3212,503579,298.38405965,788,156,680.74,-20.954801559448242,-20.954801559448242,0,0.001,494435,-19.919109445710422,1.8733036685734987,-19.919109445710422,0.11127364635467529,6.917301654815674,4.894593605282586
3227,505968,294.92061524,792,156,676.61,-19.679330825805664,-19.679330825805664,0,0.001,496836,-20.001557368650992,2.0742216206229345,-20.001557368650992,0.24494603276252747,3.560357093811035,4.786932927749824
3245,508733,294.86249116,796,156,676.09,-19.467256546020508,-19.467256546020508,0,0.001,499576,-20.097070346677924,2.0078262548931427,-20.097070346677924,1.3911724090576172,8.221864700317383,5.141628174768018
3262,511476,296.43919172,800,156,676.39,-20.003061294555664,-20.003061294555664,0,0.001,502322,-20.22635462721424,2.008012580084642,-20.22635462721424,1.2941563129425049,2.555452346801758,4.810657034964251
3279,514268,303.97848232,804,156,685.69,-19.940187454223633,-19.940187454223633,0,0.001,505150,-20.204794362314026,1.9430930023490538,-20.204794362314026,1.0339303016662598,3.273782253265381,4.779452822532599
3296,516995,304.13355382,808,156,684.52,-19.469148635864258,-19.469148635864258,0,0.001,507866,-20.284956785765562,1.911100654490557,-20.284956785765562,0.6080901622772217,4.954451560974121,5.096347604285587
3314,519729,304.25048983,812,156,683.58,-20.870424270629883,-20.870424270629883,0,0.001,510619,-20.24444542374722,1.9100256894427219,-20.24444542374722,0.25993475317955017,4.943041801452637,4.9172432251101315
3331,522410,306.97591409999995,816,156,684.17,-19.82222557067871,-19.82222557067871,0,0.001,513294,-20.417313845324298,1.695204037068961,-20.417313845324298,0.1968100517988205,1.7622736692428589,4.992298039984195
3348,525163,307.16474035,820,156,683.33,-21.22249984741211,-21.22249984741211,0,0.001,516074,-20.418409307915663,1.9645674925253283,-20.418409307915663,0.10224872827529907,3.487529754638672,5.017781063427911
3365,527835,307.45515172999995,824,156,680.16,-20.58610725402832,-20.58610725402832,0,0.001,518752,-20.497259395100787,2.1939814099277677,-20.497259395100787,0.1865426003932953,2.8826708793640137,4.466037968734115
3379,529833,309.64697201,828,156,681.44,-21.6124267578125,-21.6124267578125,0,0.001,521131,-20.659327720528218,1.8658869815412584,-20.659327720528218,0.2397608458995819,8.037240028381348,4.708387162258376
3391,532091,306.69008181999993,832,156,673.96,-20.44259262084961,-20.44259262084961,0,0.001,523005,-20.575274659366144,1.6551466495411036,-20.575274659366144,9.51019287109375,10.349584579467773,4.9273757852795645
3408,534799,307.05932681,836,156,669.28,-21.307836532592773,-21.307836532592773,0,0.001,525693,-20.664130776427513,1.742403676468056,-20.664130776427513,0.09539686143398285,2.3627519607543945,4.879423004770001
3425,537458,307.13743875,840,156,668.95,-20.64699363708496,-20.64699363708496,0,0.001,528362,-20.694388461617184,1.7841945286851455,-20.694388461617184,0.13377024233341217,3.8395705223083496,4.997988854650284
3442,540129,307.22534669,844,156,667.56,-21.0194091796875,-21.0194091796875,0,0.001,531010,-20.704813490647535,1.7109362114858002,-20.704813490647535,10.232980728149414,2.5893478393554688,4.831215950525724
3459,542820,307.35905756000005,848,156,667.54,-20.78875732421875,-20.78875732421875,0,0.001,533714,-20.7720003729468,2.0233466083449976,-20.7720003729468,10.383886337280273,9.181303977966309,4.734810116770747
3475,545500,307.4231048,852,156,667.0,-21.243080139160156,-21.243080139160156,0,0.001,536375,-20.936724033887174,1.7110401905002144,-20.936724033887174,0.4339302182197571,2.1915066242218018,4.750438971231596
3493,548256,309.48909556,856,156,668.48,-20.060747146606445,-20.060747146606445,0,0.001,539145,-20.93373663172681,1.8724151160834854,-20.93373663172681,1.4539002180099487,2.746591329574585,4.825640237433863
3510,550940,309.4367414,860,156,668.59,-22.196352005004883,-22.196352005004883,0,0.001,541859,-21.02289204176335,1.6926491402057755,-21.02289204176335,0.20216092467308044,6.709804534912109,5.114358965487901
3525,553308,306.88489496,864,156,663.58,-21.393661499023438,-21.393661499023438,0,0.001,544216,-20.997833815617348,1.6103287239256907,-20.997833815617348,0.1725960671901703,1.188226580619812,4.8002485561726695
3542,556014,307.02597105,868,156,662.99,-20.348697662353516,-20.348697662353516,0,0.001,546922,-21.027331684783142,1.5929011863590492,-21.027331684783142,0.15390744805335999,4.243382930755615,4.766029511301936
3558,558674,307.16247144000005,872,156,662.13,-21.94533920288086,-21.94533920288086,0,0.001,549555,-21.213530751403617,1.7116825956717991,-21.213530751403617,0.24752889573574066,5.109896659851074,5.052795522123854
3575,561355,307.26226632,876,157,661.29,-21.370563507080078,-21.370563507080078,0,0.001,552228,-21.18503976524423,1.7797698766870327,-21.18503976524423,0.20526385307312012,6.05686616897583,4.5777438467066585
3590,563800,304.44959628,880,157,658.13,-20.09284782409668,-20.09284782409668,0,0.001,554683,-21.20294697053971,1.675420606843428,-21.20294697053971,9.4718017578125,1.45367431640625,4.543340624981029
3606,566251,301.57715597,884,157,654.97,-21.812753677368164,-21.812753677368164,0,0.001,557128,-21.157401536640368,2.027389867399172,-21.157401536640368,0.2734626531600952,10.659114837646484,4.911946617170054
3623,568964,301.60539474999996,888,157,653.85,-21.606456756591797,-21.606456756591797,0,0.001,559864,-21.156922777493794,2.1025412557591197,-21.156922777493794,10.065019607543945,14.734538078308105,5.200809975287744
3637,571251,301.58303588,892,157,652.83,-20.69430160522461,-20.69430160522461,0,0.001,562138,-21.090483834402903,1.7711759320859397,-21.090483834402903,0.14436569809913635,1.9811614751815796,4.647432967424392
3654,573952,301.73712365000006,896,157,652.19,-21.579635620117188,-21.579635620117188,0,0.001,564856,-21.145520387693892,2.0077122371145633,-21.145520387693892,0.11028431355953217,2.754342555999756,4.976419642394365
3671,576672,301.72645556,900,157,651.96,-20.249465942382812,-20.249465942382812,0,0.001,567563,-21.176719382149834,1.7464013410872978,-21.176719382149834,0.3089789152145386,4.584046363830566,4.840567142452512
3688,579341,301.88517644,904,157,650.73,-21.114442825317383,-21.114442825317383,0,0.001,570261,-21.288606303696184,1.8489304523172245,-21.288606303696184,0.6395913362503052,12.7207612991333,4.993742703130958
3704,582083,301.92346968,908,157,650.88,-21.806598663330078,-21.806598663330078,0,0.001,572948,-21.377764137657554,2.3559515728327156,-21.377764137657554,8.63880729675293,1.2187786102294922,4.917694550555748
3721,584752,302.06312412,912,157,650.23,-21.904191970825195,-21.904191970825195,0,0.001,575639,-21.252040416270763,1.7118593386780734,-21.252040416270763,10.335567474365234,7.220518589019775,4.696069312883211
3734,586828,298.11163813,916,157,644.18,-21.60736083984375,-21.60736083984375,0,0.001,577742,-21.299564868661932,2.0252203176141323,-21.299564868661932,0.31912437081336975,3.0450525283813477,4.89049410441851
3751,589463,298.20404207999997,920,157,643.0,-21.601625442504883,-21.601625442504883,0,0.001,580364,-21.434760048845344,1.9766977862177597,-21.434760048845344,10.994508743286133,3.9637184143066406,4.690736267633946
3766,591911,295.62206467000004,924,157,640.76,-22.245670318603516,-22.245670318603516,0,0.001,582793,-21.318399767903887,2.0108897697230033,-21.318399767903887,0.1984209418296814,11.429183006286621,4.913886617803009
3782,594550,301.5670491,928,157,647.17,-21.384052276611328,-21.384052276611328,0,0.001,585446,-21.44503180870643,1.921819186491462,-21.44503180870643,0.24427974224090576,5.35815954208374,4.861647754449111
3799,596766,300.88162844,932,157,646.75,-21.799571990966797,-21.799571990966797,0,0.001,588161,-21.43200063423292,2.046942337394069,-21.43200063423292,0.5726569890975952,4.374510288238525,5.0422347055737085
3813,599497,300.88629901,936,157,646.98,-22.07179832458496,-22.07179832458496,0,0.001,590391,-21.459067104819294,2.053549507928421,-21.459067104819294,0.5113047361373901,3.065201759338379,4.580160813774177
3830,602221,300.88475717,940,157,647.63,-20.605173110961914,-20.605173110961914,0,0.001,593106,-21.356620471593644,1.8853939925794794,-21.356620471593644,0.6873394250869751,3.4481422901153564,5.02144275285453
3847,604842,300.93891052000004,944,157,647.13,-22.262025833129883,-22.262025833129883,0,0.001,595749,-21.436683613577006,2.054936520382188,-21.436683613577006,0.12852492928504944,2.940692186355591,5.24300801128517
3864,607512,300.86922791,948,157,646.92,-21.640731811523438,-21.640731811523438,0,0.001,598426,-21.472938583696717,1.906883527904614,-21.472938583696717,1.3003675937652588,2.2065768241882324,4.690110499765217
3880,610139,300.83455112,952,157,646.39,-21.404882431030273,-21.404882431030273,0,0.001,601053,-21.536473092715905,1.6705852719614693,-21.536473092715905,0.21454820036888123,2.8710758686065674,5.0739624799198255
3897,612823,300.94942394000003,956,157,645.67,-21.667949676513672,-21.667949676513672,0,0.001,603722,-21.45662012650974,2.230912720258022,-21.45662012650974,0.10039116442203522,8.879156112670898,5.19017017884095
3913,615539,300.9490976,960,157,645.99,-21.988441467285156,-21.988441467285156,0,0.001,606424,-21.528084589782374,2.0094084119497064,-21.528084589782374,8.379043579101562,1.520756483078003,4.77487257389383
3930,617676,299.39097282,964,157,643.68,-22.068307876586914,-22.068307876586914,0,0.001,609167,-21.571635353494678,1.8452091245214555,-21.571635353494678,0.5732877850532532,4.368271827697754,4.569072563090973
