rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/std,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef,train/loss,train/learning_rate,train/Main_losses,train/n_updates,train/MSE_loss,train/ent_coef_loss,train/critic_loss,train/RL_loss,train/MSE_losses,train/Beta,train/critic_los,train/actor_loss
-99.98502719000003,63974,120,0.04042446240782738,546.42,100,637,0.0017514485807623714,3.5101168155670166,0.00073,2.8794113267213106,53952,8.415858268737793,0.8032059236429632,0.13804710580734536,3.5101168155670166,8.829213872551918,0.0,0.059983305633068085,2.8794113267213106
-99.51365197000001,64507,124,0.04035012796521187,543.35,100,644,0.0017070974827220198,3.099813461303711,0.00073,3.096504982560873,54464,8.015958786010742,0.11548200296238065,0.18674821127206087,3.099813461303711,8.26708897948265,0.0,0.22710995376110077,3.096504982560873
-98.87002455999999,64861,128,0.04032142832875252,544.02,99,649,0.0017531520807096967,3.5887885093688965,0.00073,3.4127381406724453,54848,8.682029724121094,1.562274188734591,0.20406000455841422,3.5887885093688965,8.220105312764645,0.0,0.1829751878976822,3.4127381406724453
-98.22592834000001,65372,132,0.04033180698752403,544.21,99,656,0.0018275223210366676,4.243247985839844,0.00073,3.6558096148073673,55360,9.039665222167969,1.262816147878766,0.23115140316076577,4.243247985839844,8.360730618238449,0.0,0.22327920794487,3.6558096148073673
-96.73515445000004,70235,136,0.04013875499367714,589.08,98,714,0.002057587607851019,4.219078063964844,0.00073,3.5285021290183067,60224,8.229063034057617,-0.7543525430373847,0.15710111585212871,4.219078063964844,8.124537892639637,0.0,0.2196274697780609,3.5285021290183067
-94.97783886,73626,140,0.039535041898489,619.46,97,751,0.0017523994611110538,2.8806700706481934,0.00073,3.319081675261259,63616,8.498147964477539,-0.5093633932992816,0.12984542973572388,2.8806700706481934,8.16566727310419,0.0,0.06336355209350586,3.319081675261259
-94.15584946999999,75860,144,0.039160456508398056,638.55,97,776,0.0017545345126563916,3.034224033355713,0.00073,3.541676379740238,65856,8.605192184448242,0.259892029222101,0.13999459682963789,3.034224033355713,8.138258524239063,-0.0,0.07502637803554535,3.541676379740238
-91.47539487999998,82260,148,0.038276273757219315,696.76,96,848,0.001649771544180112,4.820641994476318,0.00073,3.1789868716150522,72256,7.41447639465332,-1.0244379905052483,0.10170118050882593,4.820641994476318,7.892990671098232,-0.0,0.12027084082365036,3.1789868716150522
-88.56058892000001,87419,152,0.037803467363119125,742.9,96,904,0.0016572548156545963,3.5803301334381104,0.00073,3.0437425933778286,77376,8.46295166015625,0.05280263256281614,0.10255283332662657,3.5803301334381104,7.977326907217503,-0.0,0.07592331618070602,3.0437425933778286
-84.81554347000002,92329,156,0.037205565720796585,778.46,96,958,0.0016529009535588557,2.5840282440185547,0.00073,2.8492915127426386,82304,8.438623428344727,-0.2674109496874735,0.12128938027308322,2.5840282440185547,8.106254689395428,-0.0,0.02723175846040249,2.8492915127426386
-82.46677255,97246,160,0.036851633340120316,769.3,95,1017,0.0016670376062393188,3.1529130935668945,0.00073,2.74470454454422,87232,7.928859233856201,-0.32639126805588603,0.11971084534889087,3.1529130935668945,8.040461763739586,-0.0,0.042066629976034164,2.74470454454422
-80.08560562,102171,164,0.03642992675304413,785.27,94,1082,0.0015370261789939832,1.7099716663360596,0.00073,2.587217452004552,92160,8.575886726379395,-1.4843161622993648,0.09492746222531423,1.7099716663360596,8.130250461399555,-0.0,0.06742466241121292,2.587217452004552
-77.55756221,107118,168,0.036004893481731415,832.07,93,1143,0.001428164059689152,2.917876958847046,0.00073,2.51917159371078,97088,8.139873504638672,-0.33944168221205473,0.13293965865159407,2.917876958847046,8.211114004254341,-0.0,0.08229093253612518,2.51917159371078
-75.47590708000001,111214,172,0.03563286364078522,841.65,93,1188,0.0014826389924564864,2.1729865074157715,0.00073,2.508508786559105,101184,8.430883407592773,0.8123442854266614,0.1446382645808626,2.1729865074157715,8.380928382277489,-0.0,0.16363877058029175,2.508508786559105
