time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
168,0.0479905791580677,110030,900.77,1137,96,136.1313691,-9.755758285522461,0.00578498267714167,-9.66399684548378,2.997415542602539,100032,-9.755758285522461,-9.66399684548378,2.5994348786771297,-0.23322294815443456,0,0.16657167463563383,0.05270109698176384,0.00073
172,0.04775102436542511,113698,904.83,1178,96,152.16162777000002,-9.208024978637695,0.005611194726952817,-10.040643513202667,2.8540449142456055,103680,-9.208024978637695,-10.040643513202667,2.455209892243147,-0.16575781861320138,0,0.21243743691593409,0.277677059173584,0.00073
176,0.04756256192922592,116831,901.2,1214,96,165.32880312,-11.390275955200195,0.005671896142303012,-10.316280856728554,4.489095687866211,106816,-11.390275955200195,-10.316280856728554,2.4360756762325764,0.9001459996215999,0,0.213964200404007,0.0711195096373558,0.00073
180,0.047369055449962616,120173,923.51,1252,95,181.52169895,-9.886617660522461,0.0057781997820711695,-10.517992615699768,1.6513783931732178,110144,-9.886617660522461,-10.517992615699768,2.462232790887356,-0.012479804921895266,0,0.3084918720414862,0.2173537313938141,0.00073
184,0.04724251478910446,122805,938.9,1281,95,194.36769904000002,-10.952744483947754,0.005789315597212408,-10.792155608534813,2.0111336708068848,112768,-10.952744483947754,-10.792155608534813,2.4544635862112045,0.09030081750825047,0,0.25836737017380074,0.9230160713195801,0.00073
188,0.04712235927581787,125166,931.33,1308,95,201.13564463000003,-11.33422565460205,0.005834735646203626,-10.674999102950096,1.7918519973754883,115136,-11.33422565460205,-10.674999102950096,2.295957278460264,0.3617776969913393,0,0.31437182024819776,0.1174476146697998,0.00073
192,0.046995896846055984,127791,942.05,1338,95,211.55100771999997,-9.694036483764648,0.0060076232693973,-10.98435752093792,3.4325432777404785,117760,-9.694036483764648,-10.98435752093792,2.4849595241248608,0.5181851177476346,0,0.3710162030765787,0.28396180272102356,0.00073
196,0.04698736220598221,130332,910.46,1367,95,218.56070074000002,-12.089393615722656,0.006318483341601677,-11.143229320645332,1.7978236675262451,120320,-12.089393615722656,-11.143229320645332,2.4033680763095617,0.3087232483085245,0,0.30110879411222413,0.05902666971087456,0.00073
200,0.04697754606604576,132168,871.86,1388,95,218.07789777000002,-11.851202011108398,0.00653414340922609,-11.061038807034492,2.7214584350585938,122176,-11.851202011108398,-11.061038807034492,2.414351062849164,-0.15275259199552238,0,0.31681055773515254,0.09878972172737122,0.00073
204,0.04698837548494339,133114,818.42,1398,95,205.8260561,-11.640340805053711,0.00645614729000954,-11.159757614135742,3.0643868446350098,123072,-11.640340805053711,-11.159757614135742,2.5193063970655203,1.149637758731842,0,0.403584819403477,0.22954446077346802,0.00073
208,0.046744104474782944,135574,805.76,1426,95,209.08823926000002,-9.854050636291504,0.0066600803402252495,-11.053727895021439,2.3865346908569336,125568,-9.854050636291504,-11.053727895021439,2.4301744867116213,0.2682342684129253,0,0.4190060184337199,0.6750397682189941,0.00073
212,0.04677407816052437,138221,776.13,1455,94,205.37879954000005,-10.121430397033691,0.006801093011745252,-11.20599864423275,1.6499505043029785,128192,-10.121430397033691,-11.20599864423275,2.3592478465288877,-0.7245386755093932,0,0.45464781660120934,0.381971538066864,0.00073
216,0.046674251556396484,140619,759.88,1483,94,203.75254896,-10.975350379943848,0.006636408594204113,-11.428012520074844,1.9401451349258423,130624,-10.975350379943848,-11.428012520074844,2.4082811009138823,0.3761836960911751,0,0.4652195714879781,0.13297311961650848,0.00073
220,0.046491965651512146,142877,761.57,1508,94,209.17708044,-10.536088943481445,0.0067317367502255365,-11.420601159334183,2.939448595046997,132864,-10.536088943481445,-11.420601159334183,2.248802375048399,0.08924036659300327,0,0.3826117351418361,0.07155308127403259,0.00073
224,0.04632003232836723,145169,748.62,1534,94,208.02221138000004,-10.755499839782715,0.006710061054036487,-11.315015703439713,6.20035982131958,135168,-10.755499839782715,-11.315015703439713,2.355918478220701,0.0781404715962708,0,0.4260150895570405,0.19713351130485535,0.00073
