time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/MSE_loss,train/Beta,train/learning_rate,train/loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/Main_losses,train/RL_loss,train/actor_loss,train/MSE_losses,train/critic_los
741,66639,89,196,500.0,500.0,1.3876996040344238,0,0.001,-91.88362121582031,-0.9668800830841064,0.005985874217003584,66538,0.6528269052505493,-91.88362121582031,-91.88362121582031,-91.88362121582031,1.3876996040344238,0.6528269052505493
763,68639,89,200,500.0,500.0,1.4608981609344482,0,0.001,-93.73087310791016,0.4703642725944519,0.005554185714572668,68538,0.03735896944999695,-93.73087310791016,-93.73087310791016,-93.73087310791016,1.4608981609344482,0.03735896944999695
786,70639,89,204,500.0,500.0,0.9543251991271973,0,0.001,-93.45278930664062,-0.9130993485450745,0.006888660602271557,70538,0.06915368139743805,-93.45278930664062,-93.45278930664062,-93.45278930664062,0.9543251991271973,0.06915368139743805
805,72402,89,208,497.63,497.63,1.1601026058197021,0,0.001,-93.9052963256836,-0.2659524083137512,0.006319983396679163,72301,0.050179623067379,-93.9052963256836,-93.9052963256836,-93.9052963256836,1.1601026058197021,0.050179623067379
828,74402,89,212,497.63,497.63,1.177159070968628,0,0.001,-93.95736694335938,0.42207568883895874,0.006035333499312401,74301,0.047588106244802475,-93.95736694335938,-93.95736694335938,-93.95736694335938,1.177159070968628,0.047588106244802475
850,76402,89,216,497.63,497.63,1.2318036556243896,0,0.001,-94.49734497070312,-0.29707908630371094,0.004854943603277206,76301,0.13491611182689667,-94.49734497070312,-94.49734497070312,-94.49734497070312,1.2318036556243896,0.13491611182689667
872,78402,89,220,497.63,497.63,1.2283967733383179,0,0.001,-94.95755767822266,-0.46879488229751587,0.004753395449370146,78301,0.11200132966041565,-94.95755767822266,-94.95755767822266,-94.95755767822266,1.2283967733383179,0.11200132966041565
894,80402,89,224,497.63,497.63,1.216664433479309,0,0.001,-94.03265380859375,0.21951016783714294,0.004187838174402714,80301,0.7286895513534546,-94.03265380859375,-94.03265380859375,-94.03265380859375,1.216664433479309,0.7286895513534546
917,82402,89,228,497.63,497.63,1.278077244758606,0,0.001,-95.7628402709961,-0.14417912065982819,0.003434577025473118,82301,0.01766052469611168,-95.7628402709961,-95.7628402709961,-95.7628402709961,1.278077244758606,0.01766052469611168
933,83846,89,232,492.07,492.07,1.203168511390686,0,0.001,-94.50172424316406,1.1848280429840088,0.004327797330915928,83745,0.18741768598556519,-94.50172424316406,-94.50172424316406,-94.50172424316406,1.203168511390686,0.18741768598556519
955,85846,89,236,492.07,492.07,1.2452783584594727,0,0.001,-96.37944030761719,-0.38068172335624695,0.005210069473832846,85745,0.04428383335471153,-96.37944030761719,-96.37944030761719,-96.37944030761719,1.2452783584594727,0.04428383335471153
968,86998,89,240,483.59,483.59,1.281243085861206,0,0.001,-95.76033020019531,3.3931198120117188,0.005195315927267075,86897,0.2023276835680008,-95.76033020019531,-95.76033020019531,-95.76033020019531,1.281243085861206,0.2023276835680008
988,88761,89,244,481.22,481.22,1.2567596435546875,0,0.001,-96.63563537597656,-1.5443084239959717,0.006521088536828756,88660,0.03731486201286316,-96.63563537597656,-96.63563537597656,-96.63563537597656,1.2567596435546875,0.03731486201286316
1007,90541,89,248,479.02,479.02,1.3751332759857178,0,0.001,-96.609619140625,-0.3256409466266632,0.011012332513928413,90440,0.04778982698917389,-96.609619140625,-96.609619140625,-96.609619140625,1.3751332759857178,0.04778982698917389
1030,92541,89,252,479.02,479.02,1.3988018035888672,0,0.001,-96.8213119506836,0.4450402855873108,0.012213056907057762,92440,0.0553133599460125,-96.8213119506836,-96.8213119506836,-96.8213119506836,1.3988018035888672,0.0553133599460125
1046,94013,89,256,473.74,473.74,1.326828956604004,0,0.001,-97.68125915527344,-0.34437596797943115,0.019472042098641396,93912,0.09335033595561981,-97.68125915527344,-97.68125915527344,-97.68125915527344,1.326828956604004,0.09335033595561981
1062,95471,89,260,468.32,468.32,1.3049027919769287,0,0.001,-96.12854766845703,-0.0676971971988678,0.0049075717106461525,95370,0.34255915880203247,-96.12854766845703,-96.12854766845703,-96.12854766845703,1.3049027919769287,0.34255915880203247
1082,97255,89,264,466.16,466.16,1.517883539199829,0,0.001,-97.2860336303711,-0.889398455619812,0.010027521289885044,97154,0.2917633652687073,-97.2860336303711,-97.2860336303711,-97.2860336303711,1.517883539199829,0.2917633652687073
1104,99255,89,268,466.16,466.16,1.4101166725158691,0,0.001,-97.58673095703125,0.28617480397224426,0.0076395440846681595,99154,0.04310324788093567,-97.58673095703125,-97.58673095703125,-97.58673095703125,1.4101166725158691,0.04310324788093567
1127,101255,89,272,466.16,466.16,1.4180948734283447,0,0.001,-96.52284240722656,-1.3023124933242798,0.010284896939992905,101154,0.4988865852355957,-96.52284240722656,-96.52284240722656,-96.52284240722656,1.4180948734283447,0.4988865852355957
1149,103237,89,276,465.98,465.98,1.3737248182296753,0,0.001,-98.03880310058594,-1.6322027444839478,0.0034898414742201567,103136,0.02197599969804287,-98.03880310058594,-98.03880310058594,-98.03880310058594,1.3737248182296753,0.02197599969804287
1160,104212,89,280,455.73,455.73,1.291030764579773,0,0.001,-95.26032257080078,-0.3247978389263153,0.006426273379474878,104111,0.2668825387954712,-95.26032257080078,-95.26032257080078,-95.26032257080078,1.291030764579773,0.2668825387954712
