time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/Beta,train/loss,train/RL_loss,train/ent_coef,train/MSE_loss,train/learning_rate,train/n_updates,train/critic_los,train/MSE_losses,train/Main_losses,train/actor_loss,train/critic_loss
101762,1139,89,496.25,264,496.25,-0.12713539600372314,0,-98.69864654541016,-98.69864654541016,0.012113797478377819,1.4252734184265137,0.001,101661,0.02960088849067688,1.4252734184265137,-98.69864654541016,-98.69864654541016,0.02960088849067688
103762,1162,89,496.25,268,496.25,0.014929618686437607,0,-97.5547866821289,-97.5547866821289,0.013672752305865288,1.3865547180175781,0.001,103661,0.08254387974739075,1.3865547180175781,-97.5547866821289,-97.5547866821289,0.08254387974739075
105762,1184,89,496.25,272,496.25,-1.0374078750610352,0,-98.3406982421875,-98.3406982421875,0.015803620219230652,1.5153309106826782,0.001,105661,0.06952310353517532,1.5153309106826782,-98.3406982421875,-98.3406982421875,0.06952310353517532
107762,1207,89,496.25,276,496.25,-0.5157768130302429,0,-100.81254577636719,-100.81254577636719,0.02034550905227661,1.4446567296981812,0.001,107661,0.08103375136852264,1.4446567296981812,-100.81254577636719,-100.81254577636719,0.08103375136852264
109762,1229,89,496.25,280,496.25,0.5708529353141785,0,-98.6715087890625,-98.6715087890625,0.011591410264372826,1.5759027004241943,0.001,109661,0.20461884140968323,1.5759027004241943,-98.6715087890625,-98.6715087890625,0.20461884140968323
111762,1252,89,496.25,284,496.25,-0.21136607229709625,0,-99.80818939208984,-99.80818939208984,0.01660412736237049,1.6046490669250488,0.001,111661,0.07617644965648651,1.6046490669250488,-99.80818939208984,-99.80818939208984,0.07617644965648651
113430,1270,89,492.93,288,492.93,-1.313246488571167,0,-100.16685485839844,-100.16685485839844,0.012321947142481804,1.4414476156234741,0.001,113329,0.039035893976688385,1.4414476156234741,-100.16685485839844,-100.16685485839844,0.039035893976688385
115430,1293,89,492.93,292,492.93,-0.07271049916744232,0,-99.39012908935547,-99.39012908935547,0.008422911167144775,1.4407858848571777,0.001,115329,0.11253507435321808,1.4407858848571777,-99.39012908935547,-99.39012908935547,0.11253507435321808
117017,1311,89,488.8,296,488.8,2.383638381958008,0,-100.13079833984375,-100.13079833984375,0.009420712478458881,1.281456708908081,0.001,116916,0.4922526478767395,1.281456708908081,-100.13079833984375,-100.13079833984375,0.4922526478767395
119017,1333,89,488.8,300,488.8,-0.562728762626648,0,-99.03173828125,-99.03173828125,0.007478286977857351,1.197554111480713,0.001,118916,0.11798723042011261,1.197554111480713,-99.03173828125,-99.03173828125,0.11798723042011261
