time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/Beta,train/actor_loss,train/critic_los,train/MSE_loss,train/MSE_losses,train/RL_loss,train/Main_losses,train/loss,train/n_updates,train/learning_rate,train/critic_loss
161,5.87,923,149375,5.87,25616,-0.0,-3.1731227238972983,0.04257071763277054,1.6510473489761353,1.6952600081761677,-3.227999687194824,-3.1731227238972983,-3.227999687194824,149273,0.001,0.046272985016306244
161,5.86,923,149398,5.86,25620,-0.0,-3.240083932876587,0.04310872405767441,1.610844373703003,1.6266576846440632,-3.27705717086792,-3.240083932876587,-3.27705717086792,149296,0.001,0.045236529471973576
161,5.86,923,149420,5.86,25624,-0.0,-3.0949289004007974,0.020872285589575768,1.768437147140503,1.7241848309834797,-2.95906662940979,-3.0949289004007974,-2.95906662940979,149318,0.001,0.03854052691409985
161,5.87,923,149444,5.87,25628,-0.0,-3.315694570541382,0.04397818073630333,1.7742470502853394,1.6366630792617798,-3.0324113368988037,-3.315694570541382,-3.0324113368988037,149342,0.001,0.0473344282557567
161,5.86,924,149467,5.86,25632,-0.0,-3.344034194946289,0.02394058182835579,1.6350466012954712,1.6297529538472493,-3.270784616470337,-3.344034194946289,-3.270784616470337,149366,0.001,0.04916542458037535
161,5.86,924,149491,5.86,25636,-0.0,-3.3039348125457764,0.07725944370031357,1.6199383735656738,1.6075220505396526,-3.214614152908325,-3.3039348125457764,-3.214614152908325,149389,0.001,0.05943197198212147
161,5.86,924,149515,5.86,25640,-0.0,-3.382045030593872,0.054686516523361206,1.6817787885665894,1.631795088450114,-3.303410053253174,-3.382045030593872,-3.303410053253174,149413,0.001,0.04764731631924709
161,5.83,924,149537,5.83,25644,-0.0,-3.2126434644063315,0.08290708810091019,1.585103988647461,1.66012175877889,-3.4092092514038086,-3.2126434644063315,-3.4092092514038086,149435,0.001,0.052708448842167854
161,5.83,924,149561,5.83,25648,-0.0,-3.3700455029805503,0.02846710756421089,1.6179523468017578,1.6271403630574544,-3.387162446975708,-3.3700455029805503,-3.387162446975708,149459,0.001,0.03863238481183847
161,5.83,924,149584,5.83,25652,-0.0,-3.42634646097819,0.05098302662372589,1.6710572242736816,1.6088625192642212,-3.265221118927002,-3.42634646097819,-3.265221118927002,149482,0.001,0.03700780806442102
161,5.8,924,149605,5.8,25656,-0.0,-3.3801515102386475,0.021912330761551857,1.616674780845642,1.6072179476420085,-3.367523670196533,-3.3801515102386475,-3.367523670196533,149504,0.001,0.030166924372315405
161,5.81,925,149630,5.81,25660,-0.0,-3.2541770140329995,0.05265270173549652,1.6691464185714722,1.6587350765864055,-3.3780577182769775,-3.2541770140329995,-3.3780577182769775,149528,0.001,0.038499899208545685
161,5.82,925,149654,5.82,25664,-0.0,-3.383490562438965,0.02794281207025051,1.645256757736206,1.6232335170110066,-3.3209099769592285,-3.383490562438965,-3.3209099769592285,149552,0.001,0.03392985121657451
161,5.82,925,149677,5.82,25668,-0.0,-3.3455020586649575,0.048836302012205124,1.5524145364761353,1.6231151819229126,-3.429030179977417,-3.3455020586649575,-3.429030179977417,149576,0.001,0.04383620712906122
161,5.83,925,149701,5.83,25672,-0.0,-3.248056173324585,0.04964165389537811,1.6806578636169434,1.6482821305592854,-3.1467552185058594,-3.248056173324585,-3.1467552185058594,149599,0.001,0.042172474786639214
161,5.83,925,149724,5.83,25676,-0.0,-3.306816498438517,0.05205215513706207,1.6880604028701782,1.6421453952789307,-3.291947603225708,-3.306816498438517,-3.291947603225708,149622,0.001,0.047646912187337874
161,5.83,925,149748,5.83,25680,-0.0,-3.2228683630625405,0.04039467126131058,1.593933343887329,1.6453773578008015,-3.349790573120117,-3.2228683630625405,-3.349790573120117,149646,0.001,0.048433649664123855
161,5.83,925,149771,5.83,25684,-0.0,-3.3192672729492188,0.026263248175382614,1.6359766721725464,1.6359516779581706,-3.4172074794769287,-3.3192672729492188,-3.4172074794769287,149670,0.001,0.04040189522008101
161,5.83,926,149793,5.83,25688,-0.0,-3.4396754105885825,0.030547145754098892,1.5569307804107666,1.566967288653056,-3.38285756111145,-3.4396754105885825,-3.38285756111145,149692,0.001,0.03225471079349518
161,5.85,926,149817,5.85,25692,-0.0,-3.2339347998301187,0.04327017813920975,1.691941738128662,1.6450025240580242,-3.109145164489746,-3.2339347998301187,-3.109145164489746,149715,0.001,0.04211760343362888
161,5.85,926,149841,5.85,25696,-0.0,-3.26279354095459,0.02579186111688614,1.711952805519104,1.6456507841746013,-3.1146209239959717,-3.26279354095459,-3.1146209239959717,149739,0.001,0.03304529065887133
161,5.85,926,149865,5.85,25700,-0.0,-3.3740840752919516,0.020606007426977158,1.6505504846572876,1.596579949061076,-3.3269243240356445,-3.3740840752919516,-3.3269243240356445,149763,0.001,0.05375398136675358
161,5.86,926,149889,5.86,25704,-0.0,-3.452717383702596,0.06128879636526108,1.554173231124878,1.590060035387675,-3.551422595977783,-3.452717383702596,-3.551422595977783,149787,0.001,0.06343363411724567
161,5.85,926,149912,5.85,25708,-0.0,-3.4612631797790527,0.03700951486825943,1.62184476852417,1.5809356768925984,-3.432243585586548,-3.4612631797790527,-3.432243585586548,149811,0.001,0.03704799525439739
161,5.85,927,149936,5.85,25712,-0.0,-3.2938249111175537,0.04133796691894531,1.6646533012390137,1.6156425873438518,-3.159306049346924,-3.2938249111175537,-3.159306049346924,149834,0.001,0.044560174147288
161,5.84,927,149959,5.84,25716,-0.0,-3.2393107414245605,0.036197442561388016,1.61906898021698,1.6675577561060588,-3.398785352706909,-3.2393107414245605,-3.398785352706909,149857,0.001,0.05134754876295725
161,5.85,927,149983,5.85,25720,-0.0,-3.2721282641092935,0.07604512572288513,1.6525475978851318,1.6560450792312622,-3.2856340408325195,-3.2721282641092935,-3.2856340408325195,149881,0.001,0.04459494880090157
