rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/critic_los,train/Beta,train/MSE_losses,train/loss,train/actor_loss,train/Main_losses,train/n_updates,train/MSE_loss,train/critic_loss,train/RL_loss,train/learning_rate
200.0,-192.96417383,203,29600,145,148,2.3412599563598633,0,2.2322973823547363,44.9084358215332,44.53430044174194,44.53430044174194,19400,2.0329267978668213,3.973455232977867,44.9084358215332,0.001
200.0,-152.60759804,201,30400,151,152,1.585749626159668,0,2.182665801048279,46.44561004638672,43.937574520111085,43.937574520111085,20200,2.5138659477233887,3.9231380933523177,46.44561004638672,0.001
200.0,-146.07834528,198,31200,156,156,4.012324810028076,0,2.1417576205730438,37.43335723876953,41.81042749404907,41.81042749404907,21000,2.550861358642578,3.4644790053367616,37.43335723876953,0.001
200.0,-144.58723009,196,32000,162,160,4.433899879455566,0,2.230205856561661,41.617225646972656,42.602818145751954,42.602818145751954,21800,2.2621777057647705,3.8243643474578857,41.617225646972656,0.001
200.0,-143.16006456000002,194,32800,168,164,6.4856672286987305,0,2.1404385137557984,39.527565002441406,40.14304498672485,40.14304498672485,22600,2.323960065841675,3.6264521649479864,39.527565002441406,0.001
200.0,-145.34992905000001,192,33600,174,168,10.635351181030273,0,2.217706207036972,47.74324035644531,40.67264482498169,40.67264482498169,23400,2.2904744148254395,3.2539118444919586,47.74324035644531,0.001
200.0,-139.68764304,191,34400,180,172,1.0983257293701172,0,2.260536652803421,33.677669525146484,39.51565874099732,39.51565874099732,24200,2.4226760864257812,3.307117775976658,33.677669525146484,0.001
200.0,-139.56631357,189,35200,185,176,1.3369076251983643,0,2.2572178292274474,25.892990112304688,39.00888050079346,39.00888050079346,25000,2.2894537448883057,3.6035741618275643,25.892990112304688,0.001
200.0,-139.47657476999998,187,36000,191,180,1.8306119441986084,0,2.262204426527023,48.759090423583984,39.0353650856018,39.0353650856018,25800,2.2561488151550293,2.836805998980999,48.759090423583984,0.001
200.0,-139.64598321000003,186,36800,197,184,3.166642189025879,0,2.3481477999687197,45.74061584472656,37.21201465606689,37.21201465606689,26600,2.0708208084106445,2.5802685940265655,45.74061584472656,0.001
200.0,-139.77620686,185,37600,203,188,6.894374847412109,0,2.3395249152183535,39.9866943359375,36.66931983947754,36.66931983947754,27400,2.1495094299316406,3.463450662791729,39.9866943359375,0.001
200.0,-137.61524556999998,183,38400,208,192,1.1797120571136475,0,2.3418805038928987,31.533483505249023,37.31484104156494,37.31484104156494,28200,2.806570053100586,2.908739824742079,31.533483505249023,0.001
200.0,-135.02187575,182,39200,214,196,0.7410979270935059,0,2.340415598154068,32.37075424194336,35.28560127258301,35.28560127258301,29000,2.0685946941375732,3.3064704304933548,32.37075424194336,0.001
200.0,-135.8739492,181,40000,220,200,1.2292194366455078,0,2.341076799631119,49.534969329833984,35.95841386795044,35.95841386795044,29800,2.293119430541992,2.8623955702781676,49.534969329833984,0.001
200.0,-140.65485911999997,180,40800,226,204,1.876070261001587,0,2.3431430685520174,33.98337173461914,34.748030796051026,34.748030796051026,30600,2.2154946327209473,3.0514863654971123,33.98337173461914,0.001
200.0,-143.16410711,179,41600,232,208,1.5432956218719482,0,2.3770989918708803,30.42280387878418,35.074095458984374,35.074095458984374,31400,3.18914532661438,2.961690071225166,30.42280387878418,0.001
200.0,-141.77754453,178,42400,237,212,2.7652835845947266,0,2.1899511468410493,41.31522750854492,35.59727029800415,35.59727029800415,32200,2.064596176147461,2.6623221096396446,41.31522750854492,0.001
200.0,-141.83779081,177,43200,243,216,4.438983917236328,0,2.3531519138813017,34.910640716552734,34.3274977684021,34.3274977684021,33000,2.454026937484741,2.8377510046958925,34.910640716552734,0.001
200.0,-146.57565308,176,44000,249,220,1.2272670269012451,0,2.2604789876937867,36.630802154541016,34.278939037323,34.278939037323,33800,2.9180548191070557,2.9693097788095475,36.630802154541016,0.001
200.0,-147.50000394,175,44800,255,224,2.4087905883789062,0,2.3297971689701082,38.07253646850586,34.543323059082034,34.543323059082034,34600,2.4235892295837402,2.64696902602911,38.07253646850586,0.001
200.0,-140.6469253,174,45600,261,228,6.303514003753662,0,2.5413038420677183,28.91513442993164,33.998265438079834,33.998265438079834,35400,2.4626059532165527,2.0765073458850383,28.91513442993164,0.001
200.0,-141.68572075,173,46400,266,232,1.9420818090438843,0,2.376992334127426,29.153114318847656,32.6349462890625,32.6349462890625,36200,2.5379974842071533,2.885018876641989,29.153114318847656,0.001
200.0,-137.93972593,173,47200,272,236,3.2961971759796143,0,2.3697859597206117,34.927635192871094,32.173663969039914,32.173663969039914,37000,2.355912446975708,2.275776661336422,34.927635192871094,0.001
200.0,-141.29690387,172,48000,278,240,1.1776584386825562,0,2.330084683895111,33.390769958496094,32.618367977142334,32.618367977142334,37800,2.1149542331695557,2.7197893491387366,33.390769958496094,0.001
200.0,-142.28080758,171,48800,284,244,1.360091209411621,0,2.343327692747116,35.28421401977539,30.078749160766602,30.078749160766602,38600,2.0578935146331787,2.672894822359085,35.28421401977539,0.001
200.0,-144.59253137999997,171,49600,290,248,1.4307334423065186,0,2.4361833691596986,32.5692024230957,31.257802467346192,31.257802467346192,39400,2.3853583335876465,2.865872191041708,32.5692024230957,0.001
200.0,-147.01909587999998,170,50400,295,252,1.727856159210205,0,2.4956815600395204,24.457271575927734,30.555225830078125,30.555225830078125,40200,2.6289093494415283,2.376017429381609,24.457271575927734,0.001
200.0,-145.98324023,169,51200,301,256,3.6966946125030518,0,2.444862209558487,35.340824127197266,32.4116516494751,32.4116516494751,41000,2.2278687953948975,2.1066265408694744,35.340824127197266,0.001
200.0,-143.66962013,169,52000,306,260,1.1654596328735352,0,2.242844431400299,22.996259689331055,30.392692031860353,30.392692031860353,41800,2.747068405151367,2.367120594382286,22.996259689331055,0.001
200.0,-142.76667970999998,169,52800,311,264,2.1406121253967285,0,2.403364005088806,34.30669403076172,30.49899559020996,30.49899559020996,42600,2.5799617767333984,2.4775836415588857,34.30669403076172,0.001
200.0,-143.12797304,168,53600,317,268,0.6374844908714294,0,2.480525244474411,33.28715515136719,30.654180545806884,30.654180545806884,43400,2.2939627170562744,3.326623757481575,33.28715515136719,0.001
200.0,-147.93049705,168,54400,322,272,5.022083282470703,0,2.18008496761322,23.44379425048828,29.39186243057251,29.39186243057251,44200,2.276468515396118,2.608896528482437,23.44379425048828,0.001
200.0,-148.97030313,168,55200,327,276,1.2531400918960571,0,2.4506984651088715,26.732521057128906,29.633454990386962,29.633454990386962,45000,2.3771650791168213,2.2555196863412856,26.732521057128906,0.001
200.0,-150.57336159,168,56000,333,280,1.254126787185669,0,2.462212826013565,32.06480407714844,29.29348310470581,29.29348310470581,45800,2.207444906234741,3.4749156281352045,32.06480407714844,0.001
200.0,-152.94746934000003,167,56800,338,284,0.8921002745628357,0,2.5458524227142334,29.36888313293457,29.5348690700531,29.5348690700531,46600,2.045121192932129,2.1325733341276645,29.36888313293457,0.001
200.0,-150.03345486999999,167,57600,343,288,2.210646390914917,0,2.0922769820690155,28.18412208557129,28.21869031906128,28.21869031906128,47400,2.4319894313812256,2.736962106525898,28.18412208557129,0.001
200.0,-151.19557619,167,58400,349,292,1.1089166402816772,0,2.2707139015197755,28.872421264648438,28.244209632873535,28.244209632873535,48200,2.4146695137023926,2.939233887940645,28.872421264648438,0.001
200.0,-149.04768675,166,59200,354,296,7.729969501495361,0,2.0806700658798216,20.039714813232422,28.331672706604003,28.331672706604003,49000,2.614712715148926,2.6303778494894505,20.039714813232422,0.001
200.0,-143.11742270000002,166,60000,360,300,3.3667104244232178,0,2.3212066984176634,20.056772232055664,27.172045078277588,27.172045078277588,49800,2.0274643898010254,3.070928653255105,20.056772232055664,0.001
