time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/MSE_loss,train/n_updates,train/critic_los,train/Main_losses,train/RL_loss,train/MSE_losses,train/Beta
52527,161,5.8,325,5.8,8992,0.049383222311735156,0.001,-3.3423304557800293,-3.3054745197296143,1.6384419202804565,52430,0.04689336568117142,-3.3423304557800293,-3.3054745197296143,1.5792417923609416,-0.0
52551,161,5.82,325,5.82,8996,0.043120913207530975,0.001,-3.3795789877573648,-3.3259990215301514,1.5432344675064087,52453,0.03812628984451294,-3.3795789877573648,-3.3259990215301514,1.5692538817723591,-0.0
52575,161,5.82,325,5.82,9000,0.04176238800088564,0.001,-3.47550098101298,-3.6406943798065186,1.5279102325439453,52477,0.0382903590798378,-3.47550098101298,-3.6406943798065186,1.5599852005640666,-0.0
52597,161,5.8,325,5.8,9004,0.03606329175333182,0.001,-3.2405858039855957,-3.1240944862365723,1.7060112953186035,52500,0.04013626649975777,-3.2405858039855957,-3.1240944862365723,1.6701061328252156,-0.0
52621,161,5.81,326,5.81,9008,0.04771594206492106,0.001,-3.268943707148234,-3.089808940887451,1.7166765928268433,52523,0.042189836502075195,-3.268943707148234,-3.089808940887451,1.6352342367172241,-0.0
52644,161,5.81,326,5.81,9012,0.04913472135861715,0.001,-3.2524604002634683,-3.2952024936676025,1.6114578247070312,52547,0.038593634963035583,-3.2524604002634683,-3.2952024936676025,1.634414831797282,-0.0
52668,161,5.82,326,5.82,9016,0.050316225116451584,0.001,-3.381308078765869,-3.1549229621887207,1.687904953956604,52570,0.03828512877225876,-3.381308078765869,-3.1549229621887207,1.5953588883082073,-0.0
52691,161,5.82,326,5.82,9020,0.0380641104032596,0.001,-3.268250068028768,-3.2793569564819336,1.6135941743850708,52593,0.03881530091166496,-3.268250068028768,-3.2793569564819336,1.6291438738505046,-0.0
52714,161,5.83,326,5.83,9024,0.05390381688872973,0.001,-3.365666230519613,-3.5184245109558105,1.5257737636566162,52616,0.057495035231113434,-3.365666230519613,-3.5184245109558105,1.6200443108876545,-0.0
52738,161,5.83,326,5.83,9028,0.05249776318669319,0.001,-3.2180158297220864,-3.1800572872161865,1.7024023532867432,52640,0.056690044701099396,-3.2180158297220864,-3.1800572872161865,1.671334981918335,-0.0
52762,161,5.83,326,5.83,9032,0.041999662294983864,0.001,-3.246078888575236,-3.2342491149902344,1.6464265584945679,52664,0.029002748429775238,-3.246078888575236,-3.2342491149902344,1.6592774788538616,-0.0
52786,161,5.84,327,5.84,9036,0.048503296139339604,0.001,-3.2759876251220703,-3.2838401794433594,1.5949528217315674,52688,0.07302287220954895,-3.2759876251220703,-3.2838401794433594,1.6070510149002075,-0.0
52810,161,5.84,327,5.84,9040,0.0497016025086244,0.001,-3.5157660643259683,-3.2283947467803955,1.6429177522659302,52712,0.02917962148785591,-3.5157660643259683,-3.2283947467803955,1.5446892182032268,-0.0
52833,161,5.84,327,5.84,9044,0.04166331390539805,0.001,-3.3314410050710044,-3.1513171195983887,1.6853692531585693,52736,0.04657755047082901,-3.3314410050710044,-3.1513171195983887,1.5909880797068279,-0.0
52857,161,5.84,327,5.84,9048,0.05063566192984581,0.001,-3.3672818342844644,-3.179217576980591,1.624552845954895,52759,0.0732579231262207,-3.3672818342844644,-3.179217576980591,1.5767279863357544,-0.0
52881,161,5.84,327,5.84,9052,0.0358336695159475,0.001,-3.424856503804525,-3.4626195430755615,1.5406488180160522,52783,0.03515017777681351,-3.424856503804525,-3.4626195430755615,1.5794944365819295,-0.0
52905,161,5.84,327,5.84,9056,0.04774265239636103,0.001,-3.2589662869771323,-3.1999542713165283,1.650093674659729,52807,0.07079241424798965,-3.2589662869771323,-3.1999542713165283,1.6525508960088093,-0.0
52927,161,5.83,327,5.83,9060,0.05494555147985617,0.001,-3.180117050806681,-3.123274803161621,1.7059236764907837,52830,0.05550391599535942,-3.180117050806681,-3.123274803161621,1.6627516349156697,-0.0
52950,161,5.83,328,5.83,9064,0.048105149840315185,0.001,-3.255924701690674,-3.2947707176208496,1.639046549797058,52852,0.04596199095249176,-3.255924701690674,-3.2947707176208496,1.6138208309809368,-0.0
52973,161,5.84,328,5.84,9068,0.04677226083974043,0.001,-3.299833615620931,-3.0073013305664062,1.7342654466629028,52875,0.06810089945793152,-3.299833615620931,-3.0073013305664062,1.6063895225524902,-0.0
