rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/MSE_loss,train/loss,train/learning_rate,train/Beta,train/RL_loss,train/critic_loss,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_losses
440.93,44372,159,440.93,277,108,43780,0.2468579113483429,-60.30189895629883,0.001,0.788,-62.24713897705078,0.6380284238159657,-60.87152180480957,0.5283087491989136,-62.93506802368164,0.26187134176492693
449.53,46372,159,449.53,290,112,45780,0.23247389495372772,-64.20314025878906,0.001,0.78,-66.01643371582031,0.7708472280204296,-62.83628955078125,0.3010876476764679,-64.88001036071778,0.26201549339294433
458.65,48372,159,458.65,303,116,47780,0.2230784147977829,-64.78949737548828,0.001,0.772,-66.51166534423828,0.651843948483467,-64.62664445495605,0.4200854003429413,-66.68228887939453,0.26627515214681624
460.29,50372,159,460.29,315,120,49780,0.2538049519062042,-66.11748504638672,0.001,0.764,-68.05655670166016,0.5516765226274729,-66.39726986694336,0.17778554558753967,-68.3711266784668,0.2583582139611244
460.29,52372,159,460.29,328,124,51780,0.2672467827796936,-67.21956634521484,0.001,0.756,-69.23995208740234,0.6023174497783184,-67.56569338989257,0.5091009736061096,-69.54891821289063,0.26233129888772966
460.29,54372,159,460.29,341,128,53780,0.26318609714508057,-70.6016845703125,0.001,0.748,-72.57032012939453,0.6387570436447859,-68.8864702758789,0.2817286550998688,-70.85138150024414,0.2626886633038521
459.8,56220,159,459.8,352,132,55628,0.2954643666744232,-71.12841033935547,0.001,0.74,-73.31484985351562,0.7812538004815578,-70.7557177734375,0.8567175269126892,-72.77004406738281,0.2722062320113182
459.8,58220,159,459.8,365,136,57628,0.2774381637573242,-71.74711608886719,0.001,0.732,-73.77796173095703,0.49896470341086385,-71.7587804260254,1.5993781089782715,-73.65021322631836,0.2583924669623375
459.8,60220,159,459.8,378,140,59628,0.24270541965961456,-72.21163177490234,0.001,0.724,-73.96881866455078,0.576508540943265,-72.56396212768554,0.23254276812076569,-74.43812844848632,0.25886277890205384
459.8,62220,159,459.8,390,144,61628,0.3187168836593628,-73.6817398071289,0.001,0.716,-75.96375274658203,0.7233847756683827,-73.41453707885742,0.743867039680481,-75.25228170776367,0.2566682378053665
459.8,64220,159,459.8,403,148,63628,0.2240525782108307,-74.3074951171875,0.001,0.708,-75.89378356933594,0.49627074086666106,-74.17650326538086,0.3539959490299225,-75.98476281738282,0.25540391212701796
457.56,65996,159,457.56,414,152,65404,0.22176402807235718,-74.58601379394531,0.001,0.7,-76.13835906982422,0.5170183129012584,-74.89423220825195,0.3446240723133087,-76.68410290527343,0.25569577199220656
457.56,67996,159,457.56,427,156,67404,0.25662150979042053,-76.46607208251953,0.001,0.692,-78.24188995361328,0.4947041803151369,-75.74105447387696,0.19589665532112122,-77.50933883666993,0.2555323909521103
