time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/actor_loss,train/MSE_loss,train/learning_rate,train/critic_los,train/loss,train/RL_loss,train/n_updates,train/critic_loss,train/ent_coef,train/Main_losses,train/ent_coef_loss,train/Beta,train/MSE_losses
44,32.70454545454545,32.70454545454545,1439,15,95,-8.348686218261719,0.3144891858100891,0.001,0.10997976362705231,-8.348686218261719,-8.348686218261719,1338,0.10997976362705231,0.283688485622406,-8.348686218261719,-1.4701509475708008,-0.0,0.3144891858100891
48,45.3125,45.3125,2175,23,93,-11.658050537109375,0.33443307876586914,0.001,0.15052443742752075,-11.658050537109375,-11.658050537109375,2074,0.15052443742752075,0.15121687948703766,-11.658050537109375,-2.201586961746216,-0.0,0.33443307876586914
52,55.0,55.0,2860,30,92,-14.523256301879883,0.37565886974334717,0.001,0.09509098529815674,-14.523256301879883,-14.523256301879883,2759,0.09509098529815674,0.08327001333236694,-14.523256301879883,-2.5381669998168945,-0.0,0.37565886974334717
56,62.80357142857143,62.80357142857143,3517,38,92,-16.855525970458984,0.36256885528564453,0.001,0.23974698781967163,-16.855525970458984,-16.855525970458984,3416,0.23974698781967163,0.0484820231795311,-16.855525970458984,-2.5865302085876465,-0.0,0.36256885528564453
60,70.43333333333334,70.43333333333334,4226,45,92,-19.626544952392578,0.29030025005340576,0.001,0.1780807077884674,-19.626544952392578,-19.626544952392578,4125,0.1780807077884674,0.029039183631539345,-19.626544952392578,-2.061575412750244,-0.0,0.29030025005340576
64,78.890625,78.890625,5049,55,91,-21.766193389892578,0.3109893202781677,0.001,0.31319156289100647,-21.766193389892578,-21.766193389892578,4948,0.31319156289100647,0.019618481397628784,-21.766193389892578,-0.6639302968978882,-0.0,0.3109893202781677
68,84.44117647058823,84.44117647058823,5742,62,91,-24.59307861328125,0.34752780199050903,0.001,0.2738229036331177,-24.59307861328125,-24.59307861328125,5641,0.2738229036331177,0.016970831900835037,-24.59307861328125,-0.6415069103240967,-0.0,0.34752780199050903
72,87.73611111111111,87.73611111111111,6317,69,91,-25.982364654541016,0.4344499409198761,0.001,0.37521517276763916,-25.982364654541016,-25.982364654541016,6216,0.37521517276763916,0.014290430583059788,-25.982364654541016,-1.2083663940429688,-0.0,0.4344499409198761
76,92.10526315789474,92.10526315789474,7000,76,91,-28.390365600585938,0.45157673954963684,0.001,0.26892825961112976,-28.390365600585938,-28.390365600585938,6899,0.26892825961112976,0.01346444059163332,-28.390365600585938,-1.1011252403259277,-0.0,0.45157673954963684
80,94.8125,94.8125,7585,83,91,-29.2984619140625,0.438211590051651,0.001,0.31998497247695923,-29.2984619140625,-29.2984619140625,7484,0.31998497247695923,0.013420488685369492,-29.2984619140625,-0.37699273228645325,-0.0,0.438211590051651
84,96.85714285714286,96.85714285714286,8136,89,91,-31.67377471923828,0.3728809356689453,0.001,0.28868165612220764,-31.67377471923828,-31.67377471923828,8035,0.28868165612220764,0.01263310294598341,-31.67377471923828,-0.954315721988678,-0.0,0.3728809356689453
88,99.29545454545455,99.29545454545455,8738,95,91,-33.045623779296875,0.3697432577610016,0.001,0.17684659361839294,-33.045623779296875,-33.045623779296875,8637,0.17684659361839294,0.011452794075012207,-33.045623779296875,0.3424531817436218,-0.0,0.3697432577610016
92,101.05434782608695,101.05434782608695,9297,102,91,-34.100074768066406,0.31417518854141235,0.001,0.2768022418022156,-34.100074768066406,-34.100074768066406,9196,0.2768022418022156,0.012150613591074944,-34.100074768066406,0.20381039381027222,-0.0,0.31417518854141235
96,101.875,101.875,9780,107,91,-35.26255798339844,0.39150065183639526,0.001,0.1498332917690277,-35.26255798339844,-35.26255798339844,9679,0.1498332917690277,0.010471407324075699,-35.26255798339844,0.044100865721702576,-0.0,0.39150065183639526
100,103.4,103.4,10340,113,91,-35.085533142089844,0.40304356813430786,0.001,0.8523966073989868,-35.085533142089844,-35.085533142089844,10239,0.8523966073989868,0.012831243686378002,-35.085533142089844,0.3457833230495453,-0.0,0.40304356813430786
