time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
148,0.04044945538043976,96,105998,-82.62643635,1092,894.28,96000,2.047116756439209,0.0686125809152145,7.828250408172607,1.9351457636803389,0.03943249583244324,1.9351457636803389,0.0017125035228673369,2.047116756439209,8.011059135198593,-0.659842460649088,-0.0,0.00073
152,0.04034922271966934,96,112398,-79.52575274,1165,940.55,102400,3.9126415252685547,0.0771213824627921,8.752351760864258,1.8303778609260917,0.23662318289279938,1.8303778609260917,0.0017444872082705842,3.9126415252685547,8.259650275111198,-0.15157548896968365,-0.0,0.00073
156,0.040454115718603134,96,114997,-79.10316789000001,1194,924.7,104960,1.518552541732788,0.09028690747800283,8.970431327819824,1.608904980123043,0.07755260169506073,1.608904980123043,0.0020002130295324605,1.518552541732788,8.514584943652153,2.0989984467159957,-0.0,0.00073
160,0.03997926414012909,95,120174,-74.85793017,1253,934.09,110144,2.818004608154297,0.1201340677216649,7.847037315368652,2.033061341382563,0.5229768753051758,2.033061341382563,0.0015517272422584938,2.818004608154297,8.110348917543888,0.9569428879767656,-0.0,0.00073
164,0.039792586117982864,95,126574,-70.23712168,1325,975.7,116544,2.914536952972412,0.11816003336571157,7.982854843139648,1.9319810662418604,0.40344923734664917,1.9319810662418604,0.0017291351869062055,2.914536952972412,7.903847232460976,-2.731041203835048,-0.0,0.00073
168,0.03967144712805748,95,132974,-66.28894563,1398,1027.66,122944,1.5048942565917969,0.08563571920967661,8.525274276733398,1.8742297561839223,0.025194350630044937,1.8742297561839223,0.0018603573389555095,1.5048942565917969,7.962639257311821,-0.7823120849207044,-0.0,0.00073
172,0.03972959890961647,94,139374,-63.025606090000004,1470,1088.97,129344,1.347557544708252,0.05391681703622453,7.7228899002075195,1.5559917744249105,0.0638534352183342,1.5559917744249105,0.0021009721313021146,1.347557544708252,8.08326093107462,-0.3925481562037021,-0.0,0.00073
176,0.03957062587141991,94,142203,-61.90974539,1502,1115.07,132160,2.341780424118042,0.08064995515451301,8.445133209228516,1.4757075067609549,0.09050966054201126,1.4757075067609549,0.0018596859390527243,2.341780424118042,8.12860169261694,0.8068653198424727,-0.0,0.00073
180,0.03937778249382973,94,146183,-60.644617579999995,1548,1151.34,136192,1.1124699115753174,0.10960457485634834,8.445228576660156,1.7179094515740871,0.2843936085700989,1.7179094515740871,0.001744399143717601,1.1124699115753174,8.115781866014004,0.27775389375165105,-0.0,0.00073
184,0.03919488936662674,94,151171,-56.98819211999999,1604,1198.12,141184,1.544579267501831,0.17703339119907469,8.10085678100586,1.6899960404261947,0.08225446939468384,1.6899960404261947,0.001827466285249102,1.544579267501831,7.993878036737442,2.0781528428196907,-0.0,0.00073
188,0.03929036483168602,93,157571,-52.82604071,1677,1227.87,147584,0.9027544260025024,0.07618372511933558,8.22656536102295,1.3920930600725114,0.029933715239167213,1.3920930600725114,0.0022030987929611,0.9027544260025024,8.42657469958067,-0.96435925969854,-0.0,0.00073
192,0.03923332691192627,93,159598,-52.078853210000005,1699,1214.58,149568,1.126891851425171,0.09676187747390941,8.566715240478516,1.49419198743999,0.02467736229300499,1.49419198743999,0.0021677492186427116,1.126891851425171,8.339336149394512,-0.4951300653629005,-0.0,0.00073
196,0.03931945934891701,93,163235,-48.91018844999999,1740,1214.08,153216,0.8835048079490662,0.08584514929680154,7.865283966064453,1.5977040035650134,0.030997347086668015,1.5977040035650134,0.0020025374906254,0.8835048079490662,8.052157990634441,0.06266907649114728,-0.0,0.00073
200,0.039155229926109314,93,166608,-47.62096250999999,1779,1222.88,156608,1.8699826002120972,0.12480701453750953,7.7282915115356445,1.7399222967214882,0.12054311484098434,1.7399222967214882,0.002108376331307227,1.8699826002120972,7.9090830981731415,-0.33474228205159307,-0.0,0.00073
204,0.03931080549955368,93,171252,-44.213644509999995,1831,1220.72,161216,1.762932538986206,0.10568612383212894,8.048185348510742,1.4434410957619548,0.11085555702447891,1.4434410957619548,0.0020868412393610924,1.762932538986206,8.103325970470905,2.1526358681730926,-0.0,0.00073
208,0.03900175169110298,93,176146,-37.64284808,1885,1235.33,166144,0.9813460111618042,0.11355363024631515,7.495466232299805,1.0647756103426218,0.05523880943655968,1.0647756103426218,0.002200251750764437,0.9813460111618042,7.757403157651424,-1.0269262702204287,-0.0,0.00073
212,0.03866679221391678,93,182522,-26.230116729999995,1955,1264.76,172480,0.457587867975235,0.12191766007163096,8.032769203186035,0.6034811598947272,0.1477806568145752,0.6034811598947272,0.0020903556142002344,0.457587867975235,7.931908056139946,-0.4323786199092865,-0.0,0.00073
216,0.03870025649666786,93,187330,-18.646108189999996,2009,1248.84,177344,0.30575039982795715,0.09677372305304743,7.92020320892334,0.33798804483376443,0.20832869410514832,0.33798804483376443,0.0023478148505091667,0.30575039982795715,8.097341872751713,0.1229647109284997,-0.0,0.00073
220,0.03870949149131775,93,190006,-14.904025290000002,2038,1211.6,179968,0.8460752964019775,0.12658812990412116,7.8993120193481445,0.42815237503964454,0.22633633017539978,0.42815237503964454,0.0023814471351215616,0.8460752964019775,8.042671076953411,-0.6801214467268437,-0.0,0.00073
224,0.03863397613167763,93,194855,-4.535725780000002,2091,1196.09,184832,-0.5716651082038879,0.10878441110253334,7.884248733520508,-0.021341538871638477,0.0829431414604187,-0.021341538871638477,0.002603246201033471,-0.5716651082038879,7.990933671593666,-0.5544462027028203,-0.0,0.00073
228,0.039113741368055344,93,199944,8.67741813,2147,1196.92,189952,-0.46896928548812866,0.09916812667506747,8.509173393249512,-0.45419859630055726,0.11169322580099106,-0.45419859630055726,0.003082718852965627,-0.46896928548812866,8.290268324315548,-0.7930460306815803,-0.0,0.00073
