rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/MSE_losses,train/critic_los,train/loss,train/n_updates,train/actor_loss,train/MSE_loss,train/Beta,train/learning_rate,train/critic_loss,train/Main_losses,train/RL_loss
200.0,184,-152.36448302,36800,220,167,3.0314061880111693,5.928988933563232,71.14810180664062,26600,53.339050483703616,2.559727668762207,0.0,0.001,3.6100415137410162,53.339050483703616,71.14810180664062
200.0,188,-152.48066602000003,37600,218,172,3.022464106082916,3.2700250148773193,48.499900817871094,27400,52.27363712310791,3.385746955871582,0.0,0.001,2.6545342093706132,52.27363712310791,48.499900817871094
200.0,192,-154.01767808000002,38400,216,177,3.0747539806365967,1.1705105304718018,57.28742980957031,28200,52.902357025146486,2.695277690887451,0.0,0.001,3.223956107199192,52.902357025146486,57.28742980957031
200.0,196,-154.53108701000002,39200,215,182,3.229584846496582,17.826688766479492,50.31956481933594,29000,50.79687557220459,3.0447986125946045,0.0,0.001,3.1046671617031096,50.79687557220459,50.31956481933594
200.0,200,-155.72153859000002,40000,213,187,2.7209922456741333,1.3798043727874756,46.76616668701172,29800,49.72435272216797,3.0413432121276855,0.0,0.001,3.46951284006238,49.72435272216797,46.76616668701172
200.0,204,-152.24768299,40800,212,192,3.2567710185050966,8.074844360351562,54.51606369018555,30600,50.10861217498779,2.778876781463623,0.0,0.001,3.577166457772255,50.10861217498779,54.51606369018555
200.0,208,-152.52692177,41600,211,197,3.1470853018760683,1.6028664112091064,39.50438690185547,31400,48.76701225280762,3.6545188426971436,0.0,0.001,3.831538336277008,48.76701225280762,39.50438690185547
200.0,212,-154.22821366000002,42400,209,202,3.345456540584564,4.687808990478516,51.33058547973633,32200,47.97696039199829,2.6528451442718506,0.0,0.001,3.1787507006525995,47.97696039199829,51.33058547973633
200.0,216,-152.73881408,43200,208,206,2.598143334388733,0.8615884184837341,49.56217575073242,33000,47.654903392791745,2.2822389602661133,0.0,0.001,2.726937381923199,47.654903392791745,49.56217575073242
200.0,220,-156.65658647,44000,207,211,2.250620220899582,1.6721073389053345,45.42816925048828,33800,46.70642253875732,2.0250494480133057,0.0,0.001,3.7584791082143783,46.70642253875732,45.42816925048828
200.0,224,-155.51701792000003,44800,206,216,2.4528563833236694,2.5196120738983154,40.369544982910156,34600,48.111850852966306,2.3860599994659424,0.0,0.001,2.841425010561943,48.111850852966306,40.369544982910156
200.0,228,-159.19184886000002,45600,205,221,2.456565924882889,0.7961544990539551,44.912635803222656,35400,46.1750647354126,2.2025046348571777,0.0,0.001,3.3514140218496324,46.1750647354126,44.912635803222656
200.0,232,-158.52909433000002,46400,204,226,2.1454695749282835,3.080491065979004,38.25062561035156,36200,46.68052257537842,2.5813515186309814,0.0,0.001,3.6153504288196565,46.68052257537842,38.25062561035156
200.0,236,-160.8747407,47200,203,231,2.2280182206630705,2.801417827606201,49.749900817871094,37000,44.90994930267334,2.0128090381622314,0.0,0.001,3.0051108780503273,44.90994930267334,49.749900817871094
200.0,240,-162.79341526,48000,202,236,2.2028796136379243,4.355876445770264,35.490482330322266,37800,44.35846290588379,1.9950894117355347,0.0,0.001,3.199418646991253,44.35846290588379,35.490482330322266
200.0,244,-166.14995559,48800,202,241,2.4108876645565034,3.752140998840332,40.20613479614258,38600,43.567839775085446,2.09800386428833,0.0,0.001,3.245658138990402,43.567839775085446,40.20613479614258
200.0,248,-163.89488848000002,49600,201,246,2.4062589049339294,2.9720864295959473,40.08317184448242,39400,45.06062734603882,2.563481092453003,0.0,0.001,3.2214099907875062,45.06062734603882,40.08317184448242
200.0,252,-163.73689702,50400,200,251,2.3527439296245576,9.254039764404297,40.51542282104492,40200,43.40272357940674,2.7275803089141846,0.0,0.001,2.6026275791227818,43.40272357940674,40.51542282104492
200.0,256,-164.06856363,51200,199,256,2.4883425748348236,15.38437271118164,39.31403350830078,41000,42.88772094726563,2.7039074897766113,0.0,0.001,2.884804650992155,42.88772094726563,39.31403350830078
200.0,260,-164.58978316,52000,199,261,2.4761953449249265,0.8704608678817749,31.17827606201172,41800,42.28142807006836,2.34651517868042,0.0,0.001,2.754030603468418,42.28142807006836,31.17827606201172
200.0,264,-165.68033015,52800,198,266,2.587651835680008,2.6520397663116455,45.89925765991211,42600,41.67215452194214,2.3383712768554688,0.0,0.001,2.6938318970799444,41.67215452194214,45.89925765991211
200.0,268,-165.63503001,53600,197,271,2.4932694268226623,1.3823438882827759,35.75391387939453,43400,41.13824495315552,2.730501413345337,0.0,0.001,2.7197742421925066,41.13824495315552,35.75391387939453
200.0,272,-164.12107399,54400,197,275,2.485317293405533,0.5904585719108582,43.399009704589844,44200,42.612389793396,1.9913746118545532,0.0,0.001,3.4091645455360413,42.612389793396,43.399009704589844
200.0,276,-162.58461847,55200,196,280,2.5965492022037506,2.6435461044311523,39.19011688232422,45000,40.91872444152832,2.839188814163208,0.0,0.001,2.8504403431713583,40.91872444152832,39.19011688232422
200.0,280,-162.7279518,56000,195,285,2.49765949010849,2.690593719482422,24.11202621459961,45800,41.325155086517334,2.3726208209991455,0.0,0.001,3.5692233137786387,41.325155086517334,24.11202621459961
200.0,284,-167.37359856999998,56800,195,290,2.5316192388534544,4.824429512023926,44.9299201965332,46600,41.03432250976562,2.7268505096435547,0.0,0.001,3.292460957765579,41.03432250976562,44.9299201965332
200.0,288,-166.44529065000003,57600,194,295,2.4980420875549316,1.8747920989990234,43.27824020385742,47400,39.37055391311645,2.3584108352661133,0.0,0.001,2.6237694081664085,39.37055391311645,43.27824020385742
200.0,292,-166.66623903000004,58400,194,300,1.8963134217262267,2.795477867126465,43.40493392944336,48200,39.909311065673826,2.5979983806610107,0.0,0.001,2.921062126159668,39.909311065673826,43.40493392944336
200.0,296,-167.85255575000002,59200,193,305,1.9361994779109954,2.1915979385375977,30.340566635131836,49000,38.905245800018314,2.4860706329345703,0.0,0.001,2.536178094893694,38.905245800018314,30.340566635131836
200.0,300,-167.93064946,60000,193,310,2.2058205795288086,0.6172221899032593,35.750038146972656,49800,39.52516761779785,2.3977444171905518,0.0,0.001,2.744652467370033,39.52516761779785,35.750038146972656
