rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/MSE_loss,train/critic_loss,train/learning_rate,train/critic_los,train/Beta,train/n_updates,train/ent_coef,train/ent_coef_loss,train/loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/actor_loss
183.78,90,223,152,183.78,20123,0.41048097610473633,0.19765320420265198,0.001,0.19765320420265198,-0.0,20022,0.0314493328332901,0.06045679375529289,-60.109703063964844,0.41048097610473633,-60.109703063964844,-60.109703063964844,-60.109703063964844
179.54,90,228,156,179.54,20599,0.41351068019866943,0.17124345898628235,0.001,0.17124345898628235,-0.0,20498,0.040226858109235764,-0.02079586684703827,-62.43386459350586,0.41351068019866943,-62.43386459350586,-62.43386459350586,-62.43386459350586
175.84,90,233,160,175.84,21049,0.45876172184944153,0.32383993268013,0.001,0.32383993268013,-0.0,20948,0.05086231604218483,0.24064072966575623,-60.777156829833984,0.45876172184944153,-60.777156829833984,-60.777156829833984,-60.777156829833984
173.17,90,238,164,173.17,21513,0.4735757112503052,0.7118774056434631,0.001,0.7118774056434631,-0.0,21412,0.048948146402835846,0.2198937088251114,-59.73353576660156,0.4735757112503052,-59.73353576660156,-59.73353576660156,-59.73353576660156
169.14,90,243,168,169.14,21965,0.4494723081588745,0.19851641356945038,0.001,0.19851641356945038,-0.0,21864,0.04812698811292648,0.09724481403827667,-62.920814514160156,0.4494723081588745,-62.920814514160156,-62.920814514160156,-62.920814514160156
164.55,90,249,172,164.55,22420,0.4905085563659668,0.2517395615577698,0.001,0.2517395615577698,-0.0,22319,0.053437892347574234,0.31093040108680725,-60.96867370605469,0.4905085563659668,-60.96867370605469,-60.96867370605469,-60.96867370605469
161.92,90,254,176,161.92,22898,0.4286867380142212,0.23468734323978424,0.001,0.23468734323978424,-0.0,22797,0.0585579015314579,-0.4475902318954468,-60.25141143798828,0.4286867380142212,-60.25141143798828,-60.25141143798828,-60.25141143798828
158.89,89,259,180,158.89,23394,0.3977002501487732,0.2553538978099823,0.001,0.2553538978099823,-0.0,23293,0.053025685250759125,-0.28857773542404175,-62.120948791503906,0.3977002501487732,-62.120948791503906,-62.120948791503906,-62.120948791503906
155.79,89,265,184,155.79,23908,0.425618439912796,0.17958828806877136,0.001,0.17958828806877136,-0.0,23807,0.05245339125394821,0.2727299630641937,-65.1500015258789,0.425618439912796,-65.1500015258789,-65.1500015258789,-65.1500015258789
153.02,89,271,188,153.02,24436,0.423767626285553,0.5264804363250732,0.001,0.5264804363250732,-0.0,24335,0.052980195730924606,0.28600651025772095,-64.16505432128906,0.423767626285553,-64.16505432128906,-64.16505432128906,-64.16505432128906
150.22,89,277,192,150.22,24977,0.40620940923690796,0.5603232979774475,0.001,0.5603232979774475,-0.0,24876,0.05016918107867241,-0.2314559817314148,-63.496097564697266,0.40620940923690796,-63.496097564697266,-63.496097564697266,-63.496097564697266
145.61,89,283,196,145.61,25533,0.3630908727645874,0.14426296949386597,0.001,0.14426296949386597,-0.0,25432,0.048882242292165756,-0.34996166825294495,-64.0423355102539,0.3630908727645874,-64.0423355102539,-64.0423355102539,-64.0423355102539
140.09,89,290,200,140.09,26119,0.449920654296875,0.22640670835971832,0.001,0.22640670835971832,-0.0,26018,0.04625866934657097,0.8210376501083374,-62.03301239013672,0.449920654296875,-62.03301239013672,-62.03301239013672,-62.03301239013672
135.31,89,297,204,135.31,26733,0.4003842771053314,0.21443253755569458,0.001,0.21443253755569458,-0.0,26632,0.0493774488568306,0.010406509041786194,-65.29962158203125,0.4003842771053314,-65.29962158203125,-65.29962158203125,-65.29962158203125
130.94,89,304,208,130.94,27394,0.40900516510009766,0.20037364959716797,0.001,0.20037364959716797,-0.0,27293,0.05177602544426918,0.06242527812719345,-64.05644989013672,0.40900516510009766,-64.05644989013672,-64.05644989013672,-64.05644989013672
131.62,89,312,212,131.62,28126,0.35105928778648376,0.24303293228149414,0.001,0.24303293228149414,-0.0,28025,0.04711150377988815,-0.14528189599514008,-63.34595489501953,0.35105928778648376,-63.34595489501953,-63.34595489501953,-63.34595489501953
134.43,89,321,216,134.43,28927,0.4087596833705902,0.2641488313674927,0.001,0.2641488313674927,-0.0,28826,0.047210849821567535,-0.39687836170196533,-60.435115814208984,0.4087596833705902,-60.435115814208984,-60.435115814208984,-60.435115814208984
138.37,89,331,220,138.37,29827,0.33336400985717773,0.23801791667938232,0.001,0.23801791667938232,-0.0,29726,0.0439554788172245,-0.16550803184509277,-64.17967987060547,0.33336400985717773,-64.17967987060547,-64.17967987060547,-64.17967987060547
149.89,89,350,224,149.89,31487,0.34013456106185913,0.17857640981674194,0.001,0.17857640981674194,-0.0,31386,0.037331487983465195,-0.09210845828056335,-64.11121368408203,0.34013456106185913,-64.11121368408203,-64.11121368408203,-64.11121368408203
164.71,89,372,228,164.71,33487,0.34015098214149475,0.1537594348192215,0.001,0.1537594348192215,-0.0,33386,0.0369999073445797,0.16401682794094086,-67.13668823242188,0.34015098214149475,-67.13668823242188,-67.13668823242188,-67.13668823242188
179.36,89,394,232,179.36,35487,0.33050185441970825,0.12644313275814056,0.001,0.12644313275814056,-0.0,35386,0.03783765435218811,-0.16662296652793884,-68.97702026367188,0.33050185441970825,-68.97702026367188,-68.97702026367188,-68.97702026367188
194.57,89,416,236,194.57,37487,0.3420225977897644,0.25260379910469055,0.001,0.25260379910469055,-0.0,37386,0.02960333786904812,0.3785568177700043,-69.30557250976562,0.3420225977897644,-69.30557250976562,-69.30557250976562,-69.30557250976562
209.43,89,439,240,209.43,39487,0.3284425437450409,0.1800587773323059,0.001,0.1800587773323059,-0.0,39386,0.03348299860954285,-0.12211579084396362,-72.1066665649414,0.3284425437450409,-72.1066665649414,-72.1066665649414,-72.1066665649414
223.89,89,461,244,223.89,41487,0.35581275820732117,0.6952733993530273,0.001,0.6952733993530273,-0.0,41386,0.029328996315598488,-0.6031343936920166,-73.85685729980469,0.35581275820732117,-73.85685729980469,-73.85685729980469,-73.85685729980469
238.73,89,483,248,238.73,43487,0.3051035404205322,0.45221471786499023,0.001,0.45221471786499023,-0.0,43386,0.03605799749493599,-1.0840964317321777,-74.78194427490234,0.3051035404205322,-74.78194427490234,-74.78194427490234,-74.78194427490234
248.89,89,500,252,248.89,45012,0.4282505512237549,0.28882357478141785,0.001,0.28882357478141785,-0.0,44911,0.03481306508183479,0.10894216597080231,-78.73342895507812,0.4282505512237549,-78.73342895507812,-78.73342895507812,-78.73342895507812
264.13,89,523,256,264.13,47012,0.41913536190986633,0.10108363628387451,0.001,0.10108363628387451,-0.0,46911,0.028485771268606186,0.2893940210342407,-78.02198028564453,0.41913536190986633,-78.02198028564453,-78.02198028564453,-78.02198028564453
277.65,89,543,260,277.65,48814,0.35385867953300476,0.149481862783432,0.001,0.149481862783432,-0.0,48713,0.022512072697281837,0.9579719305038452,-80.22270965576172,0.35385867953300476,-80.22270965576172,-80.22270965576172,-80.22270965576172
290.7,89,562,264,290.7,50583,0.2909049689769745,0.08422529697418213,0.001,0.08422529697418213,-0.0,50482,0.01604027859866619,0.5781611204147339,-77.73187255859375,0.2909049689769745,-77.73187255859375,-77.73187255859375,-77.73187255859375
306.18,89,585,268,306.18,52583,0.3729110658168793,0.07782042771577835,0.001,0.07782042771577835,-0.0,52482,0.04217371344566345,-0.8924369812011719,-80.00032806396484,0.3729110658168793,-80.00032806396484,-80.00032806396484,-80.00032806396484
321.63,89,607,272,321.63,54583,0.341248095035553,0.16834303736686707,0.001,0.16834303736686707,-0.0,54482,0.033796366304159164,-0.25429391860961914,-81.71870422363281,0.341248095035553,-81.71870422363281,-81.71870422363281,-81.71870422363281
336.85,89,629,276,336.85,56583,0.3947831988334656,0.035804908722639084,0.001,0.035804908722639084,-0.0,56482,0.027818238362669945,-0.1385684758424759,-82.4389877319336,0.3947831988334656,-82.4389877319336,-82.4389877319336,-82.4389877319336
351.89,89,651,280,351.89,58583,0.31256887316703796,0.29640597105026245,0.001,0.29640597105026245,-0.0,58482,0.016539962962269783,-1.063828706741333,-85.68890380859375,0.31256887316703796,-85.68890380859375,-85.68890380859375,-85.68890380859375
366.75,89,674,284,366.75,60583,0.30213209986686707,0.15090495347976685,0.001,0.15090495347976685,-0.0,60482,0.010368973016738892,-0.05947379767894745,-84.61453247070312,0.30213209986686707,-84.61453247070312,-84.61453247070312,-84.61453247070312
381.47,89,696,288,381.47,62583,0.5676866769790649,0.06858521699905396,0.001,0.06858521699905396,-0.0,62482,0.032992471009492874,0.3722323179244995,-88.42642211914062,0.5676866769790649,-88.42642211914062,-88.42642211914062,-88.42642211914062
396.06,89,719,292,396.06,64583,0.3285040855407715,0.054479047656059265,0.001,0.054479047656059265,-0.0,64482,0.014093440026044846,-0.1548021286725998,-85.74473571777344,0.3285040855407715,-85.74473571777344,-85.74473571777344,-85.74473571777344
410.5,89,741,296,410.5,66583,0.28700488805770874,0.10612121224403381,0.001,0.10612121224403381,-0.0,66482,0.01852564513683319,0.07012341916561127,-85.68755340576172,0.28700488805770874,-85.68755340576172,-85.68755340576172,-85.68755340576172
424.64,89,763,300,424.64,68583,0.292719304561615,0.4071432054042816,0.001,0.4071432054042816,-0.0,68482,0.01782282069325447,-0.7377185225486755,-88.40077209472656,0.292719304561615,-88.40077209472656,-88.40077209472656,-88.40077209472656
438.5,89,785,304,438.5,70583,0.3574911653995514,0.12551754713058472,0.001,0.12551754713058472,-0.0,70482,0.014769375324249268,0.0873197615146637,-88.50613403320312,0.3574911653995514,-88.50613403320312,-88.50613403320312,-88.50613403320312
451.89,89,808,308,451.89,72583,0.3132114112377167,0.040151841938495636,0.001,0.040151841938495636,-0.0,72482,0.009324056096374989,0.2836655080318451,-90.46382904052734,0.3132114112377167,-90.46382904052734,-90.46382904052734,-90.46382904052734
464.57,89,830,312,464.57,74583,0.3473798930644989,0.054478246718645096,0.001,0.054478246718645096,-0.0,74482,0.012981380335986614,-1.5834544897079468,-88.86763000488281,0.3473798930644989,-88.86763000488281,-88.86763000488281,-88.86763000488281
476.56,89,853,316,476.56,76583,0.40037038922309875,0.04943641647696495,0.001,0.04943641647696495,-0.0,76482,0.022124936804175377,-0.861831545829773,-91.50093078613281,0.40037038922309875,-91.50093078613281,-91.50093078613281,-91.50093078613281
487.56,89,875,320,487.56,78583,0.5543146133422852,0.04249279201030731,0.001,0.04249279201030731,-0.0,78482,0.029783444479107857,0.5057966113090515,-90.7585220336914,0.5543146133422852,-90.7585220336914,-90.7585220336914,-90.7585220336914
487.05,89,893,324,487.05,80192,0.5822165012359619,0.16427937150001526,0.001,0.16427937150001526,-0.0,80091,0.038980916142463684,0.01792886108160019,-92.09282684326172,0.5822165012359619,-92.09282684326172,-92.09282684326172,-92.09282684326172
